,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,25,1,2008-10-31,26-083,MIA,SAC,26,0,5:53,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,-7
1,26,2,2008-11-01,26-084,MIA,CHA,-13,0,1:31,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,0
2,27,3,2008-11-05,26-088,MIA,PHI,23,0,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
3,28,4,2008-11-10,26-093,MIA,NJN,5,0,16:27,1,3,.333,0,0,,2,4,.500,1,3,4,0,0,1,1,3,4,1.6,-1
4,29,5,2008-11-12,26-095,MIA,POR,-8,0,13:10,1,2,.500,0,0,,0,0,,3,2,5,0,1,0,1,1,2,3.3,0
5,30,6,2008-11-14,26-097,MIA,WAS,20,0,13:31,1,4,.250,0,0,,0,0,,4,0,4,0,0,1,1,4,2,0.5,-10
6,31,7,2008-11-16,26-099,MIA,TOR,-11,0,11:29,1,2,.500,0,0,,0,0,,3,1,4,0,0,2,0,1,2,4.4,-4
7,32,8,2008-11-18,26-101,MIA,WAS,7,0,20:06,0,2,.000,0,0,,1,4,.250,3,3,6,0,0,3,0,3,1,2.3,+1
8,33,9,2008-11-19,26-102,MIA,TOR,-6,0,15:26,0,1,.000,0,0,,0,0,,1,1,2,1,0,2,0,4,0,0.8,+7
9,34,10,2008-11-22,26-105,MIA,IND,9,0,12:04,1,1,1.000,0,0,,0,0,,1,2,3,0,0,2,0,0,2,4.4,+6
10,35,11,2008-11-24,26-107,MIA,HOU,-9,0,27:49,0,0,,0,0,,2,2,1.000,3,5,8,1,3,4,0,5,2,10.1,-2
11,36,12,2008-11-26,26-109,MIA,POR,-38,0,20:40,1,2,.500,0,0,,1,1,1.000,3,0,3,0,0,3,1,3,3,4.0,-28
12,37,13,2008-11-28,26-111,MIA,PHO,15,1,26:40,1,3,.333,0,0,,3,4,.750,2,1,3,2,2,0,1,2,5,6.2,+15
13,38,14,2008-11-29,26-112,MIA,LAC,-1,1,19:35,0,1,.000,0,0,,0,0,,0,3,3,1,0,2,0,3,0,1.1,+2
14,39,15,2008-12-01,26-114,MIA,GSW,1,1,23:43,0,3,.000,0,0,,1,2,.500,1,1,2,0,0,2,0,2,1,0.1,-7
15,40,16,2008-12-03,26-116,MIA,UTA,4,1,14:35,1,2,.500,0,0,,0,0,,2,1,3,1,0,4,2,3,2,3.0,0
16,41,17,2008-12-06,26-119,MIA,OKC,6,1,28:34,2,3,.667,0,0,,2,2,1.000,3,1,4,2,0,1,1,3,6,7.0,0
17,42,18,2008-12-08,26-121,MIA,CHA,4,1,23:36,1,1,1.000,0,0,,0,0,,3,3,6,0,0,0,0,3,2,3.5,-1
18,43,19,2008-12-12,26-125,MIA,ATL,-14,1,21:59,1,3,.333,0,0,,0,0,,3,4,7,0,0,1,0,3,2,3.1,+5
19,44,20,2008-12-14,26-127,MIA,MEM,-16,1,34:46,5,5,1.000,0,0,,2,2,1.000,5,8,13,1,0,5,0,3,12,19.4,-19
