,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2017-10-18,19-256,CHO,DET,-12,0,21:28,1,9,.111,1,6,.167,0,0,,0,0,0,1,0,0,3,1,3,-5.6,-8
1,2,2,2017-10-20,19-258,CHO,ATL,18,0,18:36,2,7,.286,2,5,.400,0,0,,0,3,3,0,0,0,3,3,6,-1.4,-13
2,3,3,2017-10-23,19-261,CHO,MIL,-9,0,18:02,1,6,.167,0,3,.000,2,2,1.000,0,1,1,1,0,0,1,0,4,0.2,-10
3,4,4,2017-10-25,19-263,CHO,DEN,17,0,25:02,7,14,.500,3,9,.333,0,0,,0,2,2,2,2,0,1,2,17,12.2,+13
4,5,5,2017-10-27,19-265,CHO,HOU,-16,0,27:43,3,9,.333,2,7,.286,2,2,1.000,1,2,3,2,1,0,0,1,10,8.2,-19
5,6,6,2017-10-29,19-267,CHO,ORL,7,0,17:57,1,8,.125,0,3,.000,0,0,,0,1,1,3,0,1,3,0,2,-3.1,-8
6,7,7,2017-10-30,19-268,CHO,MEM,5,0,23:39,5,15,.333,3,7,.429,0,0,,0,4,4,3,0,1,1,3,13,6.3,+3
7,8,8,2017-11-01,19-270,CHO,MIL,5,0,22:39,10,17,.588,5,8,.625,0,0,,0,2,2,1,1,0,0,1,25,19.0,+6
8,9,9,2017-11-03,19-272,CHO,SAS,-7,0,17:53,1,5,.200,0,2,.000,0,0,,0,0,0,2,1,0,1,2,2,-0.5,-18
9,10,10,2017-11-05,19-274,CHO,MIN,-18,0,20:24,2,8,.250,1,3,.333,1,2,.500,0,3,3,8,0,0,1,2,6,5.5,0
10,11,11,2017-11-07,19-276,CHO,NYK,-5,0,26:42,8,17,.471,5,13,.385,0,0,,1,1,2,3,0,0,1,0,21,14.4,-12
11,12,12,2017-11-10,19-279,CHO,BOS,-3,0,18:05,1,8,.125,1,5,.200,3,4,.750,0,3,3,0,0,0,0,2,6,0.5,+3
12,13,13,2017-11-15,19-284,CHO,CLE,-8,0,8:54,2,5,.400,1,3,.333,0,0,,0,2,2,0,0,0,0,0,5,2.9,-3
13,14,14,2017-11-17,19-286,CHO,CHI,-3,0,9:55,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,0.6,-6
14,15,16,2017-11-20,19-289,CHO,MIN,16,0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
15,16,18,2017-11-24,19-293,CHO,CLE,-1,0,3:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2
16,17,19,2017-11-25,19-294,CHO,SAS,-20,0,17:10,1,3,.333,0,2,.000,2,3,.667,0,0,0,2,0,0,0,0,4,3.3,-3
17,18,20,2017-11-29,19-298,CHO,TOR,-13,0,15:53,3,6,.500,3,4,.750,0,0,,0,2,2,4,0,1,0,2,9,9.3,-3
18,19,21,2017-12-01,19-300,CHO,MIA,-5,0,20:12,2,9,.222,0,4,.000,2,3,.667,0,1,1,3,0,0,1,3,6,0.3,-5
19,20,23,2017-12-06,19-305,CHO,GSW,-14,0,4:41,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,0
