,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,363,1,2015-10-27,30-112,GSW,NOP,16,0,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
1,364,2,2015-10-30,30-115,GSW,HOU,20,0,5:54,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,0.6,-2
2,365,3,2015-10-31,30-116,GSW,NOP,14,0,10:51,2,2,1.000,1,1,1.000,0,0,,0,4,4,1,1,0,0,0,5,7.3,+1
3,366,4,2015-11-02,30-118,GSW,MEM,50,0,13:22,0,5,.000,0,3,.000,2,4,.500,0,6,6,2,0,0,2,1,2,-1.5,+6
4,367,6,2015-11-06,30-122,GSW,DEN,15,0,1:46,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
5,368,11,2015-11-14,30-130,GSW,BRK,8,1,20:46,3,5,.600,2,4,.500,0,0,,0,4,4,0,1,1,0,0,8,8.6,-12
6,369,13,2015-11-19,30-135,GSW,LAC,7,0,5:59,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-5
7,370,16,2015-11-24,30-140,GSW,LAL,34,0,8:01,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,1.3,-4
8,371,17,2015-11-27,30-143,GSW,PHO,19,0,14:28,1,4,.250,1,2,.500,1,2,.500,1,2,3,0,1,0,1,2,4,1.7,-4
9,372,18,2015-11-28,30-144,GSW,SAC,19,1,19:27,5,8,.625,4,5,.800,2,2,1.000,2,1,3,1,0,0,2,1,16,12.4,-2
10,373,19,2015-11-30,30-146,GSW,UTA,3,1,12:22,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,1,1,3,1.2,+3
11,374,20,2015-12-02,30-148,GSW,CHO,17,1,20:28,3,4,.750,2,3,.667,0,0,,1,3,4,0,0,1,1,0,8,7.7,+8
12,375,21,2015-12-05,30-151,GSW,TOR,3,1,13:42,1,2,.500,1,2,.500,0,0,,0,5,5,3,0,0,0,0,3,5.6,+8
13,376,22,2015-12-06,30-152,GSW,BRK,16,1,21:07,1,2,.500,1,2,.500,0,0,,0,3,3,2,0,0,0,1,3,3.9,+2
14,377,23,2015-12-08,30-154,GSW,IND,8,1,24:33,5,10,.500,3,6,.500,0,0,,3,0,3,1,0,1,1,1,13,10.1,-12
15,378,24,2015-12-11,30-157,GSW,BOS,5,1,16:06,2,4,.500,0,2,.000,0,0,,0,4,4,0,0,0,0,0,4,3.2,+5
16,379,25,2015-12-12,30-158,GSW,MIL,-13,1,18:08,2,6,.333,1,3,.333,1,2,.500,0,2,2,0,0,1,1,2,6,1.7,-3
17,380,26,2015-12-16,30-162,GSW,PHO,25,1,30:22,4,8,.500,3,5,.600,0,0,,0,3,3,2,0,0,1,2,11,7.5,+9
18,381,27,2015-12-18,30-164,GSW,MIL,9,1,24:49,4,7,.571,2,3,.667,0,0,,2,3,5,2,0,0,0,0,10,10.4,+14
19,382,28,2015-12-23,30-169,GSW,UTA,18,1,13:56,1,2,.500,1,2,.500,0,0,,0,2,2,0,1,1,1,0,3,3.3,+4
20,383,29,2015-12-25,30-171,GSW,CLE,6,1,17:40,0,5,.000,0,2,.000,0,0,,0,3,3,0,1,0,1,1,0,-3.0,0
21,384,30,2015-12-28,30-174,GSW,SAC,19,1,13:17,2,3,.667,2,3,.667,0,0,,1,2,3,1,0,1,1,6,6,4.0,+4
22,385,31,2015-12-30,30-176,GSW,DAL,-23,1,35:26,1,7,.143,1,6,.167,0,0,,0,6,6,3,1,0,1,1,3,2.0,-26
23,386,32,2015-12-31,30-177,GSW,HOU,4,1,13:45,1,6,.167,0,3,.000,0,0,,0,1,1,0,1,0,0,0,2,-0.5,-15
24,387,34,2016-01-04,30-181,GSW,CHO,10,1,17:33,4,7,.571,2,4,.500,0,0,,0,1,1,2,0,1,0,0,10,9.1,+6
25,388,35,2016-01-05,30-182,GSW,LAL,21,1,33:16,3,8,.375,2,3,.667,0,0,,2,7,9,2,1,0,0,1,8,9.1,0
