,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2008-10-29,20-052,MIN,SAC,2,0,18:31,5,8,.625,0,0,,2,2,1.000,4,5,9,2,1,2,2,4,12,12.9,+20
1,2,2,2008-11-01,20-055,MIN,DAL,-10,0,22:32,3,7,.429,0,2,.000,3,3,1.000,2,1,3,1,0,0,1,2,9,5.9,0
2,3,3,2008-11-02,20-056,MIN,OKC,-3,0,17:34,1,2,.500,0,1,.000,2,2,1.000,1,3,4,1,1,1,0,2,4,6.2,-9
3,4,4,2008-11-05,20-059,MIN,SAS,-4,0,36:38,4,13,.308,1,2,.500,5,6,.833,4,5,9,2,0,3,0,2,14,13.1,+2
4,5,5,2008-11-07,20-061,MIN,SAC,-12,1,30:13,6,7,.857,0,0,,8,10,.800,4,4,8,2,1,0,3,5,20,18.1,0
5,6,6,2008-11-08,20-062,MIN,POR,-4,1,26:14,0,7,.000,0,0,,2,4,.500,6,1,7,1,0,0,1,2,2,-0.3,-6
6,7,7,2008-11-11,20-065,MIN,GSW,-3,1,26:28,3,6,.500,0,1,.000,0,0,,4,5,9,1,0,0,1,3,6,5.8,+10
7,8,8,2008-11-15,20-069,MIN,POR,-5,1,24:50,2,9,.222,0,0,,4,4,1.000,1,3,4,1,0,0,1,1,8,3.4,-12
8,9,9,2008-11-16,20-070,MIN,DEN,-6,0,16:27,2,9,.222,0,0,,0,0,,1,5,6,1,1,0,2,1,4,0.0,-11
9,10,10,2008-11-19,20-073,MIN,PHI,6,0,19:46,2,6,.333,0,0,,5,5,1.000,1,3,4,1,0,2,1,2,9,7.5,+5
10,11,11,2008-11-21,20-075,MIN,BOS,-17,0,25:56,3,10,.300,0,3,.000,3,4,.750,2,3,5,0,2,0,2,3,9,3.9,-1
11,12,12,2008-11-23,20-077,MIN,DET,26,0,17:39,0,2,.000,0,0,,2,2,1.000,1,3,4,0,0,1,0,2,2,2.1,+2
12,13,13,2008-11-26,20-080,MIN,PHO,-8,0,15:18,0,3,.000,0,0,,3,4,.750,3,2,5,0,1,0,1,2,3,2.4,-8
13,14,14,2008-11-28,20-082,MIN,OKC,2,0,17:37,4,7,.571,0,0,,1,3,.333,2,3,5,0,0,1,1,3,9,5.7,-1
14,15,15,2008-11-29,20-083,MIN,DEN,-9,0,28:37,7,9,.778,0,0,,4,4,1.000,6,6,12,2,1,1,1,3,18,21.4,-3
15,16,16,2008-12-01,20-085,MIN,CHA,-10,0,22:24,3,7,.429,0,1,.000,4,6,.667,2,6,8,1,0,0,0,3,10,8.2,-7
16,17,17,2008-12-03,20-087,MIN,ORL,-11,0,26:45,6,10,.600,0,0,,4,4,1.000,8,4,12,2,0,1,2,1,16,17.9,+4
17,18,18,2008-12-05,20-089,MIN,NJN,-29,1,24:59,3,6,.500,0,0,,0,0,,2,3,5,2,0,0,0,1,6,6.3,-18
18,19,19,2008-12-06,20-090,MIN,LAC,-23,0,33:08,5,12,.417,0,0,,3,4,.750,4,11,15,2,0,1,4,3,13,9.2,-13
19,20,20,2008-12-09,20-093,MIN,UTA,-3,0,26:57,3,9,.333,0,0,,2,9,.222,8,7,15,1,2,0,4,4,8,4.9,-3
20,21,21,2008-12-10,20-094,MIN,DEN,-11,0,31:06,4,9,.444,0,0,,6,6,1.000,7,7,14,3,0,0,2,2,14,15.6,-2
21,22,22,2008-12-12,20-096,MIN,SAS,-12,0,25:18,2,8,.250,0,0,,0,2,.000,5,5,10,0,1,0,0,2,4,3.6,-12
22,23,23,2008-12-14,20-098,MIN,LAL,-12,0,20:55,1,5,.200,0,0,,0,0,,3,7,10,2,0,0,2,2,2,1.7,-2
23,24,24,2008-12-15,20-099,MIN,SAC,-15,0,26:16,3,7,.429,0,0,,1,2,.500,6,9,15,0,0,1,2,2,7,7.7,-4
24,25,25,2008-12-17,20-101,MIN,CLE,-23,0,19:12,0,4,.000,0,0,,0,0,,3,2,5,1,0,1,0,2,0,0.5,-18
25,26,26,2008-12-20,20-104,MIN,HOU,-7,0,6:55,0,1,.000,0,0,,0,0,,2,0,2,1,0,0,1,0,0,0.4,-10
26,27,27,2008-12-23,20-107,MIN,SAS,-6,0,14:48,0,3,.000,0,0,,1,2,.500,0,6,6,1,0,1,0,2,1,0.9,+4
27,28,28,2008-12-26,20-110,MIN,NYK,13,0,8:13,0,1,.000,0,0,,3,4,.750,1,4,5,0,0,0,3,3,3,-0.4,+2
28,29,29,2008-12-27,20-111,MIN,ORL,-24,0,20:34,2,4,.500,0,1,.000,1,2,.500,4,6,10,0,0,1,3,2,5,4.1,+1
29,30,30,2008-12-29,20-113,MIN,MEM,10,0,31:17,5,7,.714,0,0,,7,8,.875,3,4,7,2,1,1,2,3,17,16.9,+8
30,31,31,2008-12-30,20-114,MIN,DAL,-7,0,18:49,0,4,.000,0,0,,0,0,,2,5,7,2,0,1,0,3,0,1.0,+4
31,32,32,2009-01-02,20-117,MIN,GSW,7,0,25:30,6,9,.667,0,0,,7,8,.875,3,5,8,1,0,0,2,3,19,15.8,+8
32,33,33,2009-01-03,20-118,MIN,CHI,10,0,21:27,7,15,.467,0,1,.000,4,7,.571,5,7,12,0,0,1,0,2,18,14.6,-3
33,34,34,2009-01-06,20-121,MIN,MEM,7,0,20:15,3,5,.600,0,0,,0,0,,1,6,7,1,0,2,4,2,6,3.5,-5
34,35,35,2009-01-07,20-122,MIN,OKC,42,0,22:56,4,5,.800,0,0,,8,10,.800,4,11,15,2,0,1,2,2,16,18.7,+18
35,36,36,2009-01-10,20-125,MIN,MIL,2,0,22:37,2,4,.500,0,0,,1,2,.500,3,9,12,1,1,0,1,1,5,7.7,+9
36,37,37,2009-01-13,20-128,MIN,MIA,-3,0,24:22,3,7,.429,0,1,.000,2,2,1.000,4,5,9,3,1,2,3,1,8,9.7,+1
37,38,38,2009-01-16,20-131,MIN,PHO,2,0,25:57,5,12,.417,0,0,,3,5,.600,7,7,14,2,2,0,2,5,13,12.2,+4
38,39,39,2009-01-19,20-134,MIN,LAC,8,0,21:06,2,9,.222,0,0,,2,3,.667,4,4,8,2,1,0,1,3,6,4.3,-16
39,40,40,2009-01-20,20-135,MIN,UTA,-5,0,23:56,5,7,.714,0,0,,2,2,1.000,3,6,9,0,0,0,3,1,12,9.6,+3
40,41,41,2009-01-23,20-138,MIN,NOH,8,0,22:09,5,6,.833,0,0,,1,2,.500,4,1,5,0,0,1,1,2,11,10.4,+1
41,42,42,2009-01-25,20-140,MIN,CHI,1,0,33:22,8,11,.727,0,0,,3,6,.500,5,10,15,1,0,0,1,2,19,18.7,+16
42,43,43,2009-01-26,20-141,MIN,MIL,7,0,23:20,2,7,.286,0,0,,8,8,1.000,3,4,7,2,0,0,2,4,12,9.0,-2
43,44,44,2009-01-28,20-143,MIN,DET,-9,0,25:49,6,11,.545,0,0,,5,5,1.000,2,8,10,4,0,0,0,4,17,16.7,-15
44,45,45,2009-01-30,20-145,MIN,LAL,-13,0,23:05,5,8,.625,0,0,,4,4,1.000,2,7,9,0,1,0,1,6,14,11.5,-16
45,46,46,2009-02-01,20-147,MIN,BOS,-8,0,25:30,1,4,.250,0,0,,4,4,1.000,2,8,10,1,0,0,2,3,6,4.9,-14
46,47,47,2009-02-03,20-149,MIN,IND,5,0,22:40,5,8,.625,1,1,1.000,4,4,1.000,4,7,11,2,0,0,0,4,15,16.1,+9
47,48,48,2009-02-04,20-150,MIN,ATL,-8,1,30:12,6,10,.600,0,0,,4,5,.800,9,5,14,0,0,0,2,2,16,16.0,-1
48,49,49,2009-02-07,20-153,MIN,HOU,-17,1,33:26,1,7,.143,0,0,,2,2,1.000,2,7,9,1,0,2,2,2,4,2.3,-3
49,50,50,2009-02-08,20-154,MIN,NOH,-4,1,27:15,5,7,.714,0,0,,2,2,1.000,5,5,10,2,1,1,1,3,12,15.0,-6
50,51,51,2009-02-10,20-156,MIN,TOR,-8,1,38:00,6,14,.429,0,0,,3,4,.750,5,7,12,0,1,1,0,3,15,13.3,-4
51,52,52,2009-02-17,20-163,MIN,WAS,-8,1,28:52,3,7,.429,0,0,,11,12,.917,4,7,11,0,0,1,1,4,17,15.9,-8
52,53,53,2009-02-18,20-164,MIN,MIA,7,1,30:30,6,10,.600,0,0,,4,4,1.000,1,8,9,0,0,0,3,2,16,10.7,-9
53,54,54,2009-02-20,20-166,MIN,IND,-7,1,21:39,1,5,.200,0,0,,3,6,.500,3,9,12,2,2,0,1,4,5,6.3,-15
54,55,55,2009-02-22,20-168,MIN,LAL,-3,1,22:08,3,7,.429,0,0,,5,6,.833,4,6,10,0,0,0,3,4,11,6.9,+9
55,56,56,2009-02-24,20-170,MIN,TOR,-8,1,23:07,6,9,.667,0,0,,3,3,1.000,2,3,5,2,0,1,1,4,15,12.9,-11
56,57,57,2009-02-25,20-171,MIN,UTA,-17,1,36:09,10,12,.833,0,0,,4,5,.800,7,8,15,2,0,0,2,3,24,24.7,0
57,58,58,2009-02-27,20-173,MIN,POR,-20,1,28:51,1,4,.250,0,0,,0,0,,0,3,3,0,1,0,0,2,2,0.7,-16
58,59,59,2009-03-01,20-175,MIN,HOU,-11,1,22:36,4,12,.333,0,0,,1,2,.500,1,2,3,1,0,3,1,1,9,4.5,-21
59,60,60,2009-03-03,20-177,MIN,GSW,-24,1,26:14,7,14,.500,0,0,,4,4,1.000,4,10,14,0,0,0,1,3,18,14.6,-22
60,61,61,2009-03-06,20-180,MIN,LAL,-20,1,34:18,5,17,.294,0,0,,8,11,.727,4,10,14,1,0,2,1,5,18,11.8,-9
61,62,62,2009-03-07,20-181,MIN,POR,-2,1,24:56,3,8,.375,0,0,,0,0,,2,5,7,0,0,0,1,5,6,1.5,-5
62,63,63,2009-03-09,20-183,MIN,WAS,-11,1,31:22,7,14,.500,0,0,,2,3,.667,5,6,11,0,3,0,1,2,16,15.1,0
63,64,64,2009-03-11,20-185,MIN,MEM,25,1,29:35,8,14,.571,0,1,.000,3,3,1.000,4,7,11,4,1,1,3,2,19,18.0,+17
64,65,65,2009-03-13,20-187,MIN,NYK,-8,1,25:51,2,7,.286,0,0,,2,4,.500,1,3,4,2,1,4,3,4,6,3.3,-19
65,66,66,2009-03-14,20-188,MIN,CHA,8,1,33:31,9,17,.529,0,0,,4,4,1.000,6,1,7,1,0,0,0,3,22,17.7,-3
66,67,67,2009-03-17,20-191,MIN,SAS,-7,1,31:30,7,11,.636,0,0,,3,5,.600,3,16,19,1,0,0,2,3,17,15.7,-2
67,68,68,2009-03-18,20-192,MIN,NOH,-1,1,33:20,6,11,.545,0,0,,11,13,.846,4,7,11,0,0,1,1,4,23,19.9,-8
68,69,69,2009-03-20,20-194,MIN,HOU,-19,1,28:16,7,13,.538,0,1,.000,4,5,.800,5,7,12,0,0,0,1,1,18,15.5,-11
69,70,70,2009-03-22,20-196,MIN,OKC,-7,1,27:55,3,13,.231,0,0,,4,4,1.000,1,5,6,1,1,0,1,1,10,4.6,+2
70,71,71,2009-03-23,20-197,MIN,ATL,-12,1,23:09,6,11,.545,0,0,,5,5,1.000,4,2,6,0,0,0,1,0,17,14.1,-3
71,72,72,2009-03-25,20-199,MIN,PHI,-8,0,22:23,4,8,.500,0,0,,4,4,1.000,3,6,9,0,2,2,1,2,12,13.5,-5
72,73,73,2009-03-27,20-201,MIN,CLE,-22,1,26:49,7,13,.538,0,0,,4,4,1.000,1,5,6,2,0,1,2,3,18,12.8,-13
73,74,74,2009-03-29,20-203,MIN,NJN,9,1,39:58,4,9,.444,0,0,,8,14,.571,3,8,11,0,0,1,2,1,16,11.7,+2
74,75,75,2009-03-31,20-205,MIN,DAL,-20,1,35:49,9,17,.529,0,1,.000,5,6,.833,3,9,12,3,2,0,0,2,23,22.4,-13
75,76,76,2009-04-03,20-208,MIN,UTA,1,1,26:09,1,3,.333,0,1,.000,0,0,,1,5,6,1,1,1,1,2,2,3.1,+16
76,77,77,2009-04-07,20-212,MIN,LAC,10,1,26:22,5,13,.385,0,0,,3,4,.750,6,9,15,1,0,1,3,4,13,9.2,+6
77,78,78,2009-04-08,20-213,MIN,GSW,8,1,25:12,5,12,.417,0,0,,10,10,1.000,4,8,12,0,1,1,0,0,20,20.5,-6
78,79,79,2009-04-11,20-216,MIN,PHO,-13,1,20:02,2,8,.250,0,0,,1,2,.500,2,4,6,0,0,0,2,2,5,-0.4,-10
79,80,80,2009-04-13,20-218,MIN,DAL,-2,1,18:43,5,11,.455,0,0,,0,0,,4,7,11,0,0,0,2,3,10,6.0,-11
80,81,81,2009-04-15,20-220,MIN,SAC,-7,0,27:38,4,10,.400,0,1,.000,4,6,.667,3,7,10,0,0,0,5,2,12,4.2,-6
