,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,575,1,2017-10-17,29-217,GSW,HOU,-1,1,29:33,8,18,.444,3,9,.333,3,3,1.000,0,5,5,4,1,0,2,4,22,14.3,+9
1,576,2,2017-10-20,29-220,GSW,NOP,8,1,35:07,7,16,.438,4,11,.364,10,10,1.000,0,3,3,8,0,0,1,1,28,24.7,+7
2,577,3,2017-10-21,29-221,GSW,MEM,-10,1,30:05,9,17,.529,6,11,.545,13,13,1.000,0,6,6,3,0,0,2,5,37,28.6,-6
3,578,4,2017-10-23,29-223,GSW,DAL,30,1,31:09,7,15,.467,2,10,.200,13,13,1.000,2,0,2,8,4,0,6,1,29,25.9,+22
4,579,5,2017-10-25,29-225,GSW,TOR,5,1,37:31,9,20,.450,4,11,.364,8,8,1.000,0,4,4,5,3,1,2,2,30,25.2,+14
5,580,6,2017-10-27,29-227,GSW,WAS,3,1,36:12,7,19,.368,3,13,.231,3,3,1.000,0,5,5,8,2,0,2,2,20,15.8,-8
6,581,7,2017-10-29,29-229,GSW,DET,-8,1,35:26,11,17,.647,3,7,.429,2,3,.667,1,5,6,8,1,0,5,3,27,21.7,+12
7,582,8,2017-10-30,29-230,GSW,LAC,28,1,29:54,9,14,.643,7,11,.636,6,8,.750,2,3,5,6,2,1,1,3,31,31.0,+23
8,583,9,2017-11-02,29-233,GSW,SAS,20,1,31:51,7,13,.538,3,4,.750,4,4,1.000,1,7,8,5,3,0,2,2,21,21.2,+16
9,584,10,2017-11-04,29-235,GSW,DEN,19,1,29:38,7,14,.500,5,10,.500,3,4,.750,0,0,0,11,2,0,3,0,22,21.3,+44
10,585,11,2017-11-06,29-237,GSW,MIA,17,1,33:53,5,19,.263,2,9,.222,4,5,.800,0,5,5,4,2,0,1,3,16,8.4,+25
11,586,12,2017-11-08,29-239,GSW,MIN,24,1,29:48,7,16,.438,2,7,.286,6,6,1.000,0,8,8,8,2,1,5,2,22,18.5,+16
12,587,13,2017-11-11,29-242,GSW,PHI,21,1,29:54,5,12,.417,3,8,.375,9,9,1.000,0,4,4,9,1,0,2,0,22,22.1,+29
13,588,15,2017-11-16,29-247,GSW,BOS,-4,1,31:04,3,14,.214,2,9,.222,1,2,.500,2,4,6,5,4,0,4,5,9,4.1,-14
14,589,16,2017-11-18,29-249,GSW,PHI,8,1,34:39,11,22,.500,4,9,.444,9,9,1.000,0,5,5,5,0,1,2,1,35,27.3,+3
15,590,17,2017-11-19,29-250,GSW,BRK,7,1,32:39,14,24,.583,4,10,.400,7,8,.875,3,8,11,7,3,0,7,6,39,30.4,+4
16,591,18,2017-11-22,29-253,GSW,OKC,-17,1,30:49,9,18,.500,3,8,.375,3,3,1.000,1,4,5,6,1,0,6,1,24,15.7,-17
17,592,19,2017-11-24,29-255,GSW,CHI,49,1,26:51,10,18,.556,4,11,.364,9,9,1.000,0,7,7,4,2,0,2,2,33,28.5,+39
18,593,20,2017-11-25,29-256,GSW,NOP,15,1,36:28,9,25,.360,3,13,.231,6,6,1.000,0,4,4,6,1,0,1,2,27,17.7,+5
19,594,22,2017-11-29,29-260,GSW,LAL,4,1,39:24,9,20,.450,3,9,.333,7,8,.875,0,5,5,7,0,0,5,4,28,17.0,+4
20,595,23,2017-12-01,29-262,GSW,ORL,21,1,33:03,9,20,.450,3,8,.375,2,2,1.000,1,5,6,10,3,0,4,2,23,20.0,+19
21,596,24,2017-12-03,29-264,GSW,MIA,28,1,30:19,11,16,.688,5,9,.556,3,4,.750,0,2,2,3,2,0,0,1,30,27.1,+20
22,597,25,2017-12-04,29-265,GSW,NOP,10,1,34:27,9,19,.474,5,11,.455,8,9,.889,2,3,5,11,1,0,2,5,31,27.9,-1
23,598,37,2017-12-30,29-291,GSW,MEM,13,1,25:36,13,17,.765,10,13,.769,2,2,1.000,0,4,4,3,0,0,0,2,38,33.8,+24
24,599,38,2018-01-03,29-295,GSW,DAL,3,1,34:29,11,19,.579,6,13,.462,4,5,.800,0,5,5,8,1,0,3,1,32,27.4,+7
