,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,125,1,2015-10-27,26-006,GSW,NOP,16,0,17:01,6,10,.600,0,0,,1,2,.500,3,1,4,1,1,1,1,2,13,11.0,-7
1,126,2,2015-10-30,26-009,GSW,HOU,20,1,24:42,4,9,.444,0,0,,1,4,.250,3,4,7,1,0,2,2,2,9,5.7,+15
2,127,3,2015-10-31,26-010,GSW,NOP,14,1,15:04,0,2,.000,0,0,,1,6,.167,0,5,5,1,1,1,0,3,1,0.3,+3
3,128,4,2015-11-02,26-012,GSW,MEM,50,1,20:26,4,5,.800,0,0,,3,3,1.000,3,7,10,0,0,3,1,2,11,13.6,+37
4,129,5,2015-11-04,26-014,GSW,LAC,4,1,22:51,6,8,.750,0,0,,0,1,.000,1,3,4,2,0,2,0,3,12,11.6,-10
5,130,6,2015-11-06,26-016,GSW,DEN,15,1,17:52,7,7,1.000,0,0,,2,4,.500,3,4,7,2,1,2,3,4,16,15.6,+4
6,131,7,2015-11-07,26-017,GSW,SAC,9,1,21:42,3,9,.333,0,0,,4,5,.800,4,8,12,0,0,1,1,0,10,9.4,-9
7,132,8,2015-11-09,26-019,GSW,DET,14,1,23:08,2,6,.333,0,0,,4,4,1.000,1,1,2,2,0,2,1,4,8,5.8,+6
8,133,9,2015-11-11,26-021,GSW,MEM,16,1,20:13,1,2,.500,0,0,,1,2,.500,2,3,5,0,1,0,1,4,3,2.3,+11
9,134,10,2015-11-12,26-022,GSW,MIN,13,1,16:01,5,6,.833,0,0,,0,0,,1,1,2,3,0,0,0,4,10,9.3,+3
10,135,11,2015-11-14,26-024,GSW,BRK,8,1,18:10,1,4,.250,0,0,,1,2,.500,1,4,5,1,0,2,0,1,3,3.8,+2
11,136,12,2015-11-17,26-027,GSW,TOR,5,0,22:14,3,4,.750,0,0,,2,4,.500,1,5,6,1,2,4,2,3,8,10.1,+12
12,137,13,2015-11-19,26-029,GSW,LAC,7,0,21:18,1,2,.500,0,0,,3,4,.750,2,2,4,3,0,2,2,3,5,5.9,-6
13,138,14,2015-11-20,26-030,GSW,CHI,12,0,23:23,3,4,.750,0,0,,1,2,.500,5,4,9,1,0,2,0,3,7,10.6,+15
14,139,15,2015-11-22,26-032,GSW,DEN,13,0,12:22,1,7,.143,0,0,,2,4,.500,2,4,6,0,0,1,1,3,4,-0.2,+5
15,140,16,2015-11-24,26-034,GSW,LAL,34,0,15:59,4,5,.800,0,0,,1,5,.200,2,5,7,1,0,0,0,3,9,7.9,+18
16,141,17,2015-11-27,26-037,GSW,PHO,19,0,16:34,3,8,.375,0,0,,0,2,.000,4,5,9,2,0,3,1,3,6,6.4,+4
17,142,18,2015-11-28,26-038,GSW,SAC,19,0,17:59,4,6,.667,0,0,,3,4,.750,4,7,11,1,0,0,1,2,11,11.8,+14
18,143,19,2015-11-30,26-040,GSW,UTA,3,0,23:43,3,3,1.000,0,0,,2,2,1.000,1,5,6,0,0,0,0,3,8,8.1,+11
19,144,20,2015-12-02,26-042,GSW,CHO,17,0,16:10,3,7,.429,0,0,,3,3,1.000,3,3,6,0,0,0,1,3,9,6.1,+8
20,145,21,2015-12-05,26-045,GSW,TOR,3,1,27:06,2,5,.400,0,0,,4,8,.500,4,6,10,0,1,1,0,4,8,8.4,+15
21,146,22,2015-12-06,26-046,GSW,BRK,16,0,19:35,5,7,.714,0,0,,2,5,.400,2,3,5,1,0,4,0,1,12,13.3,+20
22,147,23,2015-12-08,26-048,GSW,IND,8,0,18:12,5,8,.625,0,0,,2,4,.500,2,3,5,0,0,0,1,2,12,8.1,-13
23,148,24,2015-12-11,26-051,GSW,BOS,5,0,27:30,3,7,.429,0,0,,6,11,.545,4,8,12,0,1,1,2,1,12,10.8,+5
24,149,25,2015-12-12,26-052,GSW,MIL,-13,0,20:27,5,8,.625,0,0,,3,6,.500,6,2,8,0,2,0,2,3,13,11.8,-7
25,150,26,2015-12-16,26-056,GSW,PHO,25,0,14:33,3,7,.429,0,0,,1,2,.500,1,4,5,0,0,0,1,1,7,3.4,-3
26,151,27,2015-12-18,26-058,GSW,MIL,9,0,26:54,6,8,.750,0,0,,2,6,.333,6,4,10,2,2,0,1,3,14,15.8,+20
27,152,28,2015-12-23,26-063,GSW,UTA,18,0,15:04,2,6,.333,0,0,,2,2,1.000,1,3,4,1,1,4,2,2,6,5.9,+1
28,153,29,2015-12-25,26-065,GSW,CLE,6,0,17:29,1,4,.250,0,0,,1,2,.500,0,4,4,0,0,2,2,1,3,0.4,-5
