,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,500,3,2015-11-01,27-058,DEN,OKC,-24,0,2:55,0,0,,0,0,,1,2,.500,0,1,1,0,1,0,0,0,1,1.9,+3
1,501,4,2015-11-03,27-060,DEN,LAL,11,1,24:41,8,9,.889,0,0,,1,3,.333,1,6,7,2,0,2,0,4,17,16.8,+10
2,502,5,2015-11-05,27-062,DEN,UTA,-12,1,24:36,4,9,.444,0,0,,0,4,.000,2,5,7,1,0,1,4,2,8,1.2,+1
3,503,6,2015-11-06,27-063,DEN,GSW,-15,0,6:46,2,3,.667,0,0,,1,2,.500,1,0,1,0,0,1,2,2,5,1.9,-7
4,504,7,2015-11-09,27-066,DEN,POR,4,1,29:39,7,11,.636,0,0,,5,11,.455,2,11,13,1,0,3,0,4,19,17.6,+4
5,505,8,2015-11-11,27-068,DEN,MIL,1,1,28:50,5,8,.625,0,0,,2,2,1.000,0,2,2,1,1,1,1,2,12,9.6,-6
6,506,9,2015-11-13,27-070,DEN,HOU,9,1,23:06,5,9,.556,0,0,,0,2,.000,2,4,6,2,1,0,1,4,10,7.3,-10
7,507,10,2015-11-14,27-071,DEN,PHO,-24,1,17:33,0,2,.000,0,0,,0,0,,0,4,4,0,0,0,1,1,0,-1.6,-4
8,508,11,2015-11-17,27-074,DEN,NOP,17,1,6:21,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,+2
9,509,12,2015-11-18,27-075,DEN,SAS,-11,1,16:06,2,10,.200,0,0,,2,2,1.000,3,4,7,1,1,0,0,2,6,4.0,-9
10,510,13,2015-11-20,27-077,DEN,PHO,-7,0,14:26,4,6,.667,0,0,,2,2,1.000,0,2,2,3,1,1,0,1,10,11.4,+5
11,511,14,2015-11-22,27-079,DEN,GSW,-13,0,9:56,1,3,.333,0,0,,0,2,.000,0,3,3,2,0,0,0,1,2,1.4,+1
12,512,15,2015-11-24,27-081,DEN,LAC,-17,0,19:17,4,7,.571,0,0,,3,4,.750,1,4,5,0,1,0,1,1,11,8.8,-4
13,513,16,2015-11-27,27-084,DEN,SAS,-11,0,16:30,3,6,.500,0,0,,3,4,.750,1,0,1,0,0,2,0,2,9,6.9,-11
14,514,19,2015-12-02,27-089,DEN,CHI,-9,0,15:40,2,5,.400,0,0,,1,2,.500,2,4,6,1,3,0,1,4,5,5.6,0
15,515,21,2015-12-05,27-092,DEN,PHI,3,0,7:18,2,4,.500,0,0,,3,9,.333,1,3,4,2,1,0,0,1,7,6.2,+3
16,516,22,2015-12-08,27-095,DEN,ORL,-11,1,28:42,4,10,.400,0,0,,2,6,.333,3,8,11,0,0,1,4,2,10,3.4,-7
17,517,37,2016-01-08,27-126,DEN,MEM,-7,0,11:00,1,5,.200,0,0,,1,2,.500,2,3,5,0,0,0,1,2,3,0.0,-11
18,518,46,2016-01-27,27-145,DEN,BOS,-8,0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
19,519,51,2016-02-05,27-154,DEN,CHI,5,0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
20,520,56,2016-02-28,27-177,WAS,CLE,14,0,5:42,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,0,2,1.7,-13
21,521,57,2016-02-29,27-178,WAS,PHI,8,0,5:17,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.1,+2
22,522,59,2016-03-04,27-182,WAS,CLE,-25,0,6:43,2,2,1.000,0,0,,1,3,.333,1,1,2,0,0,0,0,1,5,4.2,0
23,523,62,2016-03-11,27-189,WAS,UTA,-21,0,7:17,0,1,.000,0,0,,1,4,.250,2,1,3,1,1,0,0,1,1,2.1,-8
24,524,63,2016-03-12,27-190,WAS,DEN,-16,0,12:02,3,6,.500,0,0,,4,5,.800,2,2,4,0,0,0,1,2,10,6.8,-4
25,525,64,2016-03-14,27-192,WAS,DET,43,0,7:54,2,2,1.000,0,0,,1,2,.500,0,1,1,1,1,0,1,1,5,4.6,+8
26,526,65,2016-03-16,27-194,WAS,CHI,21,0,6:13,0,3,.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,0,2,1.6,+3
27,527,69,2016-03-23,27-201,WAS,ATL,-21,0,2:19,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,0
28,528,71,2016-03-27,27-205,WAS,LAL,13,0,19:35,5,5,1.000,0,0,,4,12,.333,1,4,5,0,2,0,2,3,14,10.0,-5
29,529,72,2016-03-29,27-207,WAS,GSW,-8,0,5:51,4,6,.667,0,0,,1,2,.500,2,3,5,0,0,0,0,0,9,8.3,+11
30,530,74,2016-04-01,27-210,WAS,PHO,7,0,1:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
31,531,76,2016-04-06,27-215,WAS,BRK,18,0,6:24,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,0.2,-7
32,532,78,2016-04-10,27-219,WAS,CHO,15,0,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
33,533,79,2016-04-11,27-220,WAS,BRK,9,0,24:04,6,10,.600,0,0,,3,6,.500,2,4,6,2,0,1,2,1,15,11.5,+2
34,534,80,2016-04-13,27-222,WAS,ATL,11,0,19:16,2,7,.286,0,0,,2,8,.250,5,7,12,1,0,1,1,1,6,5.1,-11
