,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,508,1,2015-10-28,26-350,OKC,SAS,6,1,36:59,12,23,.522,3,6,.500,6,7,.857,1,1,2,10,2,0,5,3,33,25.1,+7
1,509,2,2015-10-30,26-352,OKC,ORL,3,1,47:35,17,36,.472,1,5,.200,13,16,.813,5,6,11,8,1,1,6,3,48,33.8,+2
2,510,3,2015-11-01,26-354,OKC,DEN,24,1,25:26,7,13,.538,1,4,.250,0,0,,2,7,9,8,3,0,4,0,15,16.8,+22
3,511,4,2015-11-02,26-355,OKC,HOU,-5,1,31:57,10,16,.625,3,6,.500,2,2,1.000,2,6,8,11,2,0,7,5,25,21.7,+4
4,512,5,2015-11-04,26-357,OKC,TOR,-5,1,35:20,8,21,.381,3,9,.333,3,4,.750,0,5,5,16,2,0,8,4,22,15.2,+3
5,513,6,2015-11-05,26-358,OKC,CHI,-6,1,38:34,7,18,.389,0,2,.000,6,6,1.000,2,6,8,10,1,0,2,2,20,18.6,+8
6,514,7,2015-11-08,26-361,OKC,PHO,21,1,33:58,9,20,.450,0,3,.000,3,4,.750,4,2,6,13,4,0,2,3,21,23.5,+26
7,515,8,2015-11-10,26-363,OKC,WAS,24,1,27:46,7,17,.412,3,4,.750,5,6,.833,2,9,11,11,1,0,5,0,22,20.3,+23
8,516,9,2015-11-13,27-001,OKC,PHI,17,1,34:47,8,22,.364,2,6,.333,3,4,.750,4,13,17,11,3,0,6,1,21,19.4,+16
9,517,10,2015-11-15,27-003,OKC,BOS,-15,1,32:37,5,20,.250,2,10,.200,15,17,.882,1,3,4,5,3,2,4,4,27,18.1,-7
10,518,11,2015-11-16,27-004,OKC,MEM,-8,1,38:32,13,19,.684,5,8,.625,9,13,.692,1,3,4,14,3,0,8,1,40,36.3,+2
11,519,12,2015-11-18,27-006,OKC,NOP,7,1,36:04,14,25,.560,0,3,.000,15,20,.750,3,6,9,8,1,1,4,1,43,35.9,-5
12,520,13,2015-11-20,27-008,OKC,NYK,-3,1,37:37,11,29,.379,2,10,.200,10,12,.833,3,4,7,7,4,1,3,4,34,25.6,+4
13,521,14,2015-11-22,27-010,OKC,DAL,3,1,36:53,12,22,.545,2,5,.400,5,6,.833,0,5,5,11,5,1,7,1,31,27.5,+4
14,522,15,2015-11-23,27-011,OKC,UTA,22,1,27:18,5,10,.500,0,2,.000,10,10,1.000,2,5,7,9,1,0,4,3,20,20.0,+9
15,523,16,2015-11-25,27-013,OKC,BRK,11,1,35:14,10,16,.625,0,3,.000,7,8,.875,1,5,6,13,5,0,3,1,27,32.3,+16
16,524,17,2015-11-27,27-015,OKC,DET,16,1,28:37,5,14,.357,1,3,.333,3,5,.600,2,2,4,4,1,0,11,6,14,-2.2,+9
17,525,18,2015-11-30,27-018,OKC,ATL,-6,1,35:57,11,24,.458,1,5,.200,11,11,1.000,2,9,11,7,2,0,6,3,34,25.4,-2
