,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,916,1,2015-10-28,33-195,SAS,OKC,-6,0,20:08,4,5,.800,1,1,1.000,0,0,,0,0,0,6,2,3,1,1,9,14.0,0
1,917,2,2015-10-30,33-197,SAS,BRK,27,0,18:43,3,5,.600,1,1,1.000,0,0,,0,3,3,3,1,0,2,2,7,5.9,+1
2,918,3,2015-11-01,33-199,SAS,BOS,8,0,23:46,4,8,.500,0,1,.000,2,3,.667,0,1,1,4,0,0,0,1,10,8.3,+11
3,919,4,2015-11-02,33-200,SAS,NYK,10,0,20:00,2,6,.333,1,2,.500,1,2,.500,1,3,4,1,0,0,3,2,6,0.7,-5
4,920,5,2015-11-04,33-202,SAS,WAS,-3,0,15:28,0,1,.000,0,1,.000,1,2,.500,0,1,1,3,0,0,0,0,1,2.3,+18
5,921,6,2015-11-07,33-205,SAS,CHO,20,0,15:42,2,3,.667,0,0,,0,0,,1,1,2,4,0,1,0,2,4,6.4,+31
6,922,7,2015-11-09,33-207,SAS,SAC,18,0,20:05,3,4,.750,0,1,.000,0,0,,0,2,2,5,0,0,1,1,6,7.1,+5
7,923,8,2015-11-11,33-209,SAS,POR,12,0,17:44,3,6,.500,0,1,.000,0,0,,2,3,5,4,0,0,1,2,6,6.3,+11
8,924,9,2015-11-14,33-212,SAS,PHI,9,0,16:17,0,4,.000,0,0,,2,2,1.000,1,3,4,3,1,0,1,0,2,2.9,-9
9,925,10,2015-11-16,33-214,SAS,POR,13,0,21:52,5,8,.625,0,1,.000,2,2,1.000,2,6,8,3,1,1,0,1,12,15.0,+9
10,926,11,2015-11-18,33-216,SAS,DEN,11,0,20:01,1,5,.200,0,1,.000,0,0,,0,2,2,1,1,0,1,3,2,-1.0,-4
11,927,12,2015-11-20,33-218,SAS,NOP,-14,0,24:58,2,3,.667,1,1,1.000,0,0,,1,3,4,4,0,0,1,1,5,6.7,-11
12,928,13,2015-11-21,33-219,SAS,MEM,10,0,11:43,1,4,.250,0,0,,0,0,,1,1,2,2,0,0,2,1,2,-0.4,+11
13,929,14,2015-11-23,33-221,SAS,PHO,14,0,12:57,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,2,2,0,-3.2,-7
14,930,15,2015-11-25,33-223,SAS,DAL,5,0,10:13,0,1,.000,0,1,.000,0,0,,2,1,3,1,0,0,0,1,0,1.3,-5
15,931,16,2015-11-27,33-225,SAS,DEN,11,0,22:40,3,5,.600,0,0,,0,0,,0,5,5,2,0,0,1,4,6,4.0,+10
16,932,17,2015-11-28,33-226,SAS,ATL,20,0,16:40,4,6,.667,1,1,1.000,0,0,,0,2,2,3,1,0,1,2,9,8.3,+1
17,933,18,2015-11-30,33-228,SAS,CHI,-3,0,17:31,2,5,.400,1,2,.500,0,0,,1,5,6,0,0,0,1,1,5,3.1,-10
18,934,19,2015-12-02,33-230,SAS,MIL,25,0,25:13,5,9,.556,1,1,1.000,0,2,.000,3,4,7,3,0,0,2,1,11,8.9,+13
19,935,20,2015-12-03,33-231,SAS,MEM,20,0,13:42,1,4,.250,0,0,,0,0,,0,3,3,0,0,0,1,0,2,-0.5,+3
20,936,21,2015-12-05,33-233,SAS,BOS,3,0,24:48,6,11,.545,1,2,.500,3,5,.600,2,1,3,4,0,0,2,0,16,12.4,+12
21,937,22,2015-12-07,33-235,SAS,PHI,51,0,15:36,3,3,1.000,1,1,1.000,0,0,,1,2,3,5,0,0,2,0,7,8.9,+32
22,938,23,2015-12-09,33-237,SAS,TOR,-3,0,17:53,3,5,.600,0,2,.000,3,3,1.000,1,1,2,0,0,0,2,2,9,4.9,+5
23,939,24,2015-12-11,33-239,SAS,LAL,22,0,25:28,3,6,.500,1,1,1.000,1,2,.500,1,3,4,1,1,1,2,2,8,5.8,+14
24,940,25,2015-12-12,33-240,SAS,ATL,25,0,13:55,0,4,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,1,0,-0.8,+3
25,941,26,2015-12-14,33-242,SAS,UTA,37,0,19:59,2,3,.667,0,0,,0,0,,0,2,2,1,0,1,0,0,4,4.7,+1
26,942,27,2015-12-16,33-244,SAS,WAS,19,0,21:07,3,5,.600,0,1,.000,0,0,,0,5,5,1,1,1,1,1,6,6.2,+7
27,943,28,2015-12-18,33-246,SAS,LAC,8,0,19:11,1,3,.333,0,1,.000,1,1,1.000,1,3,4,5,1,0,2,4,3,3.8,+7
28,944,29,2015-12-21,33-249,SAS,IND,14,0,25:29,7,9,.778,0,1,.000,0,0,,2,6,8,1,0,0,4,1,14,10.0,+21
29,945,30,2015-12-23,33-251,SAS,MIN,25,0,16:24,3,5,.600,0,1,.000,0,0,,0,3,3,2,0,0,1,3,6,3.8,+4
30,946,31,2015-12-25,33-253,SAS,HOU,-4,0,15:58,5,11,.455,0,2,.000,0,0,,0,0,0,2,1,0,2,2,10,3.9,-6
31,947,32,2015-12-26,33-254,SAS,DEN,15,0,24:34,6,10,.600,2,2,1.000,2,3,.667,2,1,3,0,1,0,2,0,16,11.7,-2
32,948,33,2015-12-28,33-256,SAS,MIN,6,0,25:38,2,2,1.000,0,0,,0,0,,1,1,2,4,0,1,3,2,4,4.1,+15
33,949,34,2015-12-30,33-258,SAS,PHO,33,0,19:34,5,7,.714,0,1,.000,3,5,.600,1,3,4,2,1,0,4,1,13,8.9,+18
34,950,35,2016-01-02,33-261,SAS,HOU,18,0,25:23,8,13,.615,2,2,1.000,2,2,1.000,3,5,8,2,2,0,1,3,20,18.9,+18
35,951,36,2016-01-04,33-263,SAS,MIL,25,0,19:14,6,8,.750,0,1,.000,2,2,1.000,1,3,4,2,1,0,1,2,14,13.0,+19
36,952,37,2016-01-06,33-265,SAS,UTA,25,0,16:25,1,2,.500,0,1,.000,0,0,,0,1,1,6,0,0,1,0,2,4.5,+1
37,953,38,2016-01-08,33-267,SAS,NYK,1,0,17:54,3,6,.500,0,0,,2,2,1.000,0,4,4,1,0,0,0,1,8,6.5,+3
38,954,39,2016-01-11,33-270,SAS,BRK,27,0,18:25,4,7,.571,1,1,1.000,2,4,.500,1,2,3,4,1,0,0,1,11,11.6,+9
39,955,40,2016-01-12,33-271,SAS,DET,10,0,26:00,4,8,.500,0,1,.000,4,4,1.000,1,2,3,3,0,0,3,2,12,7.6,+2
40,956,41,2016-01-14,33-273,SAS,CLE,4,0,9:57,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,2,0,2,0.7,-6
41,957,42,2016-01-17,33-276,SAS,DAL,29,0,15:55,6,11,.545,2,5,.400,2,2,1.000,1,2,3,3,1,0,1,3,16,12.9,+8
42,958,43,2016-01-21,33-280,SAS,PHO,28,0,19:23,2,5,.400,1,1,1.000,0,0,,0,4,4,4,0,2,1,0,5,6.7,+14
43,959,44,2016-01-22,33-281,SAS,LAL,13,0,20:39,1,3,.333,0,0,,2,2,1.000,1,2,3,4,0,0,0,3,4,5.2,+16
44,960,45,2016-01-25,33-284,SAS,GSW,-30,0,17:49,1,2,.500,0,1,.000,3,3,1.000,0,0,0,1,0,0,2,0,5,2.7,-15
45,961,46,2016-01-27,33-286,SAS,HOU,31,0,18:33,0,3,.000,0,2,.000,0,0,,0,2,2,3,1,0,0,5,0,-0.4,+10
46,962,47,2016-01-30,33-289,SAS,CLE,-14,0,16:21,3,5,.600,0,0,,1,1,1.000,1,3,4,1,0,0,0,0,7,7.0,-11
47,963,48,2016-02-01,33-291,SAS,ORL,15,1,17:14,1,1,1.000,0,0,,0,0,,2,4,6,2,1,0,0,0,2,6.7,+1
48,964,49,2016-02-03,33-293,SAS,NOP,13,0,8:26,0,2,.000,0,0,,0,0,,0,2,2,2,0,0,0,0,0,0.6,+9
49,965,50,2016-02-05,33-295,SAS,DAL,26,0,18:35,2,4,.500,1,1,1.000,0,0,,1,4,5,4,0,0,0,3,5,6.5,+12
50,966,51,2016-02-06,33-296,SAS,LAL,4,0,23:23,1,3,.333,1,1,1.000,1,2,.500,0,1,1,3,0,1,0,1,4,4.6,+1
51,967,52,2016-02-09,33-299,SAS,MIA,18,0,25:23,4,8,.500,1,2,.500,0,2,.000,2,3,5,2,0,0,2,4,9,4.3,+7
52,968,53,2016-02-10,33-300,SAS,ORL,2,0,17:41,2,7,.286,0,1,.000,0,0,,0,3,3,2,0,0,1,0,4,1.2,-16
53,969,54,2016-02-18,33-308,SAS,LAC,-19,0,11:12,2,5,.400,1,1,1.000,0,0,,1,1,2,1,1,0,1,0,5,4.0,-5
54,970,55,2016-02-19,33-309,SAS,LAL,6,0,19:15,5,7,.714,0,0,,0,0,,1,2,3,2,0,0,3,2,10,6.0,+2
55,971,56,2016-02-21,33-311,SAS,PHO,7,0,23:08,4,6,.667,1,1,1.000,0,0,,0,3,3,4,0,2,2,1,9,9.1,+11
56,972,57,2016-02-24,33-314,SAS,SAC,16,0,23:15,3,4,.750,0,0,,2,2,1.000,0,3,3,7,0,1,2,1,8,10.5,+25
57,973,58,2016-02-25,33-315,SAS,UTA,18,0,9:35,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,0,2,1.6,-2
58,974,59,2016-02-27,33-317,SAS,HOU,10,0,10:09,1,1,1.000,0,0,,1,2,.500,0,1,1,2,0,0,1,0,3,3.0,+1
59,975,60,2016-03-02,33-321,SAS,DET,16,0,13:42,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,2.9,-8
60,976,61,2016-03-03,33-322,SAS,NOP,8,0,5:39,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-7
61,977,62,2016-03-05,33-324,SAS,SAC,10,1,30:20,5,9,.556,1,3,.333,0,0,,1,2,3,6,2,2,6,4,11,8.0,0
62,978,63,2016-03-07,33-326,SAS,IND,-8,0,14:10,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,2,0,-0.5,-7
63,979,64,2016-03-08,33-327,SAS,MIN,25,0,16:05,3,4,.750,0,0,,0,0,,0,2,2,3,2,0,1,1,6,7.7,-6
64,980,65,2016-03-10,33-329,SAS,CHI,8,0,3:10,1,2,.500,0,1,.000,0,0,,1,2,3,0,0,0,1,0,2,1.3,-1
65,981,66,2016-03-12,33-331,SAS,OKC,8,0,9:29,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,0,0,1,4,3.7,+5
66,982,67,2016-03-15,33-334,SAS,LAC,21,0,13:22,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,+10
67,983,68,2016-03-17,33-336,SAS,POR,8,0,14:19,4,7,.571,0,1,.000,1,1,1.000,1,2,3,0,0,0,0,1,9,6.6,-9
68,984,69,2016-03-19,33-338,SAS,GSW,8,1,35:05,6,7,.857,0,0,,2,2,1.000,1,7,8,2,1,1,2,2,14,14.6,+20
69,985,70,2016-03-21,33-340,SAS,CHO,-3,0,15:16,0,5,.000,0,0,,0,0,,0,3,3,3,0,0,0,0,0,-0.5,-6
70,986,71,2016-03-23,33-342,SAS,MIA,24,0,20:18,3,4,.750,0,0,,2,3,.667,0,2,2,0,0,1,1,2,8,5.5,+11
71,987,73,2016-03-26,33-345,SAS,OKC,-19,1,26:42,4,6,.667,0,2,.000,2,2,1.000,1,3,4,1,0,0,1,2,10,7.9,-23
72,988,74,2016-03-28,33-347,SAS,MEM,14,0,21:18,5,9,.556,0,1,.000,3,4,.750,1,5,6,1,0,1,5,4,13,5.3,+2
