,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2008-10-28,20-069,POR,LAL,-20,0,14:36,1,5,.200,0,0,,1,2,.500,0,2,2,0,0,0,2,2,3,-2.7,+1
1,2,2,2008-11-01,20-073,POR,PHO,-11,0,5:55,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+1
2,3,3,2008-11-18,20-090,POR,GSW,-5,0,3:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-0.4,-2
3,4,4,2008-11-19,20-091,POR,CHI,42,0,7:11,0,1,.000,0,0,,1,2,.500,0,0,0,2,0,0,2,0,1,-0.7,-1
4,5,5,2008-11-21,20-093,POR,SAC,21,0,4:46,2,3,.667,0,0,,1,1,1.000,0,1,1,1,0,0,1,0,5,3.7,-1
5,6,6,2008-11-26,20-098,POR,MIA,38,0,5:34,0,0,,0,0,,0,0,,1,3,4,1,0,0,1,0,0,1.3,+5
6,7,7,2008-11-28,20-100,POR,NOH,15,0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,8,8,2008-12-05,20-107,POR,BOS,-15,0,8:29,2,2,1.000,0,0,,3,4,.750,0,0,0,1,0,0,2,2,7,3.9,0
8,9,9,2008-12-12,20-114,POR,LAC,-8,0,6:20,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,0.5,-1
9,10,10,2008-12-16,20-118,POR,SAC,32,0,8:14,1,4,.250,0,0,,2,2,1.000,0,2,2,2,1,0,0,0,4,4.6,+1
10,11,11,2008-12-22,20-124,POR,DEN,-8,0,3:11,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-3
11,12,12,2008-12-30,20-132,POR,BOS,5,0,16:14,0,4,.000,0,0,,2,2,1.000,0,1,1,2,1,0,4,2,2,-2.9,+1
