,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,8,2015-11-09,23-125,CHI,PHI,23,0,1:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
1,2,14,2015-11-27,23-143,CHI,IND,-12,0,2:08,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+3
2,3,41,2016-01-20,23-197,CHI,GSW,-31,0,2:28,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-5
3,4,45,2016-01-28,23-205,CHI,LAL,23,0,3:05,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,1.3,+1
4,5,49,2016-02-05,23-213,CHI,DEN,-5,0,3:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,-1
5,6,51,2016-02-08,23-216,CHI,CHO,-17,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
6,7,52,2016-02-10,23-218,CHI,ATL,-23,0,3:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-4
7,8,53,2016-02-18,23-226,CHI,CLE,-11,0,3:30,0,1,.000,0,1,.000,1,2,.500,1,3,4,1,1,0,0,0,1,3.2,+4
8,9,54,2016-02-19,23-227,CHI,TOR,10,0,14:12,3,3,1.000,0,0,,2,4,.500,1,2,3,3,0,1,0,3,8,9.2,+12
9,10,55,2016-02-21,23-229,CHI,LAL,11,0,4:08,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+3
10,11,56,2016-02-24,23-232,CHI,WAS,5,0,12:21,1,1,1.000,0,0,,0,0,,1,3,4,0,1,1,0,1,2,4.6,-17
11,12,57,2016-02-26,23-234,CHI,ATL,-15,0,6:22,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,-2
12,13,58,2016-02-27,23-235,CHI,POR,-8,0,2:27,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-2
13,14,59,2016-03-01,23-238,CHI,MIA,-18,0,6:16,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-1.1,-7
14,15,60,2016-03-02,23-239,CHI,ORL,-13,0,5:03,0,0,,0,0,,0,0,,0,5,5,1,0,0,1,0,0,1.2,+8
15,16,64,2016-03-11,23-248,CHI,MIA,-22,0,3:52,0,1,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,0,1,0.8,+1
16,17,65,2016-03-14,23-251,CHI,TOR,2,0,5:59,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,+1
17,18,66,2016-03-16,23-253,CHI,WAS,-21,0,16:52,1,4,.250,0,0,,0,0,,3,3,6,1,1,0,0,1,2,3.9,-7
18,19,67,2016-03-17,23-254,CHI,BRK,16,0,20:32,2,3,.667,0,0,,2,2,1.000,4,6,10,3,1,2,0,1,6,13.4,+20
19,20,68,2016-03-19,23-256,CHI,UTA,7,1,12:10,2,3,.667,0,0,,0,0,,0,2,2,0,1,0,1,1,4,2.9,+9
20,21,71,2016-03-24,23-261,CHI,NYK,-12,1,21:06,3,5,.600,0,0,,0,0,,0,1,1,0,0,1,0,0,6,4.7,-16
21,22,72,2016-03-26,23-263,CHI,ORL,-22,0,9:28,1,2,.500,0,0,,0,0,,0,7,7,0,0,0,1,1,2,1.7,+5
22,23,74,2016-03-29,23-266,CHI,IND,2,0,6:38,3,3,1.000,0,0,,2,2,1.000,4,1,5,0,0,1,0,1,8,10.5,+5
23,24,75,2016-03-31,23-268,CHI,HOU,3,0,15:03,2,4,.500,0,0,,1,2,.500,0,4,4,3,0,1,0,1,5,6.2,+6
24,25,76,2016-04-02,23-270,CHI,DET,-4,0,14:11,1,2,.500,0,0,,1,2,.500,1,3,4,1,0,1,0,2,3,3.8,-7
25,26,77,2016-04-03,23-271,CHI,MIL,4,0,14:08,1,5,.200,0,0,,2,2,1.000,4,1,5,1,1,0,2,1,4,3.3,-2
26,27,78,2016-04-05,23-273,CHI,MEM,-16,0,13:52,0,0,,0,0,,2,4,.500,0,5,5,0,0,1,1,3,2,1.2,+2
27,28,79,2016-04-07,23-275,CHI,MIA,-8,0,14:26,3,4,.750,0,0,,2,3,.667,2,5,7,1,0,0,1,1,8,8.2,+9
28,29,80,2016-04-09,23-277,CHI,CLE,3,0,23:28,7,7,1.000,0,0,,2,2,1.000,2,3,5,1,0,2,2,4,16,14.7,+12
29,30,81,2016-04-11,23-279,CHI,NOP,5,1,27:29,6,8,.750,0,1,.000,4,4,1.000,1,5,6,0,0,0,0,3,16,13.8,+1
30,31,82,2016-04-13,23-281,CHI,PHI,10,1,28:38,2,8,.250,0,1,.000,2,2,1.000,4,5,9,4,0,2,2,2,6,6.9,+20
