,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,159,2,2015-10-30,20-328,MIL,WAS,-5,1,34:09,9,15,.600,1,3,.333,8,10,.800,3,6,9,2,3,0,6,6,27,19.2,-10
1,160,3,2015-11-01,20-330,MIL,TOR,-19,1,32:41,8,12,.667,1,1,1.000,3,3,1.000,0,9,9,2,0,1,0,1,20,19.2,-7
2,161,4,2015-11-02,20-331,MIL,BRK,7,1,42:12,8,16,.500,1,3,.333,4,5,.800,3,5,8,3,0,2,4,4,21,14.1,+2
3,162,5,2015-11-04,20-333,MIL,PHI,4,1,40:32,7,11,.636,1,1,1.000,2,3,.667,0,5,5,3,1,1,3,2,17,13.2,0
4,163,6,2015-11-06,20-335,MIL,NYK,7,1,35:39,7,13,.538,0,0,,6,6,1.000,1,6,7,1,2,1,1,4,20,17.0,+7
5,164,7,2015-11-07,20-336,MIL,BRK,8,1,37:02,4,8,.500,1,3,.333,2,2,1.000,1,5,6,2,1,0,2,4,11,8.0,+11
6,165,8,2015-11-10,20-339,MIL,BOS,-16,1,24:07,6,13,.462,1,3,.333,3,3,1.000,0,3,3,0,2,0,4,5,16,6.2,-4
7,166,9,2015-11-11,20-340,MIL,DEN,-1,1,29:08,6,12,.500,0,3,.000,0,0,,1,6,7,5,0,2,3,5,12,8.4,-26
8,167,10,2015-11-14,20-343,MIL,CLE,3,1,44:31,6,18,.333,0,2,.000,4,5,.800,4,7,11,1,0,3,2,6,16,8.7,+1
9,168,11,2015-11-17,20-346,MIL,WAS,-29,1,34:59,3,13,.231,0,0,,3,6,.500,1,4,5,7,1,1,4,4,9,2.8,-17
10,169,12,2015-11-19,20-348,MIL,CLE,-15,1,39:45,12,15,.800,1,2,.500,8,8,1.000,2,3,5,2,2,0,0,3,33,31.8,-14
11,170,13,2015-11-21,20-350,MIL,IND,-37,1,29:06,3,8,.375,0,0,,3,4,.750,0,5,5,2,2,2,3,3,9,6.3,-26
12,171,14,2015-11-23,20-352,MIL,DET,21,1,26:48,6,10,.600,1,1,1.000,4,4,1.000,2,4,6,4,0,1,2,3,17,15.3,+10
13,172,15,2015-11-25,20-354,MIL,SAC,-11,1,30:19,7,13,.538,1,3,.333,6,7,.857,2,3,5,2,0,2,0,6,21,17.0,-2
14,173,16,2015-11-27,20-356,MIL,ORL,-24,1,31:36,7,10,.700,0,1,.000,3,3,1.000,0,4,4,4,2,0,3,4,17,14.2,-18
15,174,17,2015-11-29,20-358,MIL,CHO,-5,1,30:58,4,5,.800,0,0,,0,0,,0,5,5,3,1,1,0,2,8,10.6,+7
16,175,18,2015-11-30,20-359,MIL,DEN,18,1,19:51,3,10,.300,0,2,.000,3,4,.750,2,4,6,0,0,1,2,3,9,2.9,+4
17,176,19,2015-12-02,20-361,MIL,SAS,-25,1,25:40,2,8,.250,0,1,.000,3,4,.750,1,3,4,2,0,2,2,2,7,3.4,-13
