,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,466,1,2010-11-05,28-303,WAS,NYK,-21,0,26:19,6,13,.462,4,8,.500,2,3,.667,0,1,1,1,1,0,0,2,18,12.1,-13
1,467,2,2010-11-06,28-304,WAS,CLE,-5,0,25:12,4,13,.308,3,6,.500,2,2,1.000,0,1,1,3,2,1,2,2,13,7.8,-21
2,468,3,2010-11-10,28-308,WAS,HOU,7,0,23:07,1,7,.143,1,2,.500,2,2,1.000,0,2,2,3,0,1,2,4,5,0.3,+7
3,469,4,2010-11-12,28-310,WAS,CHA,-8,0,31:33,2,14,.143,1,9,.111,0,0,,1,5,6,4,2,1,4,2,5,-1.1,+1
4,470,5,2010-11-13,28-311,WAS,CHI,-7,0,31:33,11,22,.500,7,10,.700,1,2,.500,2,4,6,4,2,0,5,5,30,19.0,0
5,471,6,2010-11-16,28-314,WAS,TOR,15,1,31:42,7,14,.500,3,6,.500,3,4,.750,0,7,7,6,1,0,3,4,20,15.3,+24
6,472,7,2010-11-17,28-315,WAS,BOS,-31,1,31:13,3,11,.273,2,7,.286,1,2,.500,1,2,3,1,3,0,4,4,9,1.5,-26
7,473,8,2010-11-19,28-317,WAS,MEM,3,1,39:11,7,15,.467,2,6,.333,8,10,.800,0,3,3,4,1,2,5,2,24,15.8,+12
8,474,9,2010-11-21,28-319,WAS,DET,-5,1,42:48,9,18,.500,1,8,.125,0,0,,1,3,4,16,0,0,6,6,19,14.4,+3
9,475,10,2010-11-23,28-321,WAS,PHI,2,1,41:59,6,16,.375,3,7,.429,2,2,1.000,0,3,3,7,1,2,8,4,17,6.8,-3
10,476,11,2010-11-25,28-323,WAS,ATL,-20,1,38:18,7,18,.389,4,9,.444,3,3,1.000,0,6,6,8,3,0,1,3,21,19.4,-3
11,477,12,2010-11-27,28-325,WAS,ORL,-1,1,36:31,9,23,.391,1,6,.167,12,14,.857,0,5,5,5,0,1,2,4,31,19.8,-7
12,478,13,2010-11-29,28-327,WAS,MIA,-11,1,41:08,9,21,.429,3,10,.300,2,2,1.000,0,5,5,7,2,0,1,2,23,18.5,-10
13,479,14,2010-12-01,28-329,WAS,TOR,-19,1,29:15,1,10,.100,0,2,.000,5,6,.833,0,2,2,3,2,0,2,2,7,1.9,-6
14,480,15,2010-12-03,28-331,WAS,POR,4,0,29:47,6,16,.375,0,4,.000,3,3,1.000,0,2,2,6,0,1,5,6,15,4.3,-1
15,481,16,2010-12-05,28-333,WAS,PHO,-17,0,31:40,6,13,.462,2,6,.333,0,1,.000,0,1,1,6,1,1,0,2,14,12.3,-7
16,482,17,2010-12-07,28-335,WAS,LAL,-7,1,37:36,8,17,.471,2,8,.250,5,5,1.000,0,2,2,4,2,0,7,5,23,10.7,-12
17,483,18,2010-12-08,28-336,WAS,SAC,-25,1,40:31,6,17,.353,2,7,.286,5,6,.833,1,2,3,4,0,0,5,3,19,7.0,-31
18,484,19,2010-12-10,28-338,WAS,NYK,-6,1,38:56,9,18,.500,2,7,.286,0,0,,0,3,3,6,4,1,4,5,20,14.8,-8
19,485,20,2010-12-14,28-342,WAS,LAL,-14,1,35:23,5,15,.333,1,7,.143,0,0,,0,2,2,10,1,1,1,3,11,9.6,-9
20,486,21,2010-12-16,28-344,WAS,NJN,-8,1,42:37,8,19,.421,3,10,.300,0,0,,0,3,3,9,2,0,4,6,19,11.7,-3
21,487,22,2010-12-20,28-348,ORL,ATL,-10,0,26:41,2,11,.182,1,4,.250,5,6,.833,0,1,1,3,0,0,2,4,10,1.5,+1
22,488,23,2010-12-21,28-349,ORL,DAL,-6,0,17:39,1,6,.167,0,2,.000,0,0,,0,2,2,4,0,0,2,5,2,-2.4,+3
23,489,24,2010-12-23,28-351,ORL,SAS,22,0,28:43,6,14,.429,2,5,.400,0,0,,0,6,6,9,1,0,3,2,14,11.9,+21
24,490,25,2010-12-25,28-353,ORL,BOS,8,0,24:32,2,9,.222,1,3,.333,0,2,.000,0,4,4,2,2,1,2,2,5,1.2,-7
25,491,26,2010-12-27,28-355,ORL,NJN,16,0,20:31,4,9,.444,1,4,.250,0,0,,1,4,5,3,1,0,3,3,9,5.1,+11
26,492,27,2010-12-28,28-356,ORL,CLE,15,0,31:50,8,15,.533,5,8,.625,1,1,1.000,0,6,6,11,3,0,5,3,22,21.0,+24
27,493,28,2010-12-30,28-358,ORL,NYK,9,0,20:06,4,10,.400,2,5,.400,0,0,,0,0,0,6,2,1,3,2,10,7.7,+13
28,494,29,2011-01-03,28-362,ORL,GSW,20,0,26:12,5,11,.455,1,6,.167,0,0,,0,0,0,2,1,1,3,1,11,5.0,+14
29,495,30,2011-01-05,28-364,ORL,MIL,10,0,13:02,2,9,.222,2,2,1.000,0,0,,0,1,1,0,0,0,1,0,6,-0.2,-4
30,496,31,2011-01-07,29-001,ORL,HOU,15,0,23:42,3,9,.333,0,3,.000,2,2,1.000,0,4,4,4,1,1,2,3,8,5.4,-2
31,497,32,2011-01-08,29-002,ORL,DAL,10,0,21:26,5,11,.455,2,6,.333,2,4,.500,0,3,3,1,2,0,3,2,14,7.3,+8
32,498,33,2011-01-12,29-006,ORL,NOH,-3,0,14:24,2,5,.400,0,2,.000,0,0,,1,1,2,2,1,0,2,1,4,2.3,-4
33,499,34,2011-01-13,29-007,ORL,OKC,-1,0,19:02,3,8,.375,2,6,.333,1,2,.500,0,1,1,5,0,0,0,4,9,6.4,-3
34,500,35,2011-01-15,29-009,ORL,MIN,9,0,22:17,2,9,.222,0,3,.000,3,4,.750,0,3,3,7,0,0,2,1,7,4.5,+11
