,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,333,1,2015-10-28,28-240,BOS,PHI,17,0,15:02,2,7,.286,1,2,.500,0,0,,0,3,3,3,0,1,0,1,5,4.2,+14
1,334,2,2015-10-30,28-242,BOS,TOR,-10,0,8:04,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,0,1,0,2,1.3,-6
2,335,3,2015-11-01,28-244,BOS,SAS,-8,0,13:40,3,3,1.000,0,0,,0,0,,0,2,2,0,0,0,1,3,6,3.5,-4
3,336,4,2015-11-04,28-247,BOS,IND,-2,0,15:32,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,1,2,4,3.2,-1
4,337,5,2015-11-06,28-249,BOS,WAS,20,0,19:52,1,3,.333,0,0,,4,4,1.000,2,5,7,0,0,0,1,2,6,5.4,+18
5,338,6,2015-11-10,28-253,BOS,MIL,16,0,15:05,2,2,1.000,1,1,1.000,1,1,1.000,0,1,1,3,0,1,1,3,6,6.3,+17
6,339,7,2015-11-11,28-254,BOS,IND,-11,0,16:26,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,3,0,-0.2,-10
7,340,8,2015-11-13,28-256,BOS,ATL,13,0,12:08,1,3,.333,0,0,,2,2,1.000,2,1,3,0,0,0,1,2,4,2.2,-8
8,341,9,2015-11-15,28-258,BOS,OKC,15,0,6:03,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,0
9,342,10,2015-11-16,28-259,BOS,HOU,16,0,13:54,3,4,.750,0,0,,0,0,,1,1,2,2,0,0,2,3,6,3.6,+7
10,343,11,2015-11-18,28-261,BOS,DAL,-4,0,4:31,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,-2
11,344,12,2015-11-20,28-263,BOS,BRK,25,0,18:51,0,3,.000,0,2,.000,1,1,1.000,1,1,2,1,1,0,1,1,1,0.2,+8
12,345,13,2015-11-22,28-265,BOS,BRK,-10,0,17:51,1,5,.200,0,2,.000,0,0,,1,4,5,1,0,1,3,1,2,-1.2,0
13,346,14,2015-11-24,28-267,BOS,ATL,-24,0,14:47,0,6,.000,0,0,,2,2,1.000,0,3,3,0,1,0,0,1,2,-0.7,-5
14,347,15,2015-11-25,28-268,BOS,PHI,4,0,7:54,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-9
15,348,16,2015-11-27,28-270,BOS,WAS,33,0,24:31,1,7,.143,0,2,.000,2,4,.500,3,4,7,2,2,1,2,1,4,3.7,+5
16,349,17,2015-11-29,28-272,BOS,ORL,-19,0,17:30,3,5,.600,1,2,.500,0,0,,1,2,3,3,0,0,1,0,7,7.1,-7
17,350,18,2015-11-30,28-273,BOS,MIA,10,0,9:31,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,0,2,0,0.1,+3
18,351,19,2015-12-03,28-276,BOS,SAC,17,0,16:44,2,3,.667,0,0,,1,1,1.000,3,3,6,1,0,1,0,1,5,7.7,+7
19,352,20,2015-12-05,28-278,BOS,SAS,-3,0,11:02,0,3,.000,0,1,.000,0,0,,2,2,4,2,1,0,1,2,0,0.5,-6
20,353,21,2015-12-07,28-280,BOS,NOP,18,0,8:24,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,4,2,-0.6,-7
21,354,22,2015-12-09,28-282,BOS,CHI,5,0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
22,355,23,2015-12-11,28-284,BOS,GSW,-5,0,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
23,356,24,2015-12-12,28-285,BOS,CHO,5,0,5:24,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.8,-3
24,357,25,2015-12-15,28-288,BOS,CLE,-12,0,13:53,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,2,5,2.2,-1
25,358,26,2015-12-16,28-289,BOS,DET,-3,0,15:59,3,5,.600,3,4,.750,0,0,,0,3,3,0,0,0,1,3,9,5.4,+10
26,359,27,2015-12-18,28-291,BOS,ATL,-8,0,15:34,0,5,.000,0,2,.000,0,0,,1,5,6,1,0,0,0,3,0,-1.8,-4
27,360,28,2015-12-21,28-294,BOS,MIN,14,0,25:02,4,7,.571,3,3,1.000,1,2,.500,2,5,7,3,0,0,1,0,12,12.3,+1
28,361,29,2015-12-23,28-296,BOS,CHO,13,0,9:23,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-1.5,-4
29,362,30,2015-12-26,28-299,BOS,DET,6,0,10:21,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.9,-10
30,363,31,2015-12-27,28-300,BOS,NYK,9,0,19:11,2,3,.667,1,1,1.000,2,3,.667,0,3,3,2,0,0,0,6,7,5.2,+3
31,364,32,2015-12-30,28-303,BOS,LAL,-8,0,10:01,1,3,.333,0,0,,1,2,.500,1,3,4,0,0,0,0,4,3,0.9,+1
32,365,33,2016-01-02,28-306,BOS,BRK,-3,0,16:05,1,6,.167,1,4,.250,2,2,1.000,2,5,7,1,0,0,0,0,5,4.8,+1
33,366,34,2016-01-04,28-308,BOS,BRK,9,0,6:34,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.7,-2
34,367,35,2016-01-06,28-310,BOS,DET,-5,0,15:58,1,2,.500,0,1,.000,1,1,1.000,2,3,5,1,0,1,1,1,3,4.3,-13
35,368,36,2016-01-07,28-311,BOS,CHI,-9,0,8:05,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-1.1,+3
36,369,38,2016-01-12,28-316,BOS,NYK,-6,0,23:59,2,3,.667,2,2,1.000,0,0,,2,2,4,3,2,0,0,0,6,10.8,+5
