,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,745,1,2006-11-01,29-325,SAC,MIN,-9,0,25:53,4,7,.571,0,0,,4,5,.800,2,1,3,0,0,0,4,3,12,4.8,-5
1,746,2,2006-11-03,29-327,SAC,CHI,1,0,27:01,2,7,.286,0,0,,1,2,.500,1,5,6,0,1,1,2,5,5,0.4,+6
2,747,3,2006-11-04,29-328,SAC,MIL,-13,0,22:41,5,10,.500,0,0,,5,6,.833,1,5,6,2,2,1,3,3,15,11.7,-19
3,748,4,2006-11-06,29-330,SAC,MIN,12,1,40:45,6,14,.429,0,1,.000,1,1,1.000,1,6,7,0,4,1,4,2,13,8.0,+11
4,749,5,2006-11-08,29-332,SAC,DET,13,1,26:26,3,10,.300,0,0,,3,4,.750,1,3,4,1,1,0,0,4,9,4.5,-3
5,750,6,2006-11-12,29-336,SAC,TOR,15,1,35:01,6,14,.429,0,0,,6,8,.750,4,3,7,2,1,0,6,2,18,9.1,+3
6,751,7,2006-11-15,29-339,SAC,MEM,4,1,33:29,10,19,.526,0,0,,1,1,1.000,6,7,13,1,0,0,3,4,21,14.1,+9
7,752,8,2006-11-16,29-340,SAC,GSW,-12,1,20:51,5,7,.714,0,0,,2,2,1.000,3,1,4,0,0,0,1,1,12,10.1,-12
8,753,9,2006-11-19,29-343,SAC,SAS,-9,1,43:54,7,13,.538,0,1,.000,2,2,1.000,2,10,12,1,1,2,2,5,16,13.2,-17
9,754,10,2006-11-22,29-346,SAC,UTA,-9,1,39:18,5,14,.357,0,0,,1,1,1.000,4,4,8,3,0,1,2,5,11,6.0,-13
10,755,11,2006-11-24,29-348,SAC,SEA,9,1,32:29,7,10,.700,0,0,,0,0,,3,5,8,1,0,1,4,3,14,9.6,+4
11,756,12,2006-11-25,29-349,SAC,POR,20,1,28:13,5,7,.714,0,0,,3,4,.750,2,3,5,1,2,0,1,6,13,11.3,+14
12,757,13,2006-11-28,29-352,SAC,LAC,13,1,20:20,3,6,.500,0,0,,3,4,.750,1,1,2,1,0,0,0,4,9,5.7,-4
13,758,14,2006-12-01,29-355,SAC,DAL,-19,1,19:26,2,9,.222,0,1,.000,1,2,.500,0,3,3,0,1,1,2,1,5,-0.7,-16
14,759,15,2006-12-02,29-356,SAC,SAS,-2,1,23:12,5,7,.714,0,0,,1,2,.500,0,4,4,0,0,1,1,4,11,7.0,-12
15,760,16,2006-12-04,29-358,SAC,ORL,-3,1,17:28,0,4,.000,0,1,.000,4,4,1.000,1,2,3,1,0,0,1,4,4,0.6,-4
16,761,17,2006-12-05,29-359,SAC,PHO,-25,0,20:59,5,8,.625,0,0,,2,2,1.000,2,5,7,1,0,0,2,4,12,8.4,-6
17,762,18,2006-12-07,29-361,SAC,MIA,-2,0,19:52,0,2,.000,0,0,,2,4,.500,1,4,5,1,0,2,2,3,2,0.6,-8
18,763,19,2006-12-10,29-364,SAC,ATL,25,1,24:19,3,8,.375,0,0,,5,6,.833,0,2,2,2,0,0,0,2,11,7.4,+16
19,764,20,2006-12-12,30-001,SAC,GSW,-13,0,24:50,4,9,.444,0,0,,3,4,.750,5,4,9,1,0,2,1,5,11,9.7,-7
20,765,21,2006-12-15,30-004,SAC,UTA,1,0,30:28,6,8,.750,1,1,1.000,8,8,1.000,5,3,8,2,2,0,3,4,21,21.0,+21
21,766,22,2006-12-16,30-005,SAC,PHO,-7,0,25:08,4,8,.500,0,1,.000,4,6,.667,2,7,9,1,0,0,0,3,12,10.2,-3
22,767,23,2006-12-18,30-007,SAC,DAL,-18,0,24:56,5,11,.455,0,0,,5,8,.625,0,3,3,0,0,0,0,2,15,8.2,-9
23,768,24,2006-12-21,30-010,SAC,WAS,-7,0,25:59,2,6,.333,0,0,,0,0,,1,4,5,2,0,0,1,5,4,0.9,-6
