,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,173,1,2015-10-28,24-295,DEN,HOU,20,0,19:34,5,10,.500,1,2,.500,0,0,,1,3,4,0,1,0,0,0,11,8.6,+4
1,174,2,2015-10-30,24-297,DEN,MIN,-17,0,29:41,4,14,.286,1,4,.250,5,6,.833,1,3,4,1,2,1,0,4,14,8.8,-5
2,175,3,2015-11-01,24-299,DEN,OKC,-24,0,24:15,6,12,.500,1,3,.333,2,3,.667,0,3,3,1,2,0,0,0,15,12.2,+5
3,176,4,2015-11-03,24-301,DEN,LAL,11,0,21:28,3,6,.500,0,2,.000,4,4,1.000,1,3,4,1,1,1,0,2,10,10.2,+3
4,177,5,2015-11-05,24-303,DEN,UTA,-12,0,20:16,3,7,.429,0,2,.000,6,6,1.000,1,3,4,1,1,1,0,1,12,11.9,-5
5,178,6,2015-11-06,24-304,DEN,GSW,-15,1,39:09,7,16,.438,2,4,.500,3,3,1.000,0,8,8,5,2,1,3,2,19,15.4,-3
6,179,7,2015-11-09,24-307,DEN,POR,4,0,23:02,4,7,.571,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,1,11,7.9,+4
7,180,8,2015-11-11,24-309,DEN,MIL,1,0,17:06,3,5,.600,0,1,.000,0,0,,0,2,2,1,0,0,1,2,6,3.2,-4
8,181,9,2015-11-13,24-311,DEN,HOU,9,0,30:43,8,14,.571,4,5,.800,6,7,.857,0,5,5,1,2,0,2,0,26,21.2,+9
9,182,10,2015-11-14,24-312,DEN,PHO,-24,0,36:35,8,16,.500,3,6,.500,0,0,,1,11,12,4,2,1,1,1,19,19.1,-16
10,183,11,2015-11-17,24-315,DEN,NOP,17,0,37:16,7,12,.583,3,4,.750,0,0,,2,5,7,2,1,2,1,1,17,16.7,+10
11,184,12,2015-11-18,24-316,DEN,SAS,-11,0,21:40,4,10,.400,0,1,.000,1,2,.500,1,3,4,5,1,1,0,1,9,9.6,0
12,185,13,2015-11-20,24-318,DEN,PHO,-7,0,25:31,5,10,.500,1,4,.250,3,3,1.000,0,4,4,2,2,0,0,2,14,12.8,0
13,186,14,2015-11-22,24-320,DEN,GSW,-13,0,27:29,7,10,.700,0,1,.000,5,5,1.000,1,5,6,3,1,1,4,0,19,16.8,-1
14,187,15,2015-11-24,24-322,DEN,LAC,-17,0,19:37,0,6,.000,0,2,.000,1,2,.500,1,2,3,0,0,0,2,3,1,-5.5,-14
