,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,70,1,2016-04-17,28-300,SAS,MEM,32,1,19:30,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,3,0,0,1,3,6.2,+10
1,71,2,2016-04-19,28-302,SAS,MEM,26,1,20:14,2,6,.333,2,4,.500,0,0,,0,5,5,2,2,0,1,0,6,6.5,+12
2,72,3,2016-04-22,28-305,SAS,MEM,9,1,25:00,4,10,.400,3,7,.429,0,0,,0,4,4,0,1,3,1,2,11,8.1,+11
3,73,4,2016-04-24,28-307,SAS,MEM,21,1,18:22,1,3,.333,0,1,.000,0,0,,0,2,2,0,1,0,2,0,2,-0.1,0
4,74,5,2016-04-30,28-313,SAS,OKC,32,1,26:16,6,7,.857,5,6,.833,1,1,1.000,0,4,4,1,1,3,1,2,18,18.7,+34
5,75,6,2016-05-02,28-315,SAS,OKC,-1,1,35:57,3,11,.273,3,8,.375,0,0,,0,2,2,1,4,0,1,1,9,6.4,-7
6,76,7,2016-05-06,28-319,SAS,OKC,4,1,34:27,3,6,.500,2,5,.400,0,0,,0,3,3,1,2,1,0,4,8,7.7,+5
7,77,8,2016-05-08,28-321,SAS,OKC,-14,1,27:42,0,3,.000,0,1,.000,0,0,,0,5,5,1,2,0,0,5,0,0.1,-18
8,78,9,2016-05-10,28-323,SAS,OKC,-4,1,29:02,7,10,.700,6,9,.667,0,0,,0,3,3,1,2,1,0,2,20,19.3,+1
9,79,10,2016-05-12,28-325,SAS,OKC,-14,1,30:54,3,8,.375,2,6,.333,1,2,.500,0,0,0,0,3,0,0,3,9,6.0,+2
