,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,316,1,2011-12-26,27-183,MIN,OKC,-4,0,27:08,6,11,.545,1,3,.333,1,1,1.000,0,2,2,2,0,0,0,3,14,9.5,+11
1,317,2,2011-12-27,27-184,MIN,MIL,-3,0,18:50,1,9,.111,1,1,1.000,6,6,1.000,1,2,3,4,1,0,1,1,9,6.8,+1
2,318,3,2012-01-01,27-189,MIN,DAL,17,0,16:50,4,11,.364,0,3,.000,0,1,.000,0,3,3,2,0,0,2,1,8,1.4,+6
3,319,4,2012-01-09,27-197,MIN,TOR,-10,0,17:24,5,9,.556,2,4,.500,4,4,1.000,0,1,1,3,0,0,2,2,16,11.3,+21
4,320,5,2012-01-10,27-198,MIN,CHI,-11,0,17:54,3,8,.375,0,2,.000,4,4,1.000,0,1,1,0,0,0,1,2,10,4.1,-15
5,321,6,2012-01-18,27-206,MIN,DET,8,0,14:12,2,6,.333,2,4,.500,2,2,1.000,0,1,1,0,0,0,2,0,8,2.9,+3
6,322,7,2012-02-01,27-220,MIN,IND,-10,0,13:46,2,8,.250,0,3,.000,3,4,.750,0,2,2,3,0,0,2,0,7,2.5,-8
7,323,8,2012-02-03,27-222,MIN,NJN,3,0,19:17,2,9,.222,1,1,1.000,2,2,1.000,2,1,3,5,1,0,2,0,7,5.7,+8
8,324,9,2012-02-04,27-223,MIN,HOU,9,0,25:34,4,8,.500,0,2,.000,2,3,.667,0,3,3,3,1,0,1,2,10,7.8,+4
9,325,10,2012-02-07,27-226,MIN,SAC,2,0,20:39,1,4,.250,0,2,.000,4,4,1.000,0,1,1,3,0,0,0,1,6,5.6,-11
10,326,11,2012-02-08,27-227,MIN,MEM,-5,0,23:21,4,9,.444,3,6,.500,6,8,.750,0,3,3,6,2,0,2,1,17,16.2,+5
11,327,12,2012-02-10,27-229,MIN,DAL,-7,0,22:29,1,8,.125,1,4,.250,3,4,.750,1,5,6,0,0,0,4,2,6,-2.2,+4
12,328,13,2012-02-11,27-230,MIN,NYK,-2,0,21:20,4,10,.400,1,4,.250,2,2,1.000,1,2,3,5,2,0,5,1,11,7.0,-4
13,329,14,2012-02-13,27-232,MIN,ORL,-13,0,25:19,4,10,.400,2,5,.400,1,3,.333,0,2,2,1,0,0,7,1,11,-1.3,-6
14,330,15,2012-02-15,27-234,MIN,CHA,12,0,25:59,4,9,.444,2,3,.667,2,2,1.000,0,2,2,8,0,0,0,1,12,13.1,+8
15,331,16,2012-02-19,27-238,MIN,PHI,1,0,21:28,6,12,.500,0,1,.000,2,2,1.000,1,0,1,2,0,0,1,2,14,8.3,+2
16,332,17,2012-02-20,27-239,MIN,DEN,-2,0,13:56,2,7,.286,0,4,.000,2,2,1.000,0,3,3,1,0,0,1,1,6,2.1,-6
17,333,18,2012-02-22,27-241,MIN,UTA,2,0,26:07,7,12,.583,5,6,.833,3,3,1.000,1,3,4,4,0,0,2,3,22,17.6,+18
18,334,19,2012-02-28,27-247,MIN,LAC,12,0,21:38,2,5,.400,0,2,.000,2,2,1.000,0,3,3,7,1,0,2,2,6,7.3,+17
19,335,20,2012-02-29,27-248,MIN,LAL,-19,0,9:34,0,4,.000,0,0,,0,0,,0,1,1,4,0,0,1,0,0,-0.7,+4
20,336,21,2012-03-03,27-251,MIN,POR,12,0,18:48,3,5,.600,0,1,.000,0,0,,0,0,0,2,0,0,2,0,6,3.1,-1
21,337,22,2012-03-05,27-253,MIN,LAC,1,0,19:58,0,7,.000,0,1,.000,0,0,,0,2,2,5,0,0,2,2,0,-3.6,-3
22,338,23,2012-03-07,27-255,MIN,POR,12,0,23:39,1,5,.200,0,1,.000,2,2,1.000,1,2,3,7,0,0,2,0,4,5.1,-3
23,339,24,2012-03-12,27-260,MIN,PHO,3,0,15:24,1,3,.333,0,1,.000,1,4,.250,0,3,3,8,0,0,0,0,3,6.6,+8
24,340,25,2012-03-15,27-263,MIN,UTA,-6,0,18:08,4,8,.500,2,3,.667,1,2,.500,0,0,0,4,0,0,5,1,11,4.0,-12
25,341,26,2012-03-16,27-264,MIN,LAL,-5,0,17:37,4,10,.400,0,3,.000,0,0,,2,3,5,2,0,0,2,4,8,2.7,-4
26,342,27,2012-03-18,27-266,MIN,SAC,-16,0,14:23,3,7,.429,0,2,.000,0,0,,0,1,1,4,0,0,2,1,6,3.0,-9
27,343,28,2012-03-19,27-267,MIN,GSW,4,0,27:24,3,10,.300,0,2,.000,0,0,,1,2,3,10,1,0,2,0,6,7.5,+4
28,344,29,2012-03-21,27-269,MIN,SAS,-16,0,30:22,7,13,.538,2,4,.500,2,3,.667,0,3,3,11,1,0,4,1,18,16.5,-8
29,345,30,2012-03-23,27-271,MIN,OKC,-9,0,47:01,10,22,.455,2,5,.400,3,3,1.000,1,9,10,14,3,0,3,3,25,25.6,-5
30,346,31,2012-04-04,27-283,MIN,GSW,-3,1,36:39,6,15,.400,3,5,.600,0,2,.000,2,4,6,8,0,0,7,2,15,6.5,-13
31,347,32,2012-04-07,27-286,MIN,NOH,-9,1,33:59,4,12,.333,2,4,.500,0,0,,0,1,1,7,0,0,3,1,10,5.0,-14
32,348,33,2012-04-09,27-288,MIN,PHO,-24,1,31:48,7,17,.412,2,6,.333,0,0,,0,3,3,5,1,0,1,2,16,10.5,-18
33,349,34,2012-04-11,27-290,MIN,DEN,-6,1,36:16,5,13,.385,1,2,.500,1,2,.500,0,6,6,15,1,0,4,2,12,13.0,-11
34,350,35,2012-04-12,27-291,MIN,LAC,-13,1,31:03,4,9,.444,2,4,.500,0,0,,0,2,2,11,0,0,7,4,10,5.0,-15
35,351,36,2012-04-14,27-293,MIN,OKC,-5,1,39:14,9,16,.563,3,5,.600,3,4,.750,0,3,3,10,3,0,3,4,24,22.3,-4
36,352,37,2012-04-16,27-295,MIN,IND,-23,1,30:52,5,14,.357,2,6,.333,2,5,.400,0,1,1,9,0,0,1,2,14,9.8,-28
37,353,38,2012-04-17,27-296,MIN,MEM,-7,1,38:39,10,20,.500,5,9,.556,3,4,.750,0,5,5,8,1,0,5,2,28,19.9,-6
38,354,39,2012-04-19,27-298,MIN,DET,11,1,39:08,5,12,.417,1,4,.250,2,2,1.000,0,6,6,12,1,0,3,2,13,14.0,+7
