,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,130,1,2010-10-28,22-175,ORL,WAS,29,0,16:27,2,8,.250,0,3,.000,2,3,.667,1,7,8,0,0,0,1,2,6,1.8,-4
1,131,2,2010-10-29,22-176,ORL,MIA,-26,0,13:56,5,8,.625,2,4,.500,0,0,,2,0,2,0,0,1,0,0,12,10.5,-4
2,132,3,2010-11-03,22-181,ORL,MIN,42,1,19:18,6,10,.600,4,8,.500,3,4,.750,0,3,3,0,0,3,0,5,19,15.0,+6
3,133,4,2010-11-05,22-183,ORL,NJN,15,1,7:00,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,0,2,0,0,-1.1,+4
4,134,5,2010-11-08,22-186,ORL,ATL,4,1,15:15,1,5,.200,0,3,.000,2,2,1.000,1,0,1,1,0,0,1,1,4,0.9,-11
5,135,6,2010-11-10,22-188,ORL,UTA,-10,1,1:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-1.7,-4
6,136,7,2010-11-18,22-196,ORL,PHO,16,0,9:07,1,5,.200,0,2,.000,4,4,1.000,1,1,2,0,1,1,0,3,6,4.4,-8
7,137,8,2010-11-22,22-200,ORL,SAS,-9,0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
8,138,9,2010-12-01,22-209,ORL,CHI,29,0,3:09,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+7
9,139,10,2010-12-03,22-211,ORL,DET,13,0,0:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
10,140,11,2010-12-23,22-231,ORL,SAS,22,0,22:26,3,8,.375,2,6,.333,2,3,.667,0,3,3,1,2,0,1,2,10,7.0,+10
11,141,12,2010-12-25,22-233,ORL,BOS,8,0,24:44,2,9,.222,1,5,.200,5,6,.833,4,5,9,1,0,1,1,2,10,8.0,-2
12,142,13,2010-12-27,22-235,ORL,NJN,16,0,28:18,4,12,.333,1,3,.333,1,2,.500,5,6,11,3,2,1,2,2,10,10.1,+14
13,143,14,2010-12-28,22-236,ORL,CLE,15,0,23:07,2,3,.667,2,3,.667,0,0,,0,1,1,1,1,0,0,3,6,5.5,+27
14,144,15,2010-12-30,22-238,ORL,NYK,9,0,19:20,5,8,.625,3,5,.600,1,2,.500,2,3,5,0,2,0,1,3,14,12.1,+9
15,145,16,2011-01-03,22-242,ORL,GSW,20,0,19:01,4,7,.571,2,5,.400,3,3,1.000,1,1,2,2,0,0,0,1,13,11.7,+6
16,146,17,2011-01-05,22-244,ORL,MIL,10,0,23:08,2,5,.400,1,4,.250,2,3,.667,0,3,3,0,1,1,0,4,7,4.9,+5
17,147,18,2011-01-07,22-246,ORL,HOU,15,0,25:18,6,12,.500,3,7,.429,1,1,1.000,1,6,7,2,0,1,0,2,16,13.8,+3
18,148,19,2011-01-08,22-247,ORL,DAL,10,0,22:05,4,10,.400,2,5,.400,1,2,.500,3,3,6,1,0,2,1,3,11,8.1,+14
19,149,20,2011-01-12,22-251,ORL,NOH,-3,0,20:33,5,9,.556,4,7,.571,0,0,,2,6,8,0,0,2,1,1,14,12.9,+5
20,150,21,2011-01-13,22-252,ORL,OKC,-1,0,22:45,5,10,.500,3,5,.600,2,3,.667,4,1,5,1,0,0,0,1,15,13.0,-1
21,151,22,2011-01-15,22-254,ORL,MIN,9,0,29:22,5,11,.455,3,8,.375,2,2,1.000,3,8,11,0,2,1,0,3,15,15.3,+5
22,152,23,2011-01-17,22-256,ORL,BOS,-3,0,29:26,5,8,.625,4,6,.667,2,2,1.000,5,3,8,0,0,2,0,3,16,17.0,-2
23,153,24,2011-01-19,22-258,ORL,PHI,1,0,28:25,8,15,.533,4,10,.400,0,1,.000,0,4,4,2,0,0,1,1,20,13.5,+9
24,154,25,2011-01-21,22-260,ORL,TOR,40,0,25:47,8,16,.500,4,9,.444,1,1,1.000,6,4,10,0,1,0,0,1,21,19.0,+27
25,155,26,2011-01-22,22-261,ORL,HOU,14,0,30:18,5,15,.333,2,8,.250,0,0,,3,3,6,0,0,1,1,3,12,5.0,+5
26,156,27,2011-01-24,22-263,ORL,DET,-7,0,26:13,5,11,.455,4,10,.400,7,8,.875,2,3,5,1,0,3,4,2,21,15.2,-1
27,157,28,2011-01-26,22-265,ORL,IND,15,0,22:12,5,10,.500,4,7,.571,0,0,,1,1,2,3,0,1,0,1,14,12.4,-1
28,158,29,2011-01-28,22-267,ORL,CHI,-9,0,19:03,2,8,.250,2,7,.286,3,3,1.000,1,3,4,0,0,0,0,4,9,4.2,-8
29,159,30,2011-01-30,22-269,ORL,CLE,16,0,29:51,8,16,.500,5,10,.500,2,2,1.000,9,7,16,0,0,1,2,4,23,20.5,+7
30,160,31,2011-01-31,22-270,ORL,MEM,-3,0,26:20,4,10,.400,1,7,.143,1,2,.500,5,2,7,0,0,0,2,4,10,4.7,0
31,161,32,2011-02-03,22-273,ORL,MIA,-4,1,16:44,3,10,.300,3,8,.375,0,2,.000,4,2,6,0,0,0,0,3,9,4.6,+8
32,162,33,2011-02-04,22-274,ORL,WAS,18,1,30:09,7,14,.500,3,7,.429,2,2,1.000,4,4,8,0,0,0,2,1,19,13.6,+14
33,163,34,2011-02-06,22-276,ORL,BOS,-11,1,32:18,5,10,.500,1,3,.333,1,2,.500,5,2,7,1,0,0,1,4,12,8.8,-2
34,164,35,2011-02-08,22-278,ORL,LAC,16,1,26:25,4,15,.267,3,9,.333,2,2,1.000,3,2,5,1,2,0,1,5,13,6.5,+9
35,165,36,2011-02-09,22-279,ORL,PHI,4,1,28:48,4,6,.667,4,6,.667,0,0,,0,5,5,1,0,0,3,2,12,7.8,+5
36,166,37,2011-02-11,22-281,ORL,NOH,-6,1,28:04,2,8,.250,1,5,.200,0,0,,1,3,4,1,2,0,2,4,5,0.9,+9
37,167,38,2011-02-13,22-283,ORL,LAL,14,1,18:10,3,5,.600,3,5,.600,0,0,,1,4,5,1,0,0,0,3,9,8.1,-1
38,168,39,2011-02-16,22-286,ORL,WAS,25,0,28:20,4,8,.500,2,5,.400,4,4,1.000,0,8,8,1,0,1,2,3,14,10.6,+18
39,169,40,2011-02-23,22-293,ORL,SAC,-6,0,29:04,3,10,.300,1,6,.167,2,3,.667,1,1,2,1,2,1,0,2,9,6.4,+1
40,170,41,2011-02-25,22-295,ORL,OKC,23,0,4:02,0,1,.000,0,1,.000,2,2,1.000,1,1,2,1,0,0,0,0,2,3.0,-1
41,171,42,2011-02-27,22-297,ORL,CHA,14,0,27:01,2,9,.222,2,8,.250,0,0,,1,6,7,1,1,0,0,2,6,3.9,+2
42,172,43,2011-03-01,22-299,ORL,NYK,6,0,23:54,5,6,.833,4,5,.800,2,2,1.000,1,4,5,1,0,0,0,3,16,15.2,+14
43,173,44,2011-03-03,22-301,ORL,MIA,3,0,22:59,5,10,.500,3,6,.500,2,2,1.000,2,3,5,0,1,1,0,1,15,13.6,-1
44,174,45,2011-03-04,22-302,ORL,CHI,-8,0,20:20,1,5,.200,1,3,.333,0,0,,0,5,5,1,0,0,0,3,3,0.9,-9
45,175,46,2011-03-07,22-305,ORL,POR,-4,1,38:03,4,9,.444,3,6,.500,2,2,1.000,0,7,7,1,0,2,0,4,13,10.9,+2
