,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,191,1,2001-10-30,30-338,UTA,MIL,-7,0,23:00,3,6,.500,0,0,,4,7,.571,1,4,5,1,0,1,2,2,10,6.3,+6
1,192,2,2001-11-01,30-340,UTA,LAL,-4,0,17:00,2,5,.400,0,0,,1,2,.500,1,2,3,2,0,1,2,5,5,1.3,-1
2,193,3,2001-11-03,30-342,UTA,SEA,17,0,17:00,1,4,.250,0,0,,1,2,.500,1,0,1,0,0,0,2,1,3,-1.5,+7
3,194,4,2001-11-04,30-343,UTA,LAL,-4,0,30:00,3,9,.333,0,0,,4,8,.500,3,3,6,0,0,0,1,3,10,4.1,-10
4,195,5,2001-11-06,30-345,UTA,POR,-18,0,17:00,1,3,.333,0,0,,2,2,1.000,1,1,2,2,0,0,2,0,4,2.7,-1
5,196,6,2001-11-07,30-346,UTA,ATL,7,0,19:00,2,7,.286,0,0,,4,6,.667,3,4,7,0,0,2,2,3,8,4.6,-2
6,197,7,2001-11-10,30-349,UTA,TOR,-21,0,15:00,2,7,.286,0,0,,2,2,1.000,0,2,2,0,0,1,1,3,6,1.0,-8
7,198,8,2001-11-12,30-351,UTA,ORL,7,0,13:00,2,5,.400,0,0,,0,0,,1,3,4,2,0,1,2,1,4,2.6,+8
8,199,9,2001-11-14,30-353,UTA,ATL,-32,0,20:00,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.8,-15
9,200,10,2001-11-16,30-355,UTA,WAS,9,0,14:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-2.6,-10
10,201,11,2001-11-21,30-360,UTA,NJN,-1,0,15:00,2,8,.250,0,0,,1,1,1.000,3,2,5,0,2,0,0,1,5,4.5,-3
11,202,12,2001-11-23,30-362,UTA,LAC,5,0,15:00,0,2,.000,0,0,,8,8,1.000,0,1,1,0,0,1,0,0,8,7.6,-2
12,203,13,2001-11-26,31-000,UTA,PHO,-7,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-11
13,204,14,2001-11-28,31-002,UTA,SEA,24,0,4:00,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,1,0,1.0,-1
14,205,15,2001-11-30,31-004,UTA,PHO,-22,0,14:00,1,6,.167,0,0,,1,2,.500,3,1,4,1,0,0,3,1,3,-1.5,-14
15,206,16,2001-12-01,31-005,UTA,IND,-3,0,10:00,1,7,.143,0,0,,1,2,.500,2,2,4,0,0,0,1,1,3,-1.3,-4
16,207,17,2001-12-04,31-008,UTA,CHH,4,0,9:00,1,4,.250,0,0,,4,4,1.000,2,1,3,1,0,0,2,1,6,3.6,-3
17,208,18,2001-12-08,31-012,UTA,GSW,10,0,8:00,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,4,2,4,-1.8,-6
18,209,19,2001-12-10,31-014,UTA,DAL,9,0,5:00,1,1,1.000,0,0,,0,0,,2,0,2,0,0,1,1,0,2,2.8,-1
19,210,20,2001-12-12,31-016,UTA,MIN,-11,0,4:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1.0,+6
20,211,21,2001-12-14,31-018,UTA,POR,8,0,7:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1,-0.5,-15
21,212,22,2001-12-15,31-019,UTA,SAS,-20,0,8:00,0,0,,0,0,,1,2,.500,2,2,4,0,0,0,1,0,1,1.6,-7
22,213,23,2001-12-18,31-022,UTA,MIA,39,0,5:00,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,+7
23,214,24,2001-12-19,31-023,UTA,ORL,-8,0,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.8,+1
24,215,25,2001-12-27,31-031,UTA,POR,12,0,6:00,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2.0,+7
25,216,26,2001-12-29,31-033,UTA,PHI,8,0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
26,217,27,2002-01-08,31-043,UTA,PHO,14,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-5
27,218,28,2002-01-12,31-047,UTA,MEM,-2,0,16:00,1,5,.200,0,0,,0,0,,1,1,2,0,0,0,2,0,2,-2.1,-1
28,219,29,2002-01-16,31-051,UTA,SEA,15,0,3:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-2.5,-4
29,220,30,2002-01-17,31-052,UTA,SAS,-4,0,6:00,0,2,.000,0,0,,0,0,,0,0,0,2,0,1,0,0,0,0.7,-2
30,221,31,2002-01-21,31-056,UTA,GSW,2,0,8:00,0,3,.000,0,0,,2,2,1.000,1,1,2,1,1,0,0,1,2,2.2,+3
31,222,32,2002-01-23,31-058,UTA,SAS,-6,0,22:00,9,12,.750,0,0,,0,0,,2,1,3,1,1,0,1,2,18,14.8,-6
32,223,33,2002-01-24,31-059,UTA,SAC,-33,0,18:00,1,3,.333,0,0,,3,4,.750,1,2,3,2,0,0,3,3,5,1.4,-23
33,224,34,2002-01-26,31-061,UTA,SAC,-24,0,5:00,2,4,.500,0,0,,1,1,1.000,0,1,1,0,0,0,0,2,5,2.5,-2
34,225,35,2002-01-30,31-065,UTA,CHI,12,0,12:00,0,1,.000,0,0,,0,0,,2,0,2,1,0,0,1,3,0,-0.8,0
35,226,36,2002-02-02,31-068,UTA,POR,1,0,4:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2
36,227,37,2002-02-05,31-071,UTA,MEM,-7,0,14:00,0,3,.000,0,0,,1,6,.167,2,0,2,0,0,0,1,3,1,-3.9,-4
37,228,38,2002-02-12,31-078,UTA,IND,16,0,7:00,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,1,0,2,2.0,-2
38,229,39,2002-02-20,31-086,UTA,DEN,11,0,8:00,0,2,.000,0,0,,1,4,.250,0,0,0,2,0,0,0,0,1,-0.2,+1
39,230,40,2002-02-26,31-092,UTA,SAC,-26,0,21:00,2,5,.400,0,0,,5,6,.833,0,6,6,1,0,0,4,4,9,2.8,+4
40,231,41,2002-02-28,31-094,UTA,MEM,44,0,8:00,4,5,.800,0,0,,2,3,.667,0,1,1,1,0,0,0,0,10,8.7,+17
41,232,42,2002-03-04,31-098,UTA,DEN,18,0,4:00,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,1,0,0.6,-1
42,233,43,2002-03-06,31-100,UTA,LAL,8,0,14:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,2,0,2,-1.4,-5
43,234,44,2002-03-14,31-108,UTA,CHH,-18,0,20:00,3,8,.375,0,0,,1,2,.500,2,5,7,0,0,0,2,1,7,2.7,-1
44,235,45,2002-03-25,31-119,UTA,SEA,-14,0,4:00,1,1,1.000,0,0,,2,4,.500,3,0,3,1,0,0,0,0,4,5.7,+1
45,236,46,2002-03-26,31-120,UTA,HOU,4,0,10:00,1,3,.333,0,0,,0,3,.000,0,1,1,2,0,0,1,2,2,-1.0,+1
46,237,47,2002-03-28,31-122,UTA,CLE,21,0,8:00,0,1,.000,0,0,,3,4,.750,1,0,1,0,0,0,1,2,3,0.8,-2
47,238,48,2002-04-02,31-127,UTA,DEN,-8,0,9:00,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,2,2.3,-6
48,239,49,2002-04-03,31-128,UTA,LAC,12,0,7:00,2,4,.500,0,0,,3,3,1.000,0,0,0,0,0,0,1,0,7,4.0,-6
49,240,50,2002-04-08,31-133,UTA,DAL,-9,0,6:00,0,0,,0,0,,0,0,,1,0,1,0,0,1,1,1,0,0.0,-2
50,241,51,2002-04-09,31-134,UTA,LAL,-30,0,14:00,0,3,.000,0,0,,1,4,.250,0,0,0,1,0,0,1,0,1,-2.6,-5
51,242,52,2002-04-11,31-136,UTA,PHO,1,0,18:00,4,8,.500,0,0,,1,3,.333,2,1,3,0,0,0,0,3,9,4.7,+3
52,243,53,2002-04-13,31-138,UTA,GSW,8,0,10:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0,-7
53,244,54,2002-04-17,31-142,UTA,SAS,-2,0,4:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-1
