,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,3,2015-11-01,23-189,TOR,MIL,19,0,2:22,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-2
1,2,7,2015-11-08,23-196,TOR,MIA,-20,0,2:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
2,3,9,2015-11-11,23-199,TOR,PHI,16,0,2:36,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-0.4,-1
3,4,10,2015-11-13,23-201,TOR,NOP,19,0,2:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-2
4,5,30,2015-12-22,23-240,TOR,DAL,4,0,6:39,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+5
5,6,36,2016-01-04,23-253,TOR,CLE,-22,0,2:56,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-4
6,7,37,2016-01-06,23-255,TOR,BRK,17,0,2:19,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+1
7,8,39,2016-01-09,23-258,TOR,PHI,13,0,1:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
8,9,43,2016-01-22,23-271,TOR,MIA,20,0,1:36,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
9,10,44,2016-01-24,23-273,TOR,LAC,18,0,3:54,0,0,,0,0,,1,4,.250,0,0,0,0,0,0,2,1,1,-2.6,-2
10,11,45,2016-01-26,23-275,TOR,WAS,17,0,1:57,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,0
11,12,48,2016-02-01,23-281,TOR,DEN,-19,0,5:31,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,1,0,0,0,6,6.4,+4
12,13,51,2016-02-08,23-288,TOR,DET,14,0,1:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-7
13,14,52,2016-02-10,23-290,TOR,MIN,-5,0,3:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
14,15,55,2016-02-22,23-302,TOR,NYK,27,0,3:21,1,2,.500,0,0,,0,0,,1,0,1,1,1,0,0,0,2,3.4,+3
15,16,56,2016-02-24,23-304,TOR,MIN,9,0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
16,17,58,2016-02-28,23-308,TOR,DET,-13,0,30:46,3,8,.375,2,4,.500,5,6,.833,0,3,3,6,1,0,1,2,13,12.5,-1
17,18,66,2016-03-15,23-324,TOR,MIL,18,0,2:48,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,2,0.6,+2
18,19,68,2016-03-18,23-327,TOR,BOS,14,0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
19,20,69,2016-03-20,23-329,TOR,ORL,5,0,15:52,3,5,.600,0,0,,0,2,.000,0,1,1,2,1,0,0,0,6,5.6,+5
20,21,70,2016-03-23,23-332,TOR,BOS,-12,0,20:25,3,10,.300,0,1,.000,0,0,,1,7,8,0,0,0,2,0,6,1.0,+4
21,22,72,2016-03-26,23-335,TOR,NOP,24,0,3:17,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-0.3,+2
22,23,73,2016-03-28,23-337,TOR,OKC,-19,0,3:15,1,1,1.000,0,0,,2,3,.667,0,0,0,0,0,0,0,0,4,3.3,+4
23,24,76,2016-04-02,23-342,TOR,SAS,-7,0,22:03,5,8,.625,0,0,,2,2,1.000,1,3,4,3,3,0,2,1,12,12.7,-7
24,25,79,2016-04-08,23-348,TOR,IND,13,0,25:56,6,10,.600,1,2,.500,6,8,.750,1,3,4,2,0,0,3,0,19,13.6,-2
25,26,81,2016-04-12,23-352,TOR,PHI,24,0,21:44,3,7,.429,0,0,,2,2,1.000,0,2,2,5,1,1,2,0,8,8.1,+12
26,27,82,2016-04-13,23-353,TOR,BRK,7,1,37:07,7,14,.500,0,3,.000,4,4,1.000,2,3,5,7,0,2,1,1,18,18.2,+8
