,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,165,1,2015-10-28,22-259,SAC,LAC,-7,1,20:04,2,5,.400,1,2,.500,0,0,,0,0,0,0,1,0,0,4,5,1.7,-14
1,166,2,2015-10-30,22-261,SAC,LAL,18,1,24:59,2,8,.250,1,3,.333,2,2,1.000,1,2,3,1,0,0,1,4,7,1.6,+25
2,167,3,2015-10-31,22-262,SAC,LAC,-5,1,10:25,1,3,.333,0,0,,1,1,1.000,0,1,1,0,0,0,0,1,3,1.2,-9
3,168,4,2015-11-03,22-265,SAC,MEM,-14,1,20:27,1,5,.200,0,2,.000,0,0,,0,2,2,2,0,0,2,3,2,-2.3,-12
4,169,5,2015-11-04,22-266,SAC,PHO,-21,0,14:29,4,6,.667,1,1,1.000,0,0,,0,2,2,1,0,0,3,4,9,3.1,-2
5,170,6,2015-11-06,22-268,SAC,HOU,-6,0,22:38,3,8,.375,1,5,.200,4,6,.667,0,4,4,4,3,0,3,2,11,9.0,+12
6,171,7,2015-11-07,22-269,SAC,GSW,-9,0,16:24,1,4,.250,0,1,.000,0,1,.000,1,0,1,0,1,0,4,2,2,-3.9,+2
7,172,8,2015-11-09,22-271,SAC,SAS,-18,0,12:55,2,6,.333,1,3,.333,2,2,1.000,1,0,1,0,0,0,0,0,7,4.3,-10
8,173,9,2015-11-11,22-273,SAC,DET,9,0,2:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3
9,174,10,2015-11-13,22-275,SAC,BRK,2,0,24:57,5,8,.625,3,4,.750,2,2,1.000,1,0,1,3,1,0,1,2,15,13.4,+2
10,175,11,2015-11-15,22-277,SAC,TOR,6,1,25:22,3,6,.500,2,4,.500,0,0,,1,3,4,1,1,0,0,1,8,7.9,+10
11,176,12,2015-11-18,22-280,SAC,ATL,-6,1,17:55,4,8,.500,3,3,1.000,0,0,,1,0,1,0,1,0,0,0,11,8.7,-6
12,177,13,2015-11-19,22-281,SAC,MIA,-7,1,32:11,7,12,.583,3,4,.750,0,1,.000,0,1,1,3,0,0,4,1,17,9.0,-2
13,178,14,2015-11-21,22-283,SAC,ORL,6,1,25:10,3,12,.250,0,3,.000,2,2,1.000,1,2,3,2,0,0,4,3,8,-1.7,-7
14,179,15,2015-11-23,22-285,SAC,CHO,-5,1,19:23,4,6,.667,0,2,.000,2,2,1.000,0,1,1,1,1,1,2,5,10,6.1,+10
15,180,16,2015-11-25,22-287,SAC,MIL,11,1,27:14,2,5,.400,0,1,.000,4,4,1.000,0,4,4,1,3,0,3,4,8,5.6,+4
16,181,17,2015-11-27,22-289,SAC,MIN,-10,1,26:05,3,9,.333,0,2,.000,0,0,,0,2,2,0,2,0,2,0,6,1.5,0
17,182,18,2015-11-28,22-290,SAC,GSW,-19,1,27:25,3,7,.429,2,3,.667,2,3,.667,0,3,3,5,3,1,2,0,10,12.0,-6
18,183,19,2015-11-30,22-292,SAC,DAL,14,1,17:33,2,6,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,0,4,1.2,+7
19,184,20,2015-12-03,22-295,SAC,BOS,-17,1,24:45,3,6,.500,0,2,.000,5,6,.833,1,3,4,1,0,0,0,4,11,8.3,-13
20,185,21,2015-12-05,22-297,SAC,HOU,-7,1,41:33,8,14,.571,3,5,.600,0,0,,2,7,9,2,3,1,1,3,19,18.8,+8
21,186,22,2015-12-06,22-298,SAC,OKC,-3,1,19:48,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-0.5,-8
22,187,23,2015-12-08,22-300,SAC,UTA,8,1,26:16,4,6,.667,2,4,.500,0,0,,2,0,2,2,2,0,1,2,10,10.4,+10
23,188,24,2015-12-10,22-302,SAC,NYK,2,1,23:32,2,5,.400,1,2,.500,2,2,1.000,0,2,2,0,1,0,0,0,7,5.9,+8
24,189,25,2015-12-15,22-307,SAC,HOU,10,1,23:42,3,4,.750,0,0,,2,3,.667,0,0,0,2,2,0,3,3,8,5.2,+4
25,190,26,2015-12-18,22-310,SAC,MIN,-4,1,20:35,3,5,.600,0,1,.000,0,1,.000,0,0,0,1,2,0,1,3,6,3.8,-14
26,191,27,2015-12-20,22-312,SAC,TOR,10,1,19:06,5,7,.714,2,4,.500,0,1,.000,1,2,3,0,0,1,1,3,12,8.5,+22
27,192,28,2015-12-21,22-313,SAC,WAS,-14,1,24:29,3,6,.500,1,1,1.000,2,2,1.000,2,4,6,0,1,0,1,0,9,8.6,-6
28,193,29,2015-12-23,22-315,SAC,IND,2,1,12:48,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,-0.2,-10
29,194,30,2015-12-27,22-319,SAC,POR,-4,1,19:11,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,2,1,5,2.9,+3
30,195,31,2015-12-28,22-320,SAC,GSW,-19,1,21:02,1,5,.200,0,3,.000,1,2,.500,1,2,3,0,0,0,1,3,3,-1.4,-18
31,196,32,2015-12-30,22-322,SAC,PHI,-5,1,18:42,3,4,.750,2,3,.667,1,2,.500,0,1,1,1,0,0,2,2,9,5.2,-10
32,197,33,2016-01-02,22-325,SAC,PHO,23,1,22:07,0,3,.000,0,2,.000,3,4,.750,0,1,1,3,0,0,4,1,3,-1.5,-6
33,198,34,2016-01-04,22-327,SAC,OKC,12,1,7:19,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.0,-13
34,199,35,2016-01-05,22-328,SAC,DAL,-1,1,18:58,2,5,.400,0,2,.000,0,0,,0,1,1,3,1,0,1,2,4,2.9,-3
35,200,36,2016-01-07,22-330,SAC,LAL,3,1,24:51,7,15,.467,1,5,.200,1,3,.333,2,2,4,1,1,0,3,1,16,7.8,+8
36,201,37,2016-01-09,22-332,SAC,GSW,-12,1,27:16,2,4,.500,0,2,.000,2,3,.667,0,2,2,4,1,0,2,3,6,4.8,-6
37,202,38,2016-01-13,22-336,SAC,NOP,-12,1,6:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-5
38,203,39,2016-01-14,22-337,SAC,UTA,2,1,17:34,1,2,.500,0,0,,2,2,1.000,0,0,0,0,2,0,1,4,4,2.4,+4
39,204,40,2016-01-16,22-339,SAC,LAC,7,1,27:35,5,8,.625,2,4,.500,3,4,.750,1,1,2,1,1,0,2,3,15,10.5,+15
40,205,41,2016-01-20,22-343,SAC,LAL,19,1,18:26,3,6,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,5,6,0.6,+2
41,206,42,2016-01-21,22-344,SAC,ATL,3,1,33:54,5,14,.357,2,7,.286,2,4,.500,1,2,3,4,2,1,3,1,14,8.8,+16
