,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2015-10-28,21-275,HOU,DEN,-20,0,15:50,4,4,1.000,0,0,,0,0,,1,2,3,1,0,0,0,4,8,7.2,+2
1,2,2,2015-10-30,21-277,HOU,GSW,-20,0,21:10,7,9,.778,0,0,,3,5,.600,1,2,3,0,0,1,0,1,17,14.3,-11
2,3,3,2015-11-01,21-279,HOU,MIA,-20,0,22:16,3,4,.750,0,0,,1,2,.500,2,3,5,0,0,1,1,2,7,6.2,-18
3,4,4,2015-11-02,21-280,HOU,OKC,5,0,2:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-4
4,5,5,2015-11-04,21-282,HOU,ORL,5,0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
5,6,6,2015-11-06,21-284,HOU,SAC,6,0,6:36,1,4,.250,0,0,,1,2,.500,2,0,2,0,0,0,2,1,3,-0.8,-10
6,7,7,2015-11-07,21-285,HOU,LAC,4,0,4:10,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
7,8,9,2015-11-13,21-291,HOU,DEN,-9,1,12:51,1,1,1.000,0,0,,3,4,.750,1,1,2,0,0,0,1,3,5,3.1,-1
8,9,10,2015-11-14,21-292,HOU,DAL,-12,0,11:03,2,3,.667,0,0,,1,2,.500,2,2,4,1,1,1,0,1,5,7.3,+3
9,10,11,2015-11-16,21-294,HOU,BOS,-16,0,11:56,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,2,1,4,0.9,0
10,11,12,2015-11-18,21-296,HOU,POR,5,0,6:28,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-3
11,12,13,2015-11-20,21-298,HOU,MEM,-12,0,5:06,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,2,1,0,-2.9,-2
12,13,14,2015-11-21,21-299,HOU,NYK,-5,0,11:00,1,2,.500,0,0,,1,2,.500,1,0,1,0,0,2,0,2,3,2.9,-14
13,14,18,2015-11-30,21-308,HOU,DET,-11,0,7:50,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,4,2.8,+4
14,15,20,2015-12-04,21-312,HOU,DAL,4,0,12:39,0,4,.000,0,0,,0,0,,2,1,3,1,1,0,0,2,0,-0.2,-14
15,16,26,2015-12-15,21-323,HOU,SAC,-10,0,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
16,17,27,2015-12-17,21-325,HOU,LAL,20,0,2:25,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+3
