,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,555,1,2015-10-28,29-190,IND,TOR,-7,0,24:12,5,13,.385,0,1,.000,6,6,1.000,0,4,4,2,1,0,2,2,16,9.7,0
1,556,2,2015-10-29,29-191,IND,MEM,-9,0,25:31,4,6,.667,0,1,.000,1,2,.500,0,4,4,5,1,1,3,0,9,9.4,+4
2,557,3,2015-10-31,29-193,IND,UTA,-21,0,22:41,2,6,.333,0,1,.000,0,0,,0,2,2,1,1,0,1,1,4,1.5,-5
3,558,4,2015-11-03,29-196,IND,DET,12,0,26:16,9,14,.643,0,1,.000,5,6,.833,0,4,4,2,1,0,2,2,23,17.2,+16
4,559,5,2015-11-04,29-197,IND,BOS,2,0,27:02,3,10,.300,1,1,1.000,0,0,,2,3,5,0,0,0,1,3,7,1.3,-5
5,560,6,2015-11-06,29-199,IND,MIA,3,0,10:24,3,6,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,6,4.0,-12
6,561,8,2015-11-09,29-202,IND,ORL,13,0,17:49,3,8,.375,0,2,.000,0,0,,0,2,2,4,2,1,0,1,6,7.3,-2
7,562,13,2015-11-21,29-214,IND,MIL,37,0,21:58,3,9,.333,0,2,.000,1,4,.250,0,2,2,5,1,1,1,1,7,5.1,+19
8,563,14,2015-11-24,29-217,IND,WAS,17,0,23:27,2,6,.333,1,2,.500,0,0,,0,2,2,3,0,0,3,1,5,0.9,-2
9,564,15,2015-11-27,29-220,IND,CHI,12,0,28:15,2,6,.333,1,1,1.000,3,4,.750,0,3,3,0,2,0,3,4,8,2.5,+5
10,565,16,2015-11-29,29-222,IND,LAL,4,0,27:09,3,11,.273,0,1,.000,5,5,1.000,1,6,7,2,0,0,2,1,11,6.0,-9
11,566,17,2015-12-02,29-225,IND,LAC,12,0,32:15,6,13,.462,0,2,.000,6,6,1.000,0,5,5,2,1,0,0,2,18,14.4,-3
12,567,18,2015-12-03,29-226,IND,POR,-12,0,31:10,4,11,.364,1,3,.333,8,8,1.000,2,3,5,6,3,0,1,0,17,19.4,-17
13,568,19,2015-12-05,29-228,IND,UTA,-3,0,32:22,8,14,.571,1,3,.333,6,7,.857,2,1,3,3,0,0,2,3,23,16.6,+2
14,569,20,2015-12-08,29-231,IND,GSW,-8,0,20:12,1,5,.200,0,2,.000,3,3,1.000,0,1,1,3,1,0,2,0,5,3.3,-1
15,570,21,2015-12-11,29-234,IND,MIA,13,0,28:36,2,9,.222,0,1,.000,2,2,1.000,0,2,2,2,0,0,2,1,6,0.1,+4
16,571,22,2015-12-12,29-235,IND,DET,-22,0,23:05,5,8,.625,0,1,.000,0,0,,0,3,3,2,0,0,2,2,10,5.9,-5
17,572,23,2015-12-14,29-237,IND,TOR,16,0,26:57,5,9,.556,0,0,,0,0,,1,3,4,2,1,0,1,1,10,8.3,+42
18,573,24,2015-12-16,29-239,IND,DAL,26,0,26:16,5,11,.455,1,1,1.000,1,1,1.000,0,3,3,7,2,0,1,3,12,11.9,+15
19,574,25,2015-12-18,29-241,IND,BRK,7,0,25:44,5,11,.455,0,1,.000,5,7,.714,2,5,7,1,0,0,0,0,15,12.1,+9
20,575,26,2015-12-19,29-242,IND,MEM,-12,0,27:38,3,7,.429,1,3,.333,4,5,.800,0,2,2,2,0,1,3,3,11,5.4,-1
21,576,27,2015-12-21,29-244,IND,SAS,-14,0,26:30,6,11,.545,2,4,.500,2,3,.667,0,4,4,4,0,0,3,0,16,11.3,-8
22,577,28,2015-12-23,29-246,IND,SAC,-2,0,19:51,1,8,.125,0,1,.000,2,2,1.000,0,4,4,0,0,0,3,1,4,-3.4,-20
23,578,29,2015-12-26,29-249,IND,MIN,14,0,23:42,3,9,.333,1,3,.333,0,0,,1,4,5,8,1,0,2,0,7,8.4,+23
