,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,41,1,2015-10-28,22-053,PHO,DAL,-16,0,20:07,4,13,.308,1,3,.333,0,0,,1,3,4,0,0,0,1,0,9,2.1,-4
1,42,2,2015-10-30,22-055,PHO,POR,18,0,21:51,7,10,.700,1,2,.500,2,4,.500,1,5,6,1,0,0,1,2,17,13.1,+4
2,43,3,2015-10-31,22-056,PHO,POR,11,0,18:46,0,6,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,3,0,-5.1,+2
3,44,4,2015-11-02,22-058,PHO,LAC,-6,0,21:29,5,11,.455,0,1,.000,1,2,.500,4,1,5,1,1,0,0,2,11,8.9,-5
4,45,5,2015-11-04,22-060,PHO,SAC,21,0,26:39,6,9,.667,1,2,.500,0,0,,0,4,4,2,1,0,1,1,13,11.3,+15
5,46,6,2015-11-06,22-062,PHO,DET,-8,0,16:28,2,6,.333,0,0,,1,2,.500,2,1,3,0,1,0,0,3,5,2.7,-14
6,47,7,2015-11-08,22-064,PHO,OKC,-21,0,23:12,7,10,.700,0,0,,3,3,1.000,0,2,2,0,0,0,2,0,17,11.4,+1
7,48,8,2015-11-12,22-068,PHO,LAC,14,0,25:15,7,10,.700,1,1,1.000,3,3,1.000,0,1,1,0,1,1,4,3,18,10.6,+5
8,49,9,2015-11-14,22-070,PHO,DEN,24,0,17:00,3,7,.429,0,1,.000,2,2,1.000,4,3,7,0,1,0,1,2,8,7.2,+2
9,50,10,2015-11-16,22-072,PHO,LAL,19,0,24:17,9,13,.692,0,0,,1,2,.500,2,2,4,0,2,0,0,1,19,16.7,+16
10,51,12,2015-11-20,22-076,PHO,DEN,7,0,11:05,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,0.3,-11
11,52,13,2015-11-22,22-078,PHO,NOP,-6,0,21:27,3,9,.333,3,4,.750,0,0,,1,1,2,0,0,0,0,1,9,4.5,+2
12,53,14,2015-11-23,22-079,PHO,SAS,-14,0,26:10,7,15,.467,0,1,.000,2,2,1.000,3,0,3,2,0,1,2,3,16,9.3,-13
13,54,15,2015-11-25,22-081,PHO,NOP,-6,0,27:18,8,13,.615,0,0,,2,2,1.000,1,0,1,0,0,0,0,4,18,11.2,+4
14,55,16,2015-11-27,22-083,PHO,GSW,-19,0,35:06,12,16,.750,2,3,.667,2,2,1.000,2,4,6,2,2,0,2,2,28,24.8,-5
15,56,17,2015-11-29,22-085,PHO,TOR,5,0,29:44,7,13,.538,0,1,.000,1,2,.500,3,8,11,0,1,3,0,2,15,15.1,+2
16,57,18,2015-12-01,22-087,PHO,BRK,-3,0,18:52,3,6,.500,0,0,,0,0,,1,2,3,0,2,0,0,1,6,5.9,-7
17,58,19,2015-12-02,22-088,PHO,DET,-5,0,21:28,6,11,.545,0,1,.000,0,0,,1,3,4,1,1,0,0,3,12,8.8,+17
18,59,20,2015-12-04,22-090,PHO,WAS,-3,0,21:48,5,9,.556,1,1,1.000,0,0,,0,0,0,2,0,0,1,4,11,5.5,-9
19,60,21,2015-12-06,22-092,PHO,MEM,-2,0,13:47,3,4,.750,0,1,.000,0,0,,0,0,0,0,1,0,2,3,6,2.2,-14
20,61,22,2015-12-07,22-093,PHO,CHI,2,0,24:41,2,8,.250,0,0,,1,1,1.000,1,2,3,3,2,0,2,3,5,2.4,+4
21,62,23,2015-12-09,22-095,PHO,ORL,3,0,13:15,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,1.3,-13
22,63,24,2015-12-11,22-097,PHO,POR,-10,0,14:42,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,1,0,0,3,2.6,-5
23,64,25,2015-12-13,22-099,PHO,MIN,7,0,14:26,3,10,.300,0,1,.000,1,2,.500,3,2,5,0,1,0,0,2,7,3.7,-5
24,65,26,2015-12-14,22-100,PHO,DAL,-10,0,19:13,3,5,.600,0,0,,4,5,.800,1,1,2,0,1,1,0,2,10,9.2,+8
25,66,27,2015-12-16,22-102,PHO,GSW,-25,0,35:40,9,15,.600,0,1,.000,1,2,.500,2,6,8,3,1,2,1,3,19,17.2,0
26,67,28,2015-12-18,22-104,PHO,NOP,16,0,27:32,5,11,.455,0,1,.000,0,0,,3,1,4,1,2,0,1,2,10,7.6,+17
27,68,29,2015-12-20,22-106,PHO,MIL,-6,0,24:08,7,13,.538,0,1,.000,4,4,1.000,0,1,1,0,0,0,0,2,18,11.2,+5
28,69,30,2015-12-21,22-107,PHO,UTA,-21,1,21:20,4,9,.444,1,2,.500,0,0,,2,1,3,0,0,0,1,1,9,4.6,-18
29,70,31,2015-12-23,22-109,PHO,DEN,-8,1,24:18,2,7,.286,1,2,.500,0,0,,2,3,5,2,2,0,0,2,5,5.8,-13
30,71,32,2015-12-26,22-112,PHO,PHI,-7,0,10:29,1,5,.200,1,3,.333,0,0,,1,0,1,0,1,1,0,1,3,1.9,0
31,72,33,2015-12-28,22-114,PHO,CLE,-4,0,27:29,9,15,.600,4,5,.800,1,2,.500,3,2,5,0,1,0,0,2,23,18.6,+7
32,73,34,2015-12-30,22-116,PHO,SAS,-33,0,22:20,5,10,.500,0,1,.000,1,2,.500,0,2,2,0,1,1,0,0,11,7.9,-26
33,74,35,2015-12-31,22-117,PHO,OKC,-4,1,40:54,11,17,.647,3,5,.600,4,4,1.000,1,8,9,3,4,0,0,3,29,29.5,-8
34,75,36,2016-01-02,22-119,PHO,SAC,-23,1,36:25,9,19,.474,0,5,.000,1,2,.500,1,4,5,4,0,0,3,4,19,9.0,-14
35,76,37,2016-01-03,22-120,PHO,LAL,-20,0,21:04,0,3,.000,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-2.4,+4
36,77,38,2016-01-06,22-123,PHO,CHO,9,0,36:52,7,14,.500,3,5,.600,0,0,,0,3,3,2,2,0,0,3,17,13.1,+15
37,78,39,2016-01-08,22-125,PHO,MIA,-8,0,19:22,1,6,.167,0,1,.000,0,0,,1,1,2,0,0,0,0,2,2,-1.6,-8
38,79,40,2016-01-12,22-129,PHO,IND,-19,0,32:05,4,14,.286,1,2,.500,1,2,.500,4,0,4,4,1,0,0,1,10,7.6,-11
39,80,41,2016-01-15,22-132,PHO,BOS,-14,0,20:03,5,9,.556,1,2,.500,2,4,.500,0,3,3,1,1,1,0,4,13,9.6,+8
