,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,292,1,2015-10-28,23-161,OKC,SAS,6,0,24:05,7,11,.636,0,0,,1,1,1.000,6,10,16,0,0,0,0,1,15,16.9,0
1,293,2,2015-10-30,23-163,OKC,ORL,3,0,18:02,4,8,.500,0,0,,2,3,.667,4,2,6,0,0,1,2,6,10,5.3,+9
2,294,3,2015-11-01,23-165,OKC,DEN,24,0,17:35,6,11,.545,0,0,,0,0,,3,7,10,1,0,0,6,5,12,3.6,-3
3,295,4,2015-11-02,23-166,OKC,HOU,-5,0,22:13,3,8,.375,0,0,,0,0,,3,9,12,3,0,1,2,1,6,6.8,+1
4,296,5,2015-11-04,23-168,OKC,TOR,-5,0,17:19,7,11,.636,1,1,1.000,0,0,,2,4,6,1,0,0,1,2,15,11.6,-1
5,297,6,2015-11-05,23-169,OKC,CHI,-6,0,22:11,3,7,.429,0,0,,5,5,1.000,4,4,8,1,0,1,1,3,11,10.5,-9
6,298,7,2015-11-08,23-172,OKC,PHO,21,0,28:29,9,10,.900,0,0,,3,3,1.000,3,4,7,1,0,1,2,5,21,18.3,+9
7,299,8,2015-11-10,23-174,OKC,WAS,24,0,23:07,4,9,.444,0,0,,1,2,.500,1,5,6,1,0,0,0,1,9,6.4,+21
8,300,9,2015-11-13,23-177,OKC,PHI,17,0,19:01,6,11,.545,0,0,,1,2,.500,4,4,8,0,0,1,1,1,13,10.6,+2
9,301,10,2015-11-15,23-179,OKC,BOS,-15,0,16:12,4,7,.571,0,0,,0,2,.000,2,0,2,1,1,1,0,3,8,6.5,-18
10,302,11,2015-11-16,23-180,OKC,MEM,-8,0,17:22,5,6,.833,0,0,,6,6,1.000,1,6,7,1,0,0,1,3,16,14.8,-10
11,303,12,2015-11-18,23-182,OKC,NOP,7,0,31:28,8,15,.533,0,0,,8,12,.667,6,8,14,0,0,0,1,3,24,19.5,+1
12,304,13,2015-11-20,23-184,OKC,NYK,-3,0,24:48,5,8,.625,0,0,,1,2,.500,5,8,13,1,0,0,3,0,11,10.6,0
13,305,14,2015-11-22,23-186,OKC,DAL,3,0,23:09,5,7,.714,0,0,,2,2,1.000,4,3,7,1,0,0,0,3,12,12.3,+10
14,306,15,2015-11-23,23-187,OKC,UTA,22,0,21:11,3,6,.500,0,0,,0,0,,1,4,5,1,0,0,1,4,6,3.0,+18
15,307,16,2015-11-25,23-189,OKC,BRK,11,0,15:03,2,5,.400,0,0,,2,2,1.000,1,8,9,0,0,0,3,0,6,3.4,+4
16,308,17,2015-11-27,23-191,OKC,DET,16,0,18:24,3,6,.500,0,0,,8,10,.800,2,3,5,1,0,1,1,2,14,12.1,+10
17,309,18,2015-11-30,23-194,OKC,ATL,-6,0,15:44,3,7,.429,0,0,,0,0,,6,4,10,0,0,0,0,0,6,7.7,-5
18,310,19,2015-12-03,23-197,OKC,MIA,-2,0,21:23,3,5,.600,0,0,,4,4,1.000,0,3,3,0,0,0,0,3,10,7.4,-4
19,311,20,2015-12-06,23-200,OKC,SAC,3,0,19:44,4,9,.444,0,0,,6,9,.667,4,6,10,0,0,1,1,2,14,11.6,-11
20,312,21,2015-12-08,23-202,OKC,MEM,37,0,14:48,3,6,.500,0,1,.000,0,2,.000,2,3,5,0,0,0,0,2,6,3.7,+4
21,313,22,2015-12-10,23-204,OKC,ATL,13,0,10:31,2,6,.333,0,0,,0,0,,2,3,5,0,0,0,1,0,4,1.9,+4
22,314,23,2015-12-11,23-205,OKC,UTA,4,0,23:41,4,7,.571,0,0,,3,4,.750,2,4,6,1,0,0,2,1,11,8.2,+5
23,315,24,2015-12-13,23-207,OKC,UTA,6,0,15:51,4,6,.667,0,0,,2,2,1.000,1,5,6,0,0,1,1,1,10,8.9,-9
24,316,25,2015-12-16,23-210,OKC,POR,16,0,24:58,3,6,.500,0,0,,6,8,.750,2,11,13,0,0,0,2,2,12,10.1,+2
25,317,26,2015-12-17,23-211,OKC,CLE,-4,0,18:27,2,4,.500,0,0,,2,2,1.000,0,6,6,0,0,0,0,1,6,5.4,-10
26,318,27,2015-12-19,23-213,OKC,LAL,40,0,23:25,8,13,.615,0,0,,3,3,1.000,3,11,14,2,0,1,1,0,19,19.6,+25
27,319,28,2015-12-21,23-215,OKC,LAC,1,0,15:16,2,5,.400,0,0,,0,0,,0,3,3,0,0,0,2,1,4,-0.2,+2
28,320,29,2015-12-23,23-217,OKC,LAL,35,0,21:40,8,12,.667,0,0,,0,0,,6,5,11,0,0,2,2,2,16,15.1,-6
29,321,30,2015-12-25,23-219,OKC,CHI,-9,0,25:53,6,12,.500,0,0,,2,2,1.000,7,6,13,1,0,0,0,1,14,15.0,+5
30,322,31,2015-12-27,23-221,OKC,DEN,10,0,25:04,7,8,.875,0,0,,7,8,.875,5,3,8,0,1,1,1,0,21,22.9,+6
31,323,32,2015-12-29,23-223,OKC,MIL,8,0,21:51,9,12,.750,0,0,,5,6,.833,3,5,8,1,2,0,1,2,23,22.3,+11
32,324,33,2015-12-31,23-225,OKC,PHO,4,0,14:21,2,3,.667,0,0,,2,4,.500,2,2,4,1,0,0,1,0,6,5.6,-6
33,325,34,2016-01-02,23-227,OKC,CHO,19,0,24:04,6,11,.545,0,0,,0,0,,1,3,4,0,0,3,0,2,12,9.6,+1
34,326,35,2016-01-04,23-229,OKC,SAC,-12,0,15:38,1,5,.200,0,0,,1,2,.500,0,1,1,1,0,1,1,1,3,-0.2,-19
35,327,36,2016-01-06,23-231,OKC,MEM,18,0,22:02,3,8,.375,0,0,,3,3,1.000,2,6,8,1,0,0,1,2,9,6.7,+9
36,328,37,2016-01-08,23-233,OKC,LAL,4,0,23:00,6,10,.600,0,1,.000,3,3,1.000,4,5,9,1,0,1,1,1,15,14.7,-12
37,329,38,2016-01-10,23-235,OKC,POR,-5,0,12:50,1,3,.333,0,0,,3,5,.600,2,4,6,0,1,0,2,1,5,3.7,0
38,330,39,2016-01-12,23-237,OKC,MIN,5,0,19:52,8,10,.800,0,0,,2,2,1.000,3,1,4,0,1,0,0,1,18,17.2,-6
39,331,40,2016-01-13,23-238,OKC,DAL,19,0,15:11,2,5,.400,0,0,,0,0,,2,4,6,0,1,0,2,3,4,1.7,0
40,332,41,2016-01-15,23-240,OKC,MIN,20,0,24:59,3,8,.375,0,1,.000,1,2,.500,3,2,5,1,0,0,0,4,7,4.0,+14
41,333,42,2016-01-17,23-242,OKC,MIA,25,0,18:29,4,9,.444,0,0,,0,0,,2,2,4,0,1,1,2,1,8,4.6,+5
42,334,43,2016-01-19,23-244,OKC,DEN,6,0,24:49,10,14,.714,0,0,,5,7,.714,4,4,8,0,0,0,2,4,25,18.8,+11
43,335,44,2016-01-20,23-245,OKC,CHO,14,0,21:37,3,7,.429,1,1,1.000,5,6,.833,5,1,6,0,1,1,3,0,12,10.4,-8
44,336,45,2016-01-22,23-247,OKC,DAL,3,0,24:11,7,10,.700,0,0,,2,2,1.000,4,5,9,0,0,0,1,2,16,14.3,+13
45,337,46,2016-01-24,23-249,OKC,BRK,-10,0,30:27,4,12,.333,0,0,,0,0,,3,6,9,0,0,0,2,4,8,1.5,0
46,338,47,2016-01-26,23-251,OKC,NYK,6,0,18:08,0,6,.000,0,0,,2,2,1.000,0,7,7,1,0,0,1,2,2,-1.2,-13
47,339,48,2016-01-27,23-252,OKC,MIN,3,0,22:58,10,16,.625,0,1,.000,3,3,1.000,7,3,10,0,0,2,2,1,23,20.6,+1
48,340,49,2016-01-29,23-254,OKC,HOU,8,0,26:01,9,16,.563,0,0,,4,4,1.000,4,6,10,0,2,1,2,4,22,18.1,+6
49,341,50,2016-02-01,23-257,OKC,WAS,16,0,17:05,4,7,.571,0,0,,6,6,1.000,1,4,5,0,0,0,3,1,14,9.2,-2
