,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2006-11-01,22-110,NYK,MEM,1,0,8:07,0,2,.000,0,1,.000,0,0,,1,3,4,0,1,1,2,4,0,-1.7,+9
1,2,2,2006-11-03,22-112,NYK,ATL,-10,0,4:24,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,1,0,2,1.7,0
2,3,3,2006-11-04,22-113,NYK,IND,-14,0,4:17,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,-3
3,4,4,2006-11-06,22-115,NYK,SAS,-12,0,10:19,0,1,.000,0,0,,0,2,.000,0,3,3,0,0,0,1,2,0,-2.4,-1
4,5,5,2006-11-08,22-117,NYK,DEN,2,0,14:09,1,1,1.000,0,0,,0,0,,1,1,2,0,1,2,0,5,2,3.1,0
5,6,6,2006-11-10,22-119,NYK,HOU,-9,0,10:35,2,5,.400,1,1,1.000,0,0,,1,2,3,0,3,1,1,4,5,4.7,0
6,7,7,2006-11-11,22-120,NYK,SAS,-8,0,6:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
7,8,8,2006-11-13,22-122,NYK,CLE,-6,0,3:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
8,9,9,2006-11-15,22-124,NYK,WAS,20,0,21:33,6,11,.545,1,3,.333,5,6,.833,5,2,7,0,0,2,1,3,18,15.6,+20
9,10,10,2006-11-17,22-126,NYK,MIA,24,0,19:25,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,1,3,2,0.1,-2
10,11,11,2006-11-18,22-127,NYK,BOS,-4,0,12:49,1,2,.500,1,1,1.000,1,2,.500,0,4,4,4,3,1,1,2,4,8.5,-10
11,12,12,2006-11-20,22-129,NYK,HOU,-7,0,4:55,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-7
12,13,13,2006-11-22,22-131,NYK,MIN,-18,0,5:38,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
13,14,14,2006-11-24,22-133,NYK,BOS,24,0,7:27,0,3,.000,0,0,,0,0,,1,0,1,0,0,1,1,2,0,-2.5,-4
14,15,15,2006-11-25,22-134,NYK,CHI,-11,0,24:00,4,8,.500,1,3,.333,1,4,.250,4,9,13,3,1,3,1,3,10,13.3,+11
15,16,16,2006-11-28,22-137,NYK,CHI,-17,1,23:07,3,6,.500,0,2,.000,0,0,,0,5,5,0,1,1,3,5,6,1.2,-6
16,17,17,2006-11-29,22-138,NYK,CLE,3,0,11:24,0,2,.000,0,0,,0,0,,1,3,4,0,0,1,0,3,0,-0.3,-2
17,18,18,2006-12-01,22-140,NYK,DET,-8,0,20:30,4,7,.571,0,0,,0,0,,1,8,9,2,0,0,3,3,8,5.0,+8
18,19,19,2006-12-02,22-141,NYK,TOR,-3,0,23:24,5,8,.625,0,1,.000,0,0,,0,4,4,0,0,2,1,3,10,6.8,-9
19,20,20,2006-12-04,22-143,NYK,MEM,8,0,3:21,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,4,2,0.1,0
20,21,21,2006-12-06,22-145,NYK,WAS,-11,0,26:02,1,3,.333,0,1,.000,0,2,.000,4,8,12,1,0,0,1,2,2,3.6,+2
21,22,22,2006-12-09,22-148,NYK,MIL,8,0,8:22,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,-5
22,23,23,2006-12-13,22-152,NYK,ATL,12,0,13:54,1,5,.200,0,1,.000,1,1,1.000,2,2,4,3,0,0,0,2,3,3.2,-13
23,24,24,2006-12-15,22-154,NYK,IND,-16,0,18:52,1,2,.500,0,0,,2,4,.500,0,0,0,2,4,1,0,2,4,7.5,+4
24,25,25,2006-12-16,22-155,NYK,DEN,-23,0,2:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
25,26,26,2006-12-18,22-157,NYK,UTA,1,0,31:05,2,6,.333,0,0,,3,6,.500,6,9,15,0,1,2,2,2,7,8.9,+15
26,27,27,2006-12-20,22-159,NYK,CHA,2,0,22:38,1,4,.250,0,1,.000,1,4,.250,1,2,3,1,1,3,1,4,3,1.9,-6
27,28,28,2006-12-22,22-161,NYK,CHI,11,0,28:35,1,6,.167,0,1,.000,0,0,,3,6,9,1,1,1,1,4,2,1.9,+6
28,29,29,2006-12-23,22-162,NYK,PHI,-21,0,27:48,5,10,.500,0,2,.000,0,0,,1,4,5,1,2,2,1,5,10,8.0,-4
29,30,30,2006-12-27,22-166,NYK,DET,6,0,16:43,2,5,.400,0,1,.000,1,2,.500,0,2,2,0,1,2,0,3,5,3.7,-5
30,31,31,2006-12-29,22-168,NYK,PHO,-22,0,9:59,1,4,.250,0,0,,2,2,1.000,1,2,3,0,0,0,0,3,4,1.7,-10
31,32,32,2006-12-31,22-170,NYK,LAC,-10,0,7:57,0,5,.000,0,1,.000,0,0,,1,1,2,2,0,0,0,1,0,-1.5,-1
32,33,33,2007-01-03,22-173,NYK,POR,18,0,14:26,2,2,1.000,0,0,,2,2,1.000,2,1,3,0,1,0,2,1,6,5.7,+5
