,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,76,1,2015-10-28,21-201,PHI,BOS,-17,1,35:02,5,13,.385,0,0,,4,7,.571,3,10,13,2,3,2,3,4,14,12.0,-2
1,77,2,2015-10-30,21-203,PHI,UTA,-28,1,35:49,2,12,.167,0,0,,4,4,1.000,4,6,10,2,0,2,2,3,8,4.6,-20
2,78,3,2015-11-02,21-206,PHI,CLE,-7,1,33:27,7,13,.538,0,0,,0,2,.000,3,5,8,2,1,3,4,2,14,10.2,-13
3,79,4,2015-11-04,21-208,PHI,MIL,-4,1,33:03,8,16,.500,0,0,,1,2,.500,5,7,12,1,1,1,3,5,17,11.6,+9
4,80,5,2015-11-06,21-210,PHI,CLE,-6,1,35:41,9,18,.500,0,0,,0,0,,3,9,12,2,5,2,3,1,18,18.2,-7
5,81,6,2015-11-07,21-211,PHI,ORL,-8,1,21:20,1,4,.250,0,0,,0,0,,1,3,4,0,0,1,4,3,2,-3.3,-3
6,82,9,2015-11-13,21-217,PHI,OKC,-17,1,31:59,4,12,.333,0,0,,5,6,.833,2,9,11,2,2,0,4,1,13,8.9,-14
7,83,10,2015-11-14,21-218,PHI,SAS,-9,1,31:28,2,8,.250,0,0,,2,4,.500,0,3,3,2,2,0,3,3,6,0.5,-21
8,84,11,2015-11-16,21-220,PHI,DAL,-6,1,38:23,5,12,.417,0,0,,2,4,.500,2,10,12,1,2,1,5,3,12,6.4,-4
9,85,12,2015-11-18,21-222,PHI,IND,-27,1,23:38,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,2,0,2,-0.4,-23
10,86,13,2015-11-20,21-224,PHI,CHO,-25,0,27:01,7,9,.778,0,0,,2,4,.500,1,8,9,0,0,0,2,3,16,11.6,-6
11,87,14,2015-11-21,21-225,PHI,MIA,-5,1,30:10,4,9,.444,0,0,,2,4,.500,3,5,8,2,2,0,2,5,10,7.5,-22
12,88,15,2015-11-23,21-227,PHI,MIN,-5,1,32:01,2,6,.333,0,0,,3,3,1.000,0,5,5,0,2,1,3,3,7,3.6,-7
13,89,16,2015-11-25,21-229,PHI,BOS,-4,1,34:04,1,7,.143,0,0,,1,2,.500,1,7,8,2,0,1,1,3,3,0.8,-20
14,90,19,2015-12-01,21-235,PHI,LAL,12,0,26:19,5,7,.714,0,0,,4,6,.667,2,7,9,3,1,0,3,1,14,13.5,+1
15,91,20,2015-12-02,21-236,PHI,NYK,-12,1,32:20,3,11,.273,0,0,,0,2,.000,1,5,6,0,2,0,4,0,6,-1.1,-13
16,92,21,2015-12-05,21-239,PHI,DEN,-3,1,31:13,5,8,.625,0,0,,4,7,.571,1,4,5,0,0,2,5,2,14,6.7,-5
17,93,22,2015-12-07,21-241,PHI,SAS,-51,1,24:03,6,9,.667,0,0,,1,2,.500,3,3,6,1,2,1,1,4,13,12.5,-25
18,94,23,2015-12-10,21-244,PHI,BRK,-9,1,20:57,3,9,.333,0,0,,0,0,,2,3,5,1,4,0,1,3,6,5.7,-8
19,95,24,2015-12-11,21-245,PHI,DET,-12,1,29:08,3,6,.500,0,0,,4,8,.500,2,8,10,1,1,2,4,2,10,7.5,-6
20,96,25,2015-12-13,21-247,PHI,TOR,-20,1,18:10,1,3,.333,0,0,,0,2,.000,2,3,5,4,0,1,2,3,2,2.1,+3
21,97,28,2015-12-18,21-252,PHI,NYK,-10,1,27:12,4,4,1.000,0,0,,0,0,,1,4,5,0,0,3,0,2,8,10.0,-17
22,98,29,2015-12-20,21-254,PHI,CLE,-22,1,31:16,5,10,.500,0,0,,5,11,.455,4,8,12,1,1,1,1,3,15,13.0,-15
23,99,30,2015-12-22,21-256,PHI,MEM,-14,0,26:33,1,3,.333,0,0,,3,3,1.000,0,8,8,2,1,1,2,1,5,6.4,-17
24,100,31,2015-12-23,21-257,PHI,MIL,-13,1,27:22,5,8,.625,0,0,,1,1,1.000,2,3,5,2,3,1,3,0,11,11.8,-9
