,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2006-11-04,22-268,DAL,HOU,-31,0,7:10,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-1.4,-5
1,2,2,2006-11-08,22-272,DAL,LAC,-18,0,1:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
2,3,3,2006-11-09,22-273,DAL,PHO,7,0,3:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+5
3,4,4,2006-11-12,22-276,DAL,POR,7,0,2:44,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,2,0,-1.2,+2
4,5,5,2006-11-14,22-278,DAL,CHI,12,0,3:52,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
5,6,6,2006-11-18,22-282,DAL,MEM,5,0,9:17,2,5,.400,0,1,.000,0,0,,0,0,0,0,0,0,0,2,4,0.5,-1
6,7,7,2006-11-20,22-284,DAL,CHA,8,0,6:32,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-1.8,+7
7,8,8,2006-11-21,22-285,DAL,WAS,27,0,3:46,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1
8,9,9,2006-11-25,22-289,DAL,NOK,12,0,5:24,0,2,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,1,1,1,-1.6,-7
9,10,10,2006-11-29,22-293,DAL,TOR,19,0,4:47,2,3,.667,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,6,4.7,-1
10,11,11,2006-12-01,22-295,DAL,SAC,19,0,4:02,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,2,1,1,-3.2,-8
11,12,12,2006-12-09,22-303,DAL,DEN,15,0,0:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1
12,13,13,2006-12-11,22-305,DAL,UTA,-22,0,7:21,2,3,.667,0,1,.000,2,4,.500,0,0,0,1,0,0,1,0,6,3.6,0
13,14,14,2006-12-13,22-307,DAL,LAL,9,0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
14,15,15,2006-12-15,22-309,DAL,PHI,14,0,3:50,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-1.5,-6
15,16,16,2006-12-16,22-310,DAL,NOK,11,0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
16,17,17,2007-01-02,22-327,DAL,SEA,24,0,3:18,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
17,18,18,2007-01-18,22-343,DAL,LAL,19,0,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
18,19,19,2007-01-30,22-355,DAL,SEA,20,0,1:15,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,+3
19,20,20,2007-02-22,23-013,DAL,MIA,12,0,4:25,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-14
20,21,21,2007-02-24,23-015,DAL,DEN,20,0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
21,22,22,2007-02-26,23-017,DAL,ATL,23,0,2:47,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,+1
22,23,23,2007-02-27,23-018,DAL,MIN,26,0,8:01,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+9
23,24,24,2007-03-16,23-035,DAL,BOS,5,0,4:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
24,25,25,2007-03-20,23-039,DAL,NYK,15,0,5:13,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-1
25,26,26,2007-03-23,23-042,DAL,BOS,14,0,3:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-9
26,27,27,2007-03-27,23-046,DAL,NOK,16,0,5:20,1,3,.333,0,0,,2,3,.667,0,0,0,0,1,0,0,1,4,2.5,-15
27,28,28,2007-04-01,23-051,DAL,PHO,-22,0,2:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
28,29,29,2007-04-07,23-057,DAL,POR,12,0,24:53,3,6,.500,0,0,,2,4,.500,0,3,3,1,0,1,1,2,8,4.7,+4
29,30,30,2007-04-11,23-061,DAL,MIN,17,0,30:32,2,8,.250,2,4,.500,1,4,.250,0,5,5,2,0,0,1,3,7,1.7,+15
30,31,31,2007-04-13,23-063,DAL,UTA,-15,0,16:56,1,4,.250,0,1,.000,3,6,.500,0,1,1,0,0,1,1,4,5,-0.2,-15
31,32,32,2007-04-17,23-067,DAL,GSW,-29,1,33:58,6,14,.429,2,4,.500,6,6,1.000,1,5,6,0,1,1,3,4,20,11.9,-27
