,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,577,1,2015-10-28,29-217,TOR,IND,7,1,38:58,8,17,.471,2,4,.500,5,6,.833,1,2,3,6,2,0,5,4,23,14.8,+8
1,578,2,2015-10-30,29-219,TOR,BOS,10,1,34:14,3,11,.273,0,1,.000,8,10,.800,1,6,7,9,3,2,3,4,14,15.3,+3
2,579,3,2015-11-01,29-221,TOR,MIL,19,1,29:18,5,10,.500,1,5,.200,4,4,1.000,2,3,5,7,4,0,1,3,15,19.0,+19
3,580,4,2015-11-03,29-223,TOR,DAL,11,1,36:48,9,15,.600,4,5,.800,5,5,1.000,0,5,5,10,3,2,4,4,27,27.4,+25
4,581,5,2015-11-04,29-224,TOR,OKC,5,1,33:51,5,14,.357,3,8,.375,4,6,.667,0,4,4,1,2,0,5,4,17,5.7,+3
5,582,6,2015-11-06,29-226,TOR,ORL,-5,1,31:44,6,16,.375,3,7,.429,2,3,.667,1,4,5,3,1,0,3,3,17,8.6,-2
6,583,7,2015-11-08,29-228,TOR,MIA,-20,1,36:52,4,16,.250,2,8,.250,5,6,.833,1,5,6,8,1,0,2,2,15,11.0,-16
7,584,8,2015-11-10,29-230,TOR,NYK,-2,1,36:59,8,18,.444,2,5,.400,5,7,.714,1,5,6,9,3,1,4,5,23,19.0,+9
8,585,9,2015-11-11,29-231,TOR,PHI,16,1,28:57,6,12,.500,2,6,.333,9,10,.900,0,3,3,8,2,0,2,2,23,22.3,+14
9,586,10,2015-11-13,29-233,TOR,NOP,19,1,34:38,4,13,.308,4,8,.500,8,8,1.000,0,6,6,5,4,1,2,1,20,20.1,+9
10,587,11,2015-11-15,29-235,TOR,SAC,-6,1,38:55,8,19,.421,6,12,.500,0,0,,0,2,2,7,4,1,5,3,22,15.9,-5
11,588,12,2015-11-17,29-237,TOR,GSW,-5,1,38:37,7,15,.467,2,7,.286,12,12,1.000,3,3,6,3,2,1,2,6,28,23.7,0
12,589,13,2015-11-18,29-238,TOR,UTA,-4,1,37:13,6,17,.353,1,7,.143,7,7,1.000,0,3,3,6,3,0,5,2,20,12.8,0
13,590,14,2015-11-20,29-240,TOR,LAL,11,1,36:13,7,16,.438,7,11,.636,4,4,1.000,0,5,5,5,3,0,1,2,25,22.8,+14
14,591,15,2015-11-22,29-242,TOR,LAC,11,1,37:36,2,11,.182,1,4,.250,8,8,1.000,1,2,3,10,3,0,4,4,13,11.8,+14
15,592,16,2015-11-25,29-245,TOR,CLE,4,1,37:35,11,17,.647,2,6,.333,3,5,.600,1,2,3,6,4,1,0,2,27,28.1,+10
16,593,17,2015-11-28,29-248,TOR,WAS,2,1,33:56,9,19,.474,6,11,.545,3,4,.750,1,6,7,3,2,1,6,5,27,16.2,+6
17,594,18,2015-11-29,29-249,TOR,PHO,-5,1,33:31,5,14,.357,4,9,.444,3,3,1.000,1,7,8,5,1,0,3,4,17,11.9,-7
18,595,19,2015-12-02,29-252,TOR,ATL,10,1,37:15,9,17,.529,2,7,.286,11,12,.917,0,5,5,5,2,0,2,5,31,25.3,+10
19,596,20,2015-12-03,29-253,TOR,DEN,-1,1,36:39,4,16,.250,3,10,.300,5,7,.714,1,5,6,8,4,2,3,2,16,15.0,-3
20,597,21,2015-12-05,29-255,TOR,GSW,-3,1,38:29,14,26,.538,6,10,.600,7,8,.875,1,2,3,7,4,1,1,2,41,37.1,+8
21,598,22,2015-12-07,29-257,TOR,LAL,9,1,37:58,9,19,.474,5,11,.455,4,4,1.000,1,6,7,6,0,0,2,1,27,21.6,+6
22,599,23,2015-12-09,29-259,TOR,SAS,3,1,37:12,6,11,.545,1,3,.333,6,6,1.000,0,5,5,8,1,0,4,2,19,17.0,+5
23,600,24,2015-12-11,29-261,TOR,MIL,7,1,35:17,5,16,.313,2,8,.250,0,0,,0,7,7,5,1,2,5,3,12,4.6,0
