,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,294,1,2014-10-29,27-286,TOR,ATL,7,0,17:19,5,11,.455,2,6,.333,0,0,,0,2,2,3,0,0,0,4,12,7.4,+13
1,295,2,2014-11-01,27-289,TOR,ORL,13,0,18:14,1,9,.111,0,4,.000,4,4,1.000,0,1,1,2,1,0,0,1,6,2.4,-7
2,296,3,2014-11-02,27-290,TOR,MIA,-5,0,25:08,5,11,.455,2,6,.333,0,0,,0,2,2,2,1,0,2,6,12,4.9,-1
3,297,4,2014-11-04,27-292,TOR,OKC,12,0,18:17,4,12,.333,1,7,.143,1,1,1.000,0,3,3,4,0,0,2,2,10,4.1,+7
4,298,5,2014-11-05,27-293,TOR,BOS,3,0,20:00,3,8,.375,1,2,.500,0,0,,0,2,2,0,1,0,0,0,7,4.2,+10
5,299,6,2014-11-07,27-295,TOR,WAS,19,0,16:11,0,4,.000,0,2,.000,2,2,1.000,1,2,3,3,1,0,0,1,2,3.2,+2
6,300,7,2014-11-09,27-297,TOR,PHI,32,0,26:01,5,11,.455,1,2,.500,2,2,1.000,0,4,4,6,1,0,1,2,13,11.9,+18
7,301,8,2014-11-11,27-299,TOR,ORL,4,0,15:36,1,8,.125,0,3,.000,2,2,1.000,0,2,2,0,1,0,2,1,4,-2.0,+4
8,302,9,2014-11-13,27-301,TOR,CHI,-7,0,13:59,2,5,.400,0,2,.000,3,4,.750,0,2,2,1,1,0,5,1,7,0.8,+2
9,303,10,2014-11-15,27-303,TOR,UTA,18,0,14:14,3,6,.500,2,2,1.000,0,0,,1,3,4,0,0,0,1,0,8,5.6,+1
10,304,11,2014-11-19,27-307,TOR,MEM,4,0,14:16,1,5,.200,1,4,.250,0,0,,0,3,3,3,0,0,1,4,3,0.3,+6
11,305,12,2014-11-21,27-309,TOR,MIL,42,0,25:56,5,11,.455,1,2,.500,0,0,,2,0,2,6,1,0,0,0,11,11.9,+14
12,306,13,2014-11-22,27-310,TOR,CLE,17,0,17:46,2,7,.286,1,3,.333,2,2,1.000,0,2,2,2,0,0,0,4,7,3.3,+16
13,307,14,2014-11-24,27-312,TOR,PHO,4,0,16:03,1,6,.167,0,3,.000,0,0,,0,1,1,3,1,0,2,1,2,-0.8,-5
14,308,15,2014-11-26,27-314,TOR,ATL,11,0,16:47,8,12,.667,3,6,.500,2,2,1.000,0,2,2,3,0,0,1,2,21,16.7,-3
15,309,16,2014-11-28,27-316,TOR,DAL,-4,0,24:56,5,11,.455,4,5,.800,0,1,.000,0,3,3,6,1,0,3,4,14,9.4,-7
16,310,17,2014-11-30,27-318,TOR,LAL,-7,1,33:55,8,16,.500,1,5,.200,2,4,.500,0,0,0,5,1,0,0,1,19,14.3,-7
17,311,18,2014-12-02,27-320,TOR,SAC,8,1,29:31,5,10,.500,2,4,.500,0,0,,0,4,4,7,1,0,2,5,12,10.1,+10
18,312,19,2014-12-03,27-321,TOR,UTA,19,1,30:43,7,13,.538,3,5,.600,0,1,.000,0,4,4,5,1,0,1,0,17,15.0,+19
19,313,20,2014-12-05,27-323,TOR,CLE,-14,1,27:51,2,11,.182,0,3,.000,0,0,,0,1,1,5,0,1,1,0,4,0.6,-9
20,314,21,2014-12-08,27-326,TOR,DEN,5,1,33:07,4,9,.444,0,3,.000,1,2,.500,0,5,5,2,2,2,1,2,9,8.4,0
21,315,22,2014-12-09,27-327,TOR,CLE,-4,0,12:43,1,3,.333,1,3,.333,0,0,,0,0,0,2,0,0,1,0,3,1.7,-8
22,316,23,2014-12-12,27-330,TOR,IND,12,0,25:14,4,13,.308,2,7,.286,0,0,,0,0,0,4,0,1,1,4,10,3.4,+2
23,317,24,2014-12-14,27-332,TOR,NYK,5,0,13:41,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,2,2,2,-0.2,+8
24,318,25,2014-12-15,27-333,TOR,ORL,13,0,19:33,2,9,.222,0,5,.000,0,0,,1,1,2,4,0,0,3,2,4,-1.5,-10
25,319,26,2014-12-17,27-335,TOR,BRK,16,0,16:22,6,11,.545,1,3,.333,0,0,,0,3,3,3,1,0,1,0,13,10.7,+7
26,320,27,2014-12-19,27-337,TOR,DET,10,0,24:43,3,9,.333,1,4,.250,1,2,.500,0,3,3,5,0,1,3,2,8,3.8,-11
27,321,28,2014-12-21,27-339,TOR,NYK,10,0,24:46,9,13,.692,3,5,.600,0,0,,0,3,3,5,0,0,2,2,21,17.1,+2
28,322,29,2014-12-22,27-340,TOR,CHI,-9,0,14:36,1,7,.143,0,3,.000,0,0,,0,0,0,4,0,0,1,1,2,-1.1,+2
29,323,30,2014-12-27,27-345,TOR,LAC,12,0,22:15,5,12,.417,4,8,.500,2,2,1.000,0,4,4,6,0,0,2,3,16,11.8,-3
30,324,31,2014-12-28,27-346,TOR,DEN,14,0,17:59,1,10,.100,0,1,.000,0,2,.000,1,1,2,6,0,0,1,1,2,-1.6,+15
31,325,32,2014-12-30,27-348,TOR,POR,-5,0,23:00,5,13,.385,2,7,.286,1,2,.500,0,3,3,1,0,0,0,3,13,5.9,-3
32,326,33,2015-01-02,27-351,TOR,GSW,-21,0,34:11,10,19,.526,5,9,.556,0,1,.000,0,5,5,7,1,0,2,1,25,20.3,-4
33,327,34,2015-01-04,27-353,TOR,PHO,-16,0,22:05,0,6,.000,0,4,.000,2,2,1.000,0,2,2,4,0,0,3,4,2,-3.4,-15
34,328,35,2015-01-08,27-357,TOR,CHO,-8,0,29:34,4,8,.500,3,5,.600,0,0,,0,3,3,4,1,0,3,3,11,7.5,+13
35,329,36,2015-01-10,27-359,TOR,BOS,13,0,18:45,2,6,.333,2,4,.500,0,0,,0,4,4,2,0,0,2,0,6,3.2,+2
36,330,37,2015-01-12,27-361,TOR,DET,-3,0,25:23,7,9,.778,2,3,.667,0,0,,0,3,3,4,1,1,1,0,16,16.9,-1
37,331,38,2015-01-14,27-363,TOR,PHI,16,0,24:03,1,5,.200,0,3,.000,0,0,,1,2,3,2,0,0,2,4,2,-2.0,+4
38,332,39,2015-01-16,28-000,TOR,ATL,-21,0,20:41,3,7,.429,2,4,.500,0,0,,0,1,1,6,0,0,1,3,8,6.6,+2
39,333,40,2015-01-18,28-002,TOR,NOP,-2,0,28:03,5,14,.357,4,9,.444,2,2,1.000,0,2,2,9,2,0,3,3,16,12.9,+7
40,334,41,2015-01-19,28-003,TOR,MIL,3,1,30:59,4,10,.400,1,2,.500,1,3,.333,1,1,2,3,0,0,1,1,10,5.5,-2
41,335,42,2015-01-21,28-005,TOR,MEM,-6,1,22:20,1,8,.125,0,5,.000,1,2,.500,1,1,2,3,2,0,0,2,3,1.7,-6
42,336,43,2015-01-23,28-007,TOR,PHI,5,1,33:09,6,11,.545,0,4,.000,0,0,,1,4,5,4,0,0,2,4,12,7.8,+4
43,337,44,2015-01-25,28-009,TOR,DET,4,1,24:29,5,10,.500,1,3,.333,2,2,1.000,0,3,3,7,1,0,1,4,13,12.2,+4
44,338,45,2015-01-27,28-011,TOR,IND,13,1,28:27,2,6,.333,1,4,.250,2,2,1.000,0,4,4,4,0,0,1,4,7,5.0,+9
45,339,46,2015-01-28,28-012,TOR,SAC,17,1,31:04,7,9,.778,4,5,.800,0,0,,0,4,4,6,1,0,2,1,18,18.5,+7
46,340,47,2015-01-30,28-014,TOR,BRK,5,1,24:25,3,8,.375,2,4,.500,0,0,,0,7,7,0,0,0,1,0,8,4.7,+2
47,341,48,2015-01-31,28-015,TOR,WAS,4,1,27:23,4,8,.500,3,4,.750,1,1,1.000,0,2,2,4,0,0,2,3,12,8.2,+2
48,342,49,2015-02-02,28-017,TOR,MIL,-7,1,33:13,3,11,.273,2,6,.333,0,0,,0,3,3,2,0,1,2,3,8,1.3,-6
49,343,50,2015-02-04,28-019,TOR,BRK,-16,1,21:00,2,5,.400,1,2,.500,0,0,,0,0,0,1,0,0,0,4,5,1.4,-21
50,344,51,2015-02-06,28-021,TOR,LAC,16,1,23:21,6,9,.667,4,7,.571,1,1,1.000,1,2,3,3,0,0,2,4,17,12.9,-2
51,345,52,2015-02-08,28-023,TOR,SAS,5,0,16:29,2,6,.333,1,3,.333,0,0,,0,2,2,2,0,0,0,2,5,2.8,-15
52,346,53,2015-02-11,28-026,TOR,WAS,2,0,18:56,4,7,.571,3,5,.600,0,0,,0,4,4,1,0,0,2,1,11,7.2,+7
53,347,54,2015-02-20,28-035,TOR,ATL,25,0,24:05,3,10,.300,1,5,.200,0,0,,0,3,3,8,0,1,2,1,7,6.0,+1
54,348,55,2015-02-21,28-036,TOR,HOU,-22,0,22:21,2,7,.286,2,4,.500,0,0,,1,2,3,2,2,0,2,2,6,3.8,-27
55,349,56,2015-02-23,28-038,TOR,NOP,-3,0,14:15,2,6,.333,0,3,.000,2,2,1.000,2,1,3,3,1,0,0,0,6,7.4,-2
56,350,57,2015-02-24,28-039,TOR,DAL,-7,0,19:26,5,6,.833,3,3,1.000,1,2,.500,0,1,1,2,1,0,0,2,14,13.3,0
57,351,58,2015-02-27,28-042,TOR,GSW,-24,0,25:06,1,6,.167,0,2,.000,0,0,,0,4,4,4,1,0,2,3,2,0.0,-2
58,352,59,2015-02-28,28-043,TOR,NYK,-5,1,33:59,5,13,.385,4,9,.444,0,0,,2,1,3,6,0,0,3,4,14,8.2,+4
59,353,60,2015-03-02,28-045,TOR,PHI,11,1,27:56,5,8,.625,2,4,.500,0,0,,0,1,1,5,1,0,1,1,12,11.8,0
60,354,61,2015-03-04,28-047,TOR,CLE,-8,1,39:37,2,7,.286,1,3,.333,1,2,.500,0,3,3,13,2,0,1,4,6,10.9,+3
61,355,62,2015-03-06,28-049,TOR,CHO,-9,0,13:35,1,5,.200,0,2,.000,0,0,,0,3,3,0,0,0,0,0,2,-0.2,-7
62,356,63,2015-03-08,28-051,TOR,OKC,-4,0,20:05,3,7,.429,2,4,.500,2,2,1.000,2,1,3,2,0,0,1,4,10,6.8,+2
63,357,64,2015-03-10,28-053,TOR,SAS,-10,0,14:43,1,3,.333,1,2,.500,0,0,,0,1,1,3,0,0,1,3,3,1.5,-10
64,358,65,2015-03-13,28-056,TOR,MIA,10,0,25:45,5,11,.455,2,6,.333,0,0,,0,1,1,2,0,0,4,1,12,3.6,-16
65,359,66,2015-03-15,28-058,TOR,POR,-16,0,17:48,4,9,.444,2,5,.400,0,0,,0,0,0,3,1,1,1,2,10,7.3,-2
66,360,67,2015-03-16,28-059,TOR,IND,19,0,24:42,3,8,.375,2,4,.500,0,0,,0,2,2,3,0,1,2,3,8,3.8,+5
67,361,68,2015-03-18,28-061,TOR,MIN,5,0,25:21,4,10,.400,3,6,.500,0,0,,0,2,2,5,1,0,1,3,11,8.5,-4
68,362,69,2015-03-20,28-063,TOR,CHI,-16,1,36:58,5,15,.333,1,5,.200,0,0,,0,4,4,6,1,0,2,1,11,6.5,-8
69,363,70,2015-03-22,28-065,TOR,NYK,17,1,34:13,5,8,.625,0,1,.000,2,2,1.000,0,0,0,1,0,0,4,1,12,4.7,+12
70,364,71,2015-03-24,28-067,TOR,DET,-4,0,28:05,3,6,.500,1,4,.250,0,0,,0,4,4,3,1,0,3,3,7,4.1,-1
71,365,72,2015-03-25,28-068,TOR,CHI,-13,1,30:54,7,15,.467,6,11,.545,2,2,1.000,2,0,2,3,1,0,2,2,22,16.0,+1
72,366,73,2015-03-27,28-070,TOR,LAL,11,1,25:51,2,4,.500,1,3,.333,0,0,,0,1,1,5,0,0,0,3,5,5.6,+10
73,367,74,2015-03-30,28-073,TOR,HOU,3,1,33:44,1,10,.100,1,6,.167,0,0,,1,2,3,7,2,0,2,2,3,1.8,0
74,368,75,2015-04-01,28-075,TOR,MIN,14,1,29:31,5,6,.833,4,5,.800,0,0,,0,4,4,2,1,0,1,4,14,12.8,+26
75,369,76,2015-04-03,28-077,TOR,BRK,-5,1,33:21,3,10,.300,1,5,.200,0,0,,0,4,4,4,0,0,1,2,7,3.4,-2
76,370,77,2015-04-04,28-078,TOR,BOS,-1,1,37:25,3,9,.333,2,6,.333,0,0,,1,3,4,3,1,0,4,3,8,2.4,-10
77,371,78,2015-04-08,28-082,TOR,CHO,18,1,35:34,6,13,.462,4,6,.667,0,0,,0,5,5,4,0,0,1,3,16,11.4,+12
78,372,79,2015-04-10,28-084,TOR,ORL,2,0,25:52,3,9,.333,0,2,.000,3,3,1.000,0,2,2,3,1,0,1,1,9,6.2,-4
79,373,80,2015-04-11,28-085,TOR,MIA,3,0,24:33,5,9,.556,2,4,.500,0,0,,0,3,3,1,0,0,0,3,12,8.1,+8
80,374,81,2015-04-14,28-088,TOR,BOS,-2,1,32:16,4,7,.571,3,6,.500,0,0,,0,5,5,7,1,0,1,1,11,13.7,+11
81,375,82,2015-04-15,28-089,TOR,CHO,5,0,24:58,2,8,.250,2,4,.500,0,0,,0,4,4,6,1,0,1,3,6,5.4,-3
