,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,229,1,2015-10-28,24-100,UTA,DET,-5,0,26:26,6,14,.429,0,0,,6,7,.857,0,6,6,1,0,0,0,4,18,11.1,-12
1,230,2,2015-10-30,24-102,UTA,PHI,28,0,26:49,6,8,.750,1,1,1.000,2,3,.667,1,6,7,1,1,0,3,1,15,12.2,+24
2,231,3,2015-10-31,24-103,UTA,IND,21,0,20:33,4,13,.308,0,0,,2,2,1.000,0,1,1,0,1,0,1,1,10,2.4,+6
3,232,4,2015-11-04,24-107,UTA,POR,-16,0,32:16,5,13,.385,0,2,.000,11,15,.733,1,3,4,1,1,0,0,3,21,14.4,-5
4,233,5,2015-11-05,24-108,UTA,DEN,12,0,31:19,5,12,.417,1,2,.500,1,1,1.000,0,3,3,8,1,0,3,4,12,8.5,+9
5,234,6,2015-11-07,24-110,UTA,MEM,10,0,24:52,2,6,.333,1,3,.333,4,4,1.000,1,2,3,4,1,0,4,3,9,5.5,+12
6,235,7,2015-11-10,24-113,UTA,CLE,-4,0,30:11,7,13,.538,4,5,.800,6,6,1.000,0,3,3,3,1,0,3,5,24,16.7,+2
7,236,8,2015-11-12,24-115,UTA,MIA,-1,0,34:47,9,16,.563,3,3,1.000,3,4,.750,2,1,3,2,1,0,3,4,24,15.5,+9
8,237,9,2015-11-13,24-116,UTA,ORL,-9,1,24:51,2,13,.154,1,4,.250,6,6,1.000,2,0,2,1,1,0,1,2,11,4.0,-15
9,238,10,2015-11-15,24-118,UTA,ATL,1,0,28:28,7,13,.538,1,3,.333,3,5,.600,0,6,6,2,2,0,1,2,18,14.3,+4
10,239,11,2015-11-18,24-121,UTA,TOR,4,0,26:39,5,12,.417,1,4,.250,2,2,1.000,1,1,2,2,1,1,2,3,13,7.5,-8
11,240,12,2015-11-20,24-123,UTA,DAL,-9,0,30:22,4,14,.286,1,5,.200,6,6,1.000,1,4,5,0,0,1,1,2,15,7.6,-4
12,241,13,2015-11-23,24-126,UTA,OKC,-22,0,24:35,2,9,.222,0,2,.000,4,6,.667,0,2,2,3,1,0,4,2,8,0.6,-25
13,242,14,2015-11-25,24-128,UTA,LAC,11,0,28:32,3,13,.231,0,2,.000,2,2,1.000,0,6,6,1,0,0,1,1,8,1.2,-1
14,243,15,2015-11-28,24-131,UTA,NOP,14,0,31:57,9,14,.643,1,2,.500,2,2,1.000,1,4,5,4,0,0,2,3,21,16.3,+12
15,244,16,2015-11-30,24-133,UTA,GSW,-3,0,28:35,8,15,.533,2,5,.400,1,1,1.000,0,2,2,2,0,0,3,2,19,9.9,-7
16,245,17,2015-12-03,24-136,UTA,ORL,-9,0,29:26,6,12,.500,3,6,.500,6,8,.750,0,5,5,3,0,2,1,2,21,17.4,-3
17,246,18,2015-12-05,24-138,UTA,IND,3,0,32:56,3,11,.273,1,3,.333,2,6,.333,1,4,5,2,0,0,1,4,9,1.6,+1
18,247,19,2015-12-08,24-141,UTA,SAC,-8,0,30:10,6,15,.400,2,6,.333,4,5,.800,1,3,4,3,0,0,1,4,18,10.6,+11
19,248,20,2015-12-09,24-142,UTA,NYK,21,0,18:56,2,6,.333,0,0,,6,9,.667,0,0,0,1,1,0,1,2,10,5.3,+5
20,249,21,2015-12-11,24-144,UTA,OKC,-4,0,26:47,4,11,.364,0,4,.000,7,10,.700,1,2,3,5,0,0,2,1,15,10.1,+1
21,250,22,2015-12-13,24-146,UTA,OKC,-6,1,37:02,8,22,.364,2,3,.667,3,6,.500,1,4,5,3,1,0,1,2,21,10.8,-16
22,251,23,2015-12-14,24-147,UTA,SAS,-37,0,17:48,2,9,.222,0,0,,4,4,1.000,1,0,1,3,0,0,0,1,8,4.9,-17
23,252,24,2015-12-16,24-149,UTA,NOP,-10,1,32:50,2,10,.200,0,4,.000,4,6,.667,1,4,5,2,0,0,2,5,8,0.3,-2
24,253,25,2015-12-18,24-151,UTA,DEN,9,0,17:18,3,7,.429,1,3,.333,1,2,.500,0,4,4,0,1,0,1,1,8,4.7,+9
25,254,26,2015-12-21,24-154,UTA,PHO,21,0,20:07,3,7,.429,1,1,1.000,6,9,.667,0,2,2,0,0,0,2,3,13,5.5,+1
26,255,27,2015-12-23,24-156,UTA,GSW,-18,0,27:00,5,12,.417,1,1,1.000,2,2,1.000,0,3,3,1,0,0,2,1,13,5.8,-11
27,256,28,2015-12-26,24-159,UTA,LAC,-5,0,18:06,5,5,1.000,1,1,1.000,0,2,.000,0,3,3,1,1,0,3,1,11,7.9,-5
28,257,79,2016-04-08,24-263,UTA,LAC,-3,0,13:00,4,5,.800,3,3,1.000,0,0,,0,1,1,0,0,0,1,1,11,8.0,+6
29,258,80,2016-04-10,24-265,UTA,DEN,16,0,13:59,0,4,.000,0,1,.000,0,0,,0,5,5,2,0,0,0,1,0,-0.3,+3
30,259,81,2016-04-11,24-266,UTA,DAL,-9,0,10:38,0,0,,0,0,,0,0,,0,3,3,2,2,0,1,0,0,3.3,+3
