,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,282,1,2011-12-25,27-184,ORL,OKC,-8,0,22:43,0,3,.000,0,2,.000,8,8,1.000,0,3,3,1,0,0,0,1,8,7.1,-7
1,283,2,2011-12-26,27-185,ORL,HOU,9,0,28:15,8,12,.667,3,4,.750,1,1,1.000,0,2,2,2,0,0,0,1,20,16.4,+5
2,284,3,2011-12-29,27-188,ORL,NJN,16,0,23:13,6,11,.545,2,3,.667,1,2,.500,0,2,2,3,1,0,0,2,15,12.2,+7
3,285,4,2011-12-30,27-189,ORL,CHA,21,0,23:06,4,7,.571,0,2,.000,3,3,1.000,1,2,3,2,0,1,2,2,11,8.3,+3
4,286,5,2012-01-01,27-191,ORL,TOR,6,0,34:15,6,10,.600,3,5,.600,6,7,.857,0,3,3,3,0,0,0,3,21,17.8,+26
5,287,6,2012-01-02,27-192,ORL,DET,-11,0,24:41,3,10,.300,0,4,.000,2,2,1.000,0,1,1,4,0,0,1,4,8,2.7,0
6,288,7,2012-01-04,27-194,ORL,WAS,18,0,22:58,5,11,.455,1,4,.250,3,3,1.000,0,1,1,2,1,0,2,0,14,9.0,+10
7,289,8,2012-01-06,27-196,ORL,CHI,-14,0,22:29,0,4,.000,0,1,.000,1,1,1.000,1,1,2,1,0,0,1,2,1,-1.9,0
8,290,9,2012-01-08,27-198,ORL,SAC,7,0,19:37,2,9,.222,1,3,.333,1,1,1.000,0,3,3,2,2,0,1,0,6,3.8,+10
9,291,10,2012-01-11,27-201,ORL,POR,3,0,27:04,5,11,.455,3,7,.429,4,4,1.000,0,4,4,4,0,0,1,1,17,13.9,-6
10,292,11,2012-01-12,27-202,ORL,GSW,8,0,34:27,3,7,.429,1,3,.333,6,6,1.000,0,3,3,3,0,0,0,4,13,10.7,+10
11,293,12,2012-01-16,27-206,ORL,NYK,9,1,36:56,8,12,.667,3,6,.500,2,2,1.000,1,2,3,1,0,0,0,2,21,17.0,+10
12,294,13,2012-01-17,27-207,ORL,CHA,7,1,30:16,2,9,.222,1,1,1.000,0,0,,1,3,4,2,2,0,0,0,5,4.5,-4
13,295,14,2012-01-18,27-208,ORL,SAS,-2,1,31:43,4,11,.364,0,2,.000,5,6,.833,1,2,3,1,0,0,1,0,13,7.5,+3
14,296,15,2012-01-20,27-210,ORL,LAL,12,1,33:02,5,11,.455,3,6,.500,2,2,1.000,0,2,2,6,0,0,1,2,15,12.3,+5
15,297,16,2012-01-23,27-213,ORL,BOS,-31,0,18:24,0,2,.000,0,0,,2,2,1.000,1,0,1,2,1,0,1,1,2,2.3,-10
16,298,17,2012-01-24,27-214,ORL,IND,19,0,27:23,6,13,.462,1,4,.250,2,2,1.000,0,3,3,2,1,1,2,1,15,9.9,+19
17,299,18,2012-01-26,27-216,ORL,BOS,-8,0,16:28,2,6,.333,0,0,,3,3,1.000,0,2,2,2,0,0,1,2,7,3.8,-9
18,300,19,2012-01-27,27-217,ORL,NOH,-26,0,24:41,3,5,.600,3,5,.600,0,0,,0,2,2,2,1,0,3,2,9,5.9,-8
19,301,20,2012-01-29,27-219,ORL,IND,-21,0,21:21,3,7,.429,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,1,9,5.9,-20
20,302,21,2012-01-30,27-220,ORL,PHI,-5,1,31:12,3,13,.231,3,5,.600,1,1,1.000,1,4,5,2,1,0,1,1,10,5.0,-13
21,303,22,2012-02-01,27-222,ORL,WAS,6,1,28:27,5,7,.714,3,4,.750,8,8,1.000,0,2,2,2,0,0,2,0,21,18.1,+15
22,304,23,2012-02-03,27-224,ORL,CLE,8,0,22:59,0,5,.000,0,4,.000,0,0,,0,0,0,1,0,0,0,1,0,-3.2,-14
23,305,24,2012-02-04,27-225,ORL,IND,4,0,17:43,2,5,.400,2,2,1.000,1,1,1.000,0,4,4,2,0,2,3,0,7,5.3,-10
24,306,25,2012-02-06,27-227,ORL,LAC,-5,0,25:45,3,7,.429,2,4,.500,0,0,,0,0,0,3,0,0,1,1,8,5.0,-7
25,307,26,2012-02-08,27-229,ORL,MIA,13,0,16:07,4,10,.400,3,7,.429,0,0,,0,1,1,4,0,0,0,0,11,8.7,-4
26,308,27,2012-02-10,27-231,ORL,ATL,-2,0,17:18,1,6,.167,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,3,-0.6,0
27,309,28,2012-02-11,27-232,ORL,MIL,5,0,22:22,4,10,.400,1,5,.200,5,5,1.000,0,3,3,1,0,0,0,0,14,10.2,-14
28,310,29,2012-02-13,27-234,ORL,MIN,13,0,25:08,5,9,.556,2,5,.400,2,2,1.000,0,4,4,1,0,0,0,1,14,11.2,+6
29,311,30,2012-02-15,27-236,ORL,PHI,16,0,17:57,5,12,.417,2,3,.667,0,0,,0,1,1,1,0,0,1,0,12,5.6,-7
30,312,31,2012-02-17,27-238,ORL,MIL,9,0,29:44,5,13,.385,1,5,.200,0,0,,0,1,1,3,0,0,0,2,11,5.5,+19
31,313,32,2012-02-19,27-240,ORL,MIA,-12,1,34:00,6,10,.600,5,7,.714,0,0,,0,0,0,1,0,0,2,1,17,10.7,-19
32,314,33,2012-02-20,27-241,ORL,MIL,3,1,34:48,4,9,.444,2,5,.400,1,1,1.000,0,3,3,2,0,0,4,2,11,3.8,+4
33,315,34,2012-02-22,27-243,ORL,NJN,17,1,27:22,4,9,.444,4,7,.571,0,0,,0,3,3,6,0,0,1,1,12,11.0,+26
34,316,35,2012-02-23,27-244,ORL,ATL,-5,0,24:37,5,10,.500,2,4,.500,1,2,.500,1,1,2,1,1,0,0,1,13,9.9,-4
35,317,36,2012-02-29,27-250,ORL,WAS,7,0,18:04,5,8,.625,2,3,.667,3,3,1.000,1,0,1,0,0,0,0,2,15,11.3,+2
36,318,37,2012-03-01,27-251,ORL,OKC,-3,0,21:34,1,6,.167,0,2,.000,0,0,,1,1,2,5,0,0,2,3,2,-0.5,-5
37,319,38,2012-03-03,27-253,ORL,MIL,16,0,28:49,5,11,.455,2,4,.500,2,2,1.000,0,2,2,1,0,0,0,2,14,8.8,+4
38,320,39,2012-03-05,27-255,ORL,TOR,4,0,31:34,3,10,.300,3,4,.750,4,6,.667,1,1,2,6,0,1,0,2,13,11.5,+12
39,321,40,2012-03-06,27-256,ORL,CHA,-16,0,24:52,5,11,.455,4,7,.571,0,0,,1,3,4,3,0,0,2,5,14,8.0,-7
40,322,41,2012-03-08,27-258,ORL,CHI,5,0,19:23,2,4,.500,1,2,.500,4,6,.667,0,1,1,1,0,0,0,1,9,6.8,+3
41,323,42,2012-03-11,27-261,ORL,IND,13,1,31:45,7,14,.500,3,7,.429,1,1,1.000,0,3,3,9,0,0,0,1,18,17.8,+35
42,324,43,2012-03-13,27-263,ORL,MIA,6,1,43:23,4,10,.400,3,8,.375,6,7,.857,0,1,1,3,2,0,3,2,17,11.8,+26
43,325,44,2012-03-14,27-264,ORL,SAS,-11,1,33:48,3,8,.375,0,3,.000,0,0,,0,2,2,1,0,0,1,3,6,0.7,-11
44,326,45,2012-03-16,27-266,ORL,NJN,16,0,27:01,2,7,.286,1,5,.200,1,2,.500,0,4,4,2,1,0,1,2,6,3.3,-6
45,327,46,2012-03-18,27-268,ORL,MIA,-10,0,18:11,1,4,.250,0,1,.000,2,2,1.000,1,3,4,3,0,0,4,1,4,0.9,+2
46,328,47,2012-03-19,27-269,ORL,CHI,-26,0,20:11,1,7,.143,0,2,.000,1,2,.500,0,1,1,2,1,0,1,0,3,-0.2,-13
47,329,48,2012-03-21,27-271,ORL,PHO,10,0,23:37,4,8,.500,2,4,.500,0,0,,0,1,1,4,1,0,4,1,10,5.7,+10
48,330,49,2012-03-23,27-273,ORL,CLE,13,0,26:24,3,7,.429,2,3,.667,0,0,,0,2,2,4,0,0,0,2,8,6.9,+12
49,331,50,2012-03-26,27-276,ORL,TOR,16,0,22:29,5,8,.625,2,5,.400,0,0,,0,2,2,4,0,0,1,3,12,9.6,+3
50,332,51,2012-03-28,27-278,ORL,NYK,-22,0,25:44,5,8,.625,3,5,.600,2,3,.667,0,4,4,1,0,0,1,1,15,11.5,-12
51,333,52,2012-03-30,27-280,ORL,DAL,-2,0,25:12,0,6,.000,0,5,.000,2,3,.667,0,2,2,2,0,0,3,1,2,-4.0,-11
52,334,53,2012-04-01,27-282,ORL,DEN,-3,0,27:40,4,8,.500,2,3,.667,5,5,1.000,0,1,1,3,0,0,2,1,15,11.0,-5
53,335,54,2012-04-03,27-284,ORL,DET,-7,0,30:36,1,9,.111,0,4,.000,2,2,1.000,0,2,2,2,1,0,1,1,4,-0.3,-5
