,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,80,1,1994-11-05,24-284,CLE,CHH,8,1,35:00,4,8,.500,1,1,1.000,2,2,1.000,3,4,7,2,1,0,2,5,11,8.7,
1,81,2,1994-11-08,24-287,CLE,HOU,-2,1,41:00,7,12,.583,2,3,.667,2,4,.500,1,3,4,1,1,1,0,3,18,14.4,
2,82,3,1994-11-10,24-289,CLE,MIL,20,1,31:00,4,11,.364,0,2,.000,2,2,1.000,2,5,7,1,0,1,4,4,10,2.6,
3,83,4,1994-11-12,24-291,CLE,IND,-7,1,30:00,4,12,.333,1,5,.200,2,2,1.000,4,2,6,2,0,0,3,3,11,4.8,
4,84,5,1994-11-15,24-294,CLE,CHH,3,1,52:00,6,16,.375,1,3,.333,6,6,1.000,1,9,10,2,1,1,1,1,19,15.3,
5,85,6,1994-11-17,24-296,CLE,POR,1,1,26:00,2,4,.500,0,0,,1,2,.500,0,1,1,2,0,0,5,6,5,-3.1,
6,86,7,1994-11-18,24-297,CLE,LAL,-2,1,30:00,6,14,.429,1,3,.333,1,2,.500,5,1,6,0,0,0,1,4,14,7.4,
7,87,8,1994-11-20,24-299,CLE,SAC,-8,1,36:00,5,9,.556,0,2,.000,4,4,1.000,1,1,2,1,3,0,1,5,14,11.4,
8,88,9,1994-11-22,24-301,CLE,MIN,33,1,27:00,6,12,.500,1,3,.333,2,2,1.000,3,0,3,3,2,2,0,1,15,16.2,
9,89,10,1994-11-23,24-302,CLE,MIA,-13,1,34:00,7,11,.636,3,5,.600,0,2,.000,1,2,3,2,0,0,2,3,17,10.8,
10,90,11,1994-11-25,24-304,CLE,WSB,2,1,32:00,3,12,.250,1,2,.500,5,6,.833,3,5,8,1,0,0,1,5,12,5.7,
11,91,12,1994-11-26,24-305,CLE,GSW,14,1,36:00,5,14,.357,2,7,.286,0,0,,0,3,3,3,1,2,2,2,12,6.8,
12,92,13,1994-11-30,24-309,CLE,LAL,38,1,31:00,3,9,.333,0,1,.000,1,2,.500,3,3,6,0,0,0,3,2,7,0.7,
13,93,14,1994-12-01,24-310,CLE,MIL,6,1,29:00,6,9,.667,2,4,.500,1,2,.500,0,1,1,2,1,0,2,5,15,9.4,
14,94,15,1994-12-03,24-312,CLE,PHI,-5,1,35:00,4,14,.286,2,5,.400,3,4,.750,1,10,11,2,0,0,2,4,13,5.9,
15,95,16,1994-12-06,24-315,CLE,ORL,-17,1,35:00,5,15,.333,0,0,,2,2,1.000,4,2,6,1,0,2,0,1,12,8.6,
