,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,685,1,1995-11-03,32-259,CHI,CHH,14,1,39:00,16,29,.552,3,7,.429,7,9,.778,1,5,6,7,0,0,1,4,42,31.8,
1,686,2,1995-11-04,32-260,CHI,BOS,22,1,21:00,5,12,.417,0,1,.000,5,7,.714,0,0,0,3,3,1,0,4,15,12.0,
2,687,3,1995-11-07,32-263,CHI,TOR,9,1,40:00,13,19,.684,3,4,.750,9,9,1.000,1,3,4,5,4,0,1,2,38,37.2,
3,688,4,1995-11-09,32-265,CHI,CLE,18,1,37:00,12,24,.500,4,8,.500,1,2,.500,0,5,5,3,0,0,3,3,29,16.0,
4,689,5,1995-11-11,32-267,CHI,POR,4,1,40:00,11,23,.478,0,2,.000,14,15,.933,2,1,3,7,1,1,3,3,36,28.0,
5,690,6,1995-11-14,32-270,CHI,ORL,-6,1,40:00,8,20,.400,3,7,.429,4,5,.800,2,5,7,6,2,0,2,4,23,17.3,
6,691,7,1995-11-15,32-271,CHI,CLE,19,1,29:00,7,10,.700,1,2,.500,5,7,.714,1,6,7,2,1,0,1,2,20,18.1,
7,692,8,1995-11-17,32-273,CHI,NJN,15,1,35:00,7,16,.438,0,1,.000,4,4,1.000,1,2,3,3,4,0,5,3,18,10.8,
8,693,9,1995-11-21,32-277,CHI,DAL,6,1,45:00,12,25,.480,0,2,.000,12,13,.923,0,8,8,5,2,2,0,3,36,31.0,
9,694,10,1995-11-22,32-278,CHI,SAS,9,1,43:00,15,27,.556,1,1,1.000,7,8,.875,2,7,9,2,4,0,5,5,38,26.6,
10,695,11,1995-11-24,32-280,CHI,UTA,5,1,40:00,9,21,.429,2,5,.400,14,17,.824,0,8,8,6,1,0,4,3,34,24.1,
11,696,12,1995-11-26,32-282,CHI,SEA,-5,1,40:00,6,19,.316,0,4,.000,10,11,.909,2,3,5,4,2,0,4,1,22,13.4,
12,697,13,1995-11-27,32-283,CHI,POR,3,1,41:00,13,22,.591,0,3,.000,7,8,.875,1,2,3,8,4,0,4,3,33,28.1,
13,698,14,1995-11-30,32-286,CHI,VAN,6,1,39:00,14,26,.538,0,2,.000,1,2,.500,1,2,3,4,3,0,2,1,29,20.7,
14,699,15,1995-12-02,32-288,CHI,LAC,6,1,43:00,13,22,.591,0,2,.000,11,14,.786,5,6,11,5,4,1,2,3,37,35.9,
15,700,16,1995-12-06,32-292,CHI,NYK,7,1,45:00,8,27,.296,0,0,,6,6,1.000,0,3,3,8,0,0,0,3,22,11.6,
16,701,17,1995-12-08,32-294,CHI,SAS,19,1,36:00,11,23,.478,0,1,.000,6,6,1.000,1,4,5,6,3,1,1,4,28,23.5,
17,702,18,1995-12-09,32-295,CHI,MIL,12,1,42:00,16,28,.571,0,0,,13,16,.813,3,2,5,4,2,0,2,3,45,34.9,
18,703,19,1995-12-13,32-299,CHI,ORL,9,1,43:00,15,30,.500,4,7,.571,2,6,.333,3,3,6,2,2,1,4,3,36,21.3,
19,704,20,1995-12-14,32-300,CHI,ATL,19,1,31:00,8,16,.500,1,4,.250,5,5,1.000,1,2,3,1,0,0,3,3,22,11.8,
20,705,21,1995-12-16,32-302,CHI,LAL,20,1,38:00,5,20,.250,0,1,.000,10,10,1.000,2,5,7,6,5,1,3,2,20,17.0,
21,706,22,1995-12-18,32-304,CHI,BOS,9,1,40:00,16,27,.593,0,1,.000,5,8,.625,0,6,6,3,5,0,2,2,37,29.4,
22,707,23,1995-12-19,32-305,CHI,DAL,13,1,36:00,12,23,.522,0,1,.000,8,8,1.000,1,3,4,4,1,0,0,1,32,25.7,
23,708,24,1995-12-22,32-308,CHI,TOR,9,1,40:00,9,19,.474,2,3,.667,7,7,1.000,3,7,10,5,3,0,2,1,27,25.6,
24,709,25,1995-12-23,32-309,CHI,UTA,14,1,37:00,12,22,.545,1,2,.500,5,5,1.000,1,6,7,8,3,1,2,2,30,28.4,
25,710,26,1995-12-26,32-312,CHI,IND,-6,1,43:00,11,28,.393,1,2,.500,7,9,.778,2,8,10,4,1,2,2,3,30,19.8,
