,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,428,1,1990-11-02,27-258,CHI,PHI,-8,1,34:00,14,24,.583,1,3,.333,5,5,1.000,3,2,5,7,7,0,5,4,34,30.8,
1,429,2,1990-11-03,27-259,CHI,WSB,-1,1,46:00,11,22,.500,0,0,,6,9,.667,4,6,10,1,1,0,2,2,28,19.3,
2,430,3,1990-11-06,27-262,CHI,BOS,-2,1,45:00,14,28,.500,0,1,.000,5,6,.833,3,5,8,12,3,0,2,4,33,30.0,
3,431,4,1990-11-07,27-263,CHI,MIN,5,1,39:00,7,14,.500,0,0,,3,5,.600,2,3,5,6,0,1,1,5,17,13.4,
4,432,5,1990-11-09,27-265,CHI,BOS,20,1,34:00,17,25,.680,0,1,.000,7,8,.875,1,4,5,6,2,0,3,3,41,33.8,
5,433,6,1990-11-10,27-266,CHI,CHH,19,1,36:00,8,15,.533,0,0,,7,8,.875,1,5,6,8,3,0,3,1,23,22.7,
6,434,7,1990-11-13,27-269,CHI,UTA,2,1,38:00,10,22,.455,1,1,1.000,8,10,.800,3,8,11,5,1,2,1,1,29,25.8,
7,435,8,1990-11-15,27-271,CHI,GSW,-10,1,38:00,6,12,.500,0,1,.000,2,3,.667,2,6,8,6,1,1,2,4,14,13.1,
8,436,9,1990-11-17,27-273,CHI,SEA,21,1,27:00,13,20,.650,0,0,,7,8,.875,1,3,4,3,7,1,1,0,33,34.2,
9,437,10,1990-11-18,27-274,CHI,POR,-13,1,41:00,12,25,.480,0,2,.000,5,6,.833,0,5,5,7,1,1,2,4,29,20.4,
10,438,11,1990-11-21,27-277,CHI,PHO,-2,1,40:00,15,32,.469,0,0,,4,4,1.000,0,4,4,4,4,0,3,1,34,22.2,
11,439,12,1990-11-23,27-279,CHI,LAC,8,1,31:00,5,12,.417,0,0,,4,4,1.000,3,3,6,7,3,0,2,3,14,15.3,
12,440,13,1990-11-24,27-280,CHI,DEN,6,1,40:00,14,24,.583,0,0,,10,10,1.000,1,6,7,12,3,1,3,3,38,37.2,
13,441,14,1990-11-28,27-284,CHI,WSB,24,1,27:00,11,15,.733,0,0,,2,3,.667,0,2,2,7,3,1,1,2,24,24.9,
14,442,15,1990-11-30,27-286,CHI,IND,29,1,33:00,15,19,.789,0,0,,7,9,.778,1,4,5,3,2,2,1,4,37,33.7,
15,443,16,1990-12-01,27-287,CHI,CLE,35,1,30:00,13,18,.722,1,1,1.000,5,6,.833,0,2,2,4,2,0,1,2,32,27.8,
16,444,17,1990-12-04,27-290,CHI,PHO,28,1,35:00,12,22,.545,0,0,,3,3,1.000,1,3,4,7,0,1,2,5,27,19.6,
17,445,18,1990-12-07,27-293,CHI,NYK,10,1,39:00,14,25,.560,0,2,.000,5,7,.714,4,3,7,9,8,1,2,3,33,35.8,
18,446,19,1990-12-08,27-294,CHI,POR,-8,1,40:00,16,28,.571,0,2,.000,3,4,.750,0,6,6,3,2,2,5,3,35,22.5,
19,447,20,1990-12-11,27-297,CHI,MIL,-12,1,39:00,13,23,.565,0,0,,5,7,.714,0,4,4,5,3,1,4,2,31,22.9,
20,448,21,1990-12-14,27-300,CHI,LAC,40,1,30:00,8,15,.533,0,0,,4,6,.667,2,6,8,8,1,2,3,3,20,18.9,
21,449,22,1990-12-15,27-301,CHI,CLE,18,1,27:00,11,17,.647,0,0,,2,2,1.000,5,4,9,6,5,3,2,1,24,30.1,
22,450,23,1990-12-18,27-304,CHI,MIA,9,1,36:00,14,22,.636,0,0,,11,12,.917,3,6,9,6,6,2,2,2,39,41.5,
