,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,123,1,2012-04-29,34-276,SAS,UTA,15,0,25:07,3,10,.300,0,2,.000,1,2,.500,1,2,3,4,2,0,3,1,7,3.5,+17
1,124,2,2012-05-02,34-279,SAS,UTA,31,0,18:50,2,6,.333,0,4,.000,0,0,,0,2,2,3,2,1,4,0,4,2.0,+2
2,125,3,2012-05-05,34-282,SAS,UTA,12,0,28:01,2,6,.333,0,2,.000,2,2,1.000,0,5,5,10,0,1,1,2,6,10.0,+9
3,126,4,2012-05-07,34-284,SAS,UTA,6,0,26:43,6,11,.545,3,6,.500,2,4,.500,0,4,4,1,0,0,3,2,17,9.0,-2
4,127,5,2012-05-15,34-292,SAS,LAC,16,0,26:54,6,13,.462,3,8,.375,7,8,.875,0,3,3,3,0,0,2,3,22,14.7,+12
5,128,6,2012-05-17,34-294,SAS,LAC,17,0,25:49,3,11,.273,2,7,.286,2,2,1.000,1,2,3,5,1,1,0,2,10,9.2,+4
6,129,7,2012-05-19,34-296,SAS,LAC,10,0,29:47,4,9,.444,1,3,.333,4,5,.800,1,3,4,6,0,1,3,2,13,10.6,-3
7,130,8,2012-05-20,34-297,SAS,LAC,3,0,29:15,4,9,.444,0,3,.000,3,4,.750,0,2,2,4,1,0,3,0,11,7.3,-3
8,131,9,2012-05-27,34-304,SAS,OKC,3,0,34:03,9,14,.643,3,5,.600,5,5,1.000,1,4,5,3,1,0,3,3,26,20.6,+8
9,132,10,2012-05-29,34-306,SAS,OKC,9,0,25:43,6,11,.545,1,5,.200,7,8,.875,1,0,1,4,0,0,2,4,20,14.2,-3
10,133,11,2012-05-31,34-308,SAS,OKC,-20,0,20:53,1,5,.200,1,2,.500,5,5,1.000,1,5,6,1,0,0,4,2,8,3.0,-4
11,134,12,2012-06-02,34-310,SAS,OKC,-6,0,24:43,4,7,.571,2,3,.667,3,3,1.000,0,0,0,4,1,0,6,6,13,5.1,-10
12,135,13,2012-06-04,34-312,SAS,OKC,-5,1,38:26,11,21,.524,5,10,.500,7,8,.875,2,4,6,7,2,0,5,4,34,26.2,+13
13,136,14,2012-06-06,34-314,SAS,OKC,-8,1,35:49,4,12,.333,2,8,.250,0,0,,0,5,5,1,0,0,3,5,10,0.4,-14
