,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,137,1,2013-04-21,35-267,SAS,LAL,12,0,18:53,6,13,.462,3,5,.600,3,3,1.000,0,2,2,3,2,0,3,2,18,12.2,+19
1,138,2,2013-04-24,35-270,SAS,LAL,11,0,19:00,4,7,.571,3,4,.750,2,4,.500,0,5,5,7,1,1,1,0,13,16.0,+19
2,139,3,2013-04-26,35-272,SAS,LAL,31,0,20:08,2,4,.500,1,2,.500,1,1,1.000,0,2,2,3,3,0,2,0,6,7.7,+6
3,140,4,2013-04-28,35-274,SAS,LAL,21,0,20:05,2,6,.333,0,3,.000,4,6,.667,0,3,3,6,1,1,2,2,8,7.8,+9
4,141,5,2013-05-06,35-282,SAS,GSW,2,0,36:00,5,20,.250,2,9,.222,4,5,.800,2,5,7,11,1,0,4,3,16,10.0,+17
5,142,6,2013-05-08,35-284,SAS,GSW,-9,0,27:58,5,12,.417,1,6,.167,1,2,.500,1,2,3,4,2,0,2,3,12,8.1,-7
6,143,7,2013-05-10,35-286,SAS,GSW,10,0,27:47,4,11,.364,1,8,.125,3,3,1.000,0,5,5,4,2,0,2,2,12,9.4,+13
7,144,8,2013-05-12,35-288,SAS,GSW,-10,0,36:47,8,18,.444,5,10,.500,0,2,.000,0,4,4,3,3,2,2,2,21,15.7,0
8,145,9,2013-05-14,35-290,SAS,GSW,18,0,24:50,3,9,.333,2,4,.500,2,4,.500,1,4,5,5,1,0,3,1,10,7.1,+17
9,146,10,2013-05-16,35-292,SAS,GSW,12,0,24:16,1,6,.167,0,3,.000,3,4,.750,0,6,6,11,1,0,2,2,5,8.5,+10
10,147,11,2013-05-19,35-295,SAS,MEM,22,0,21:06,2,6,.333,1,3,.333,3,5,.600,1,4,5,3,1,1,1,2,8,7.7,+2
11,148,12,2013-05-21,35-297,SAS,MEM,4,0,29:11,3,6,.500,1,3,.333,0,0,,0,3,3,4,0,1,2,2,7,5.6,+2
12,149,13,2013-05-25,35-301,SAS,MEM,11,0,29:42,5,9,.556,2,5,.400,7,8,.875,3,4,7,5,1,0,1,4,19,19.5,+13
13,150,14,2013-05-27,35-303,SAS,MEM,7,0,25:09,1,6,.167,0,3,.000,4,5,.800,0,6,6,6,0,0,6,4,6,0.2,+8
14,151,15,2013-06-06,35-313,SAS,MIA,4,0,29:31,4,11,.364,2,5,.400,3,4,.750,0,0,0,3,2,0,1,2,13,8.8,+3
15,152,16,2013-06-09,35-316,SAS,MIA,-19,0,17:52,2,6,.333,1,4,.250,0,0,,0,2,2,1,1,0,3,3,5,-0.3,-23
16,153,17,2013-06-11,35-318,SAS,MIA,36,0,23:24,3,7,.429,0,4,.000,1,2,.500,0,2,2,6,0,0,2,2,7,4.9,+6
17,154,18,2013-06-13,35-320,SAS,MIA,-16,0,25:52,1,5,.200,0,3,.000,3,4,.750,0,2,2,2,0,0,1,4,5,0.9,-22
18,155,19,2013-06-16,35-323,SAS,MIA,10,1,33:00,8,14,.571,1,4,.250,7,8,.875,0,2,2,10,1,0,3,4,24,21.0,+19
19,156,20,2013-06-18,35-325,SAS,MIA,-3,1,34:41,2,5,.400,1,3,.333,4,6,.667,1,3,4,3,1,0,8,4,9,0.6,-21
20,157,21,2013-06-20,35-327,SAS,MIA,-7,1,35:05,6,12,.500,2,5,.400,4,4,1.000,0,3,3,5,0,0,4,4,18,10.8,+6
