,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,71,1,2007-04-22,29-268,SAS,DEN,-6,0,30:56,4,15,.267,1,5,.200,0,0,,3,4,7,2,0,0,2,2,9,2.0,-6
1,72,2,2007-04-25,29-271,SAS,DEN,9,0,29:02,6,12,.500,1,3,.333,4,4,1.000,1,3,4,4,0,0,2,1,17,13.0,+2
2,73,3,2007-04-28,29-274,SAS,DEN,5,0,30:35,4,9,.444,1,4,.250,10,11,.909,1,6,7,5,1,0,2,4,19,17.3,+15
3,74,4,2007-04-30,29-276,SAS,DEN,7,0,30:54,5,15,.333,3,8,.375,5,5,1.000,0,5,5,6,5,0,4,2,18,15.4,+4
4,75,5,2007-05-02,29-278,SAS,DEN,15,0,17:03,1,8,.125,0,3,.000,2,2,1.000,1,1,2,2,0,0,1,3,4,-1.0,+2
5,76,6,2007-05-06,29-282,SAS,PHO,5,0,28:51,2,9,.222,1,3,.333,3,6,.500,1,8,9,4,0,0,0,4,8,5.6,-6
6,77,7,2007-05-08,29-284,SAS,PHO,-20,0,27:30,3,9,.333,0,2,.000,0,0,,1,4,5,5,3,0,2,1,6,6.9,-4
7,78,8,2007-05-12,29-288,SAS,PHO,7,0,32:00,8,19,.421,1,3,.333,7,7,1.000,0,2,2,4,3,1,1,4,24,18.4,-2
8,79,9,2007-05-14,29-290,SAS,PHO,-6,0,34:32,3,14,.214,2,7,.286,2,2,1.000,0,4,4,4,3,0,0,3,10,7.2,-4
9,80,10,2007-05-16,29-292,SAS,PHO,3,0,38:01,7,15,.467,3,8,.375,9,9,1.000,1,9,10,3,2,1,5,4,26,19.9,+2
10,81,11,2007-05-18,29-294,SAS,PHO,8,0,35:53,11,17,.647,4,7,.571,7,9,.778,4,7,11,6,4,0,3,4,33,33.2,+12
11,82,12,2007-05-20,29-296,SAS,UTA,8,0,33:20,9,14,.643,2,3,.667,3,6,.500,0,4,4,10,1,1,2,4,23,21.9,+17
12,83,13,2007-05-22,29-298,SAS,UTA,9,0,30:10,6,12,.500,3,7,.429,2,2,1.000,1,3,4,3,2,1,5,4,17,10.8,0
13,84,14,2007-05-26,29-302,SAS,UTA,-26,0,30:25,4,12,.333,2,5,.400,4,6,.667,0,1,1,4,1,0,1,1,14,9.1,-18
14,85,15,2007-05-28,29-304,SAS,UTA,12,0,34:57,4,10,.400,2,4,.500,12,15,.800,1,5,6,1,3,0,1,3,22,19.1,+16
15,86,16,2007-05-30,29-306,SAS,UTA,25,0,20:56,4,8,.500,2,4,.500,2,2,1.000,0,5,5,1,0,0,2,2,12,7.4,+14
16,87,17,2007-06-07,29-314,SAS,CLE,9,0,28:23,5,12,.417,3,5,.600,3,4,.750,0,8,8,0,1,0,2,3,16,9.4,+9
17,88,18,2007-06-10,29-317,SAS,CLE,11,0,28:07,5,11,.455,4,6,.667,11,11,1.000,0,6,6,2,3,0,3,5,25,20.5,+17
18,89,19,2007-06-12,29-319,SAS,CLE,3,0,27:11,0,7,.000,0,3,.000,3,4,.750,0,4,4,5,0,0,3,2,3,-1.4,+7
19,90,20,2007-06-14,29-321,SAS,CLE,1,0,33:26,8,19,.421,3,9,.333,8,11,.727,1,4,5,3,1,0,1,5,27,17.7,+13
