,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2012-10-30,19-124,WAS,CLE,-10,1,21:33,2,8,.250,2,4,.500,2,2,1.000,0,3,3,3,1,0,2,1,8,4.8,-16
1,2,2,2012-11-03,19-128,WAS,BOS,-3,1,21:52,0,5,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,-0.5,-18
2,3,3,2012-11-07,19-132,WAS,BOS,-6,1,38:19,6,15,.400,3,8,.375,1,1,1.000,0,4,4,3,1,1,2,4,16,9.3,+6
3,4,4,2012-11-09,19-134,WAS,MIL,-10,1,34:28,7,14,.500,0,4,.000,8,8,1.000,1,3,4,2,2,0,3,2,22,16.2,+6
4,5,5,2012-11-10,19-135,WAS,IND,-4,1,35:15,6,11,.545,3,3,1.000,2,3,.667,1,5,6,2,1,1,3,1,17,13.2,+3
5,6,6,2012-11-13,19-138,WAS,CHA,-16,1,22:17,1,11,.091,1,6,.167,5,5,1.000,2,1,3,0,1,0,1,3,8,1.2,-2
6,7,7,2012-11-14,19-139,WAS,DAL,-6,1,27:38,3,14,.214,2,6,.333,0,0,,1,0,1,2,1,0,0,2,8,1.7,-17
7,8,8,2012-11-17,19-142,WAS,UTA,-7,0,13:04,3,6,.500,0,0,,0,0,,0,1,1,0,0,0,2,0,6,1.3,-9
8,9,9,2012-11-19,19-144,WAS,IND,-7,0,29:53,4,12,.333,3,6,.500,7,9,.778,0,2,2,1,1,2,2,1,18,11.7,+4
9,10,10,2012-11-21,19-146,WAS,ATL,-1,1,26:09,3,8,.375,0,3,.000,0,0,,3,2,5,4,1,1,5,6,6,1.4,-2
10,11,11,2012-11-24,19-149,WAS,CHA,-2,1,39:34,3,12,.250,3,9,.333,4,4,1.000,2,8,10,5,0,2,1,1,13,13.1,-20
11,12,12,2012-11-26,19-151,WAS,SAS,-26,1,30:24,4,13,.308,0,1,.000,3,4,.750,0,3,3,1,2,0,0,0,11,6.7,-9
12,13,13,2012-11-28,19-153,WAS,POR,2,1,16:18,2,6,.333,1,2,.500,0,0,,0,0,0,0,0,0,2,0,5,-0.4,-3
13,14,14,2012-11-30,19-155,WAS,NYK,-21,1,31:20,5,11,.455,2,5,.400,2,4,.500,0,3,3,0,0,0,2,0,14,6.4,-9
14,15,15,2012-12-04,19-159,WAS,MIA,4,1,16:56,5,11,.455,0,3,.000,0,0,,0,2,2,3,0,1,0,3,10,6.5,-3
15,16,16,2012-12-07,19-162,WAS,ATL,-9,1,28:04,5,12,.417,2,4,.500,6,6,1.000,0,3,3,3,2,1,1,2,18,15.5,-7
16,17,17,2012-12-08,19-163,WAS,GSW,-4,1,40:26,6,17,.353,1,6,.167,4,6,.667,1,5,6,6,2,1,1,1,17,14.4,-3
17,18,18,2012-12-11,19-166,WAS,NOH,7,1,38:33,6,12,.500,1,4,.250,2,2,1.000,1,6,7,4,1,0,1,2,15,13.5,+2
18,19,19,2012-12-12,19-167,WAS,HOU,-6,1,37:57,6,15,.400,3,7,.429,5,6,.833,0,4,4,5,2,0,3,6,20,12.8,-8
19,20,20,2012-12-14,19-169,WAS,LAL,-6,1,21:53,2,7,.286,0,3,.000,0,0,,0,4,4,1,1,0,3,5,4,-2.2,-19
20,21,21,2012-12-15,19-170,WAS,MIA,-30,1,37:32,6,18,.333,2,6,.333,5,6,.833,0,3,3,0,1,0,3,1,19,6.9,-38
21,22,22,2012-12-18,19-173,WAS,ATL,-5,1,40:12,8,22,.364,0,3,.000,1,2,.500,3,2,5,4,2,0,1,4,17,9.3,-1
22,23,25,2012-12-22,19-177,WAS,DET,-9,1,43:51,7,17,.412,0,5,.000,0,0,,1,4,5,4,0,0,0,2,14,8.8,-16
23,24,26,2012-12-26,19-181,WAS,CLE,-3,1,21:20,0,5,.000,0,2,.000,2,2,1.000,0,2,2,4,0,0,1,0,2,0.9,+5
24,25,27,2012-12-28,19-183,WAS,ORL,8,1,30:30,4,12,.333,0,3,.000,3,3,1.000,0,1,1,4,1,1,0,1,11,8.6,+1
25,26,28,2012-12-29,19-184,WAS,CHI,-10,1,33:51,5,15,.333,0,3,.000,4,4,1.000,1,4,5,3,1,0,3,2,14,6.7,-10
26,27,29,2013-01-01,19-187,WAS,DAL,-9,1,35:06,7,16,.438,4,7,.571,4,7,.571,2,2,4,2,0,1,2,2,22,13.7,-18
27,28,30,2013-01-02,19-188,WAS,IND,-8,1,28:08,6,15,.400,2,4,.500,0,0,,0,2,2,3,0,1,0,2,14,8.5,-8
28,29,31,2013-01-04,19-190,WAS,BRK,-2,1,47:36,10,19,.526,2,4,.500,2,2,1.000,1,5,6,4,3,1,1,3,24,21.2,+3
29,30,32,2013-01-06,19-192,WAS,MIA,-28,1,34:16,4,14,.286,1,3,.333,0,3,.000,0,3,3,4,2,0,1,1,9,3.9,-24
30,31,33,2013-01-07,19-193,WAS,OKC,2,1,44:46,7,17,.412,5,7,.714,3,3,1.000,0,5,5,4,1,0,2,1,22,15.8,+4
31,32,34,2013-01-12,19-198,WAS,ATL,10,1,39:40,6,16,.375,1,3,.333,3,4,.750,1,3,4,2,3,0,2,2,16,10.0,+19
32,33,35,2013-01-14,19-200,WAS,ORL,29,1,29:42,7,10,.700,1,1,1.000,2,2,1.000,1,1,2,2,1,0,2,2,17,13.4,+9
33,34,36,2013-01-16,19-202,WAS,SAC,-1,1,40:49,9,14,.643,6,7,.857,2,2,1.000,1,2,3,6,1,1,1,2,26,25.2,+2
34,35,37,2013-01-18,19-204,WAS,DEN,4,1,32:06,8,13,.615,4,7,.571,3,5,.600,2,1,3,4,0,1,3,2,23,17.7,-6
35,36,38,2013-01-19,19-205,WAS,LAC,-7,1,32:00,5,11,.455,3,5,.600,0,0,,0,1,1,0,1,0,1,3,13,6.4,-7
36,37,39,2013-01-21,19-207,WAS,POR,3,1,25:49,1,7,.143,0,2,.000,0,0,,1,4,5,1,0,0,2,2,2,-2.7,+12
37,38,40,2013-01-23,19-209,WAS,UTA,-4,1,25:16,5,11,.455,0,3,.000,2,6,.333,0,2,2,2,1,0,1,1,12,6.3,+7
38,39,41,2013-01-25,19-211,WAS,MIN,13,1,25:15,6,11,.545,2,5,.400,2,2,1.000,0,1,1,0,0,4,1,0,16,12.8,+24
39,40,42,2013-01-26,19-212,WAS,CHI,13,1,29:10,2,10,.200,0,3,.000,0,1,.000,0,0,0,1,0,0,0,1,4,-2.3,+16
40,41,43,2013-01-28,19-214,WAS,SAC,-2,1,24:26,2,6,.333,1,2,.500,1,1,1.000,0,1,1,3,0,0,1,4,6,2.4,+3
41,42,49,2013-02-08,19-225,WAS,BRK,15,0,17:38,1,5,.200,1,2,.500,0,0,,1,3,4,1,0,0,3,0,3,-0.8,+2
42,43,50,2013-02-11,19-228,WAS,MIL,12,0,36:16,10,17,.588,4,5,.800,4,4,1.000,0,4,4,2,2,2,2,0,28,24.1,+27
43,44,51,2013-02-13,19-230,WAS,DET,-11,0,34:28,5,13,.385,0,3,.000,0,0,,0,0,0,3,0,0,1,3,10,2.8,-14
44,45,52,2013-02-19,19-236,WAS,TOR,-8,1,33:01,9,19,.474,3,6,.500,4,6,.667,2,2,4,1,0,0,0,1,25,16.8,-10
45,46,53,2013-02-22,19-239,WAS,DEN,6,1,37:57,3,8,.375,2,5,.400,9,11,.818,3,9,12,4,2,2,3,3,17,18.6,+12
46,47,54,2013-02-23,19-240,WAS,HOU,2,1,37:04,7,15,.467,2,4,.500,5,6,.833,4,1,5,4,2,1,1,3,21,19.3,+6
47,48,55,2013-02-25,19-242,WAS,TOR,6,1,39:01,8,13,.615,2,3,.667,2,2,1.000,0,6,6,2,1,0,2,5,20,14.3,+11
48,49,56,2013-02-27,19-244,WAS,DET,-1,1,42:36,8,16,.500,0,5,.000,0,0,,0,6,6,1,3,1,1,3,16,12.0,-11
49,50,57,2013-03-01,19-246,WAS,NYK,-8,1,39:21,10,21,.476,4,7,.571,5,7,.714,2,9,11,2,0,0,1,2,29,21.2,-4
50,51,58,2013-03-03,19-248,WAS,PHI,3,1,36:44,6,12,.500,2,3,.667,0,0,,1,3,4,3,0,2,2,4,14,9.5,+3
51,52,65,2013-03-16,19-261,WAS,PHO,22,0,20:51,5,10,.500,3,4,.750,0,0,,1,5,6,1,1,1,2,3,13,9.4,+8
52,53,66,2013-03-18,19-263,WAS,CHA,-5,0,19:45,2,8,.250,0,3,.000,1,2,.500,1,1,2,4,1,0,2,5,5,0.6,-3
53,54,67,2013-03-20,19-265,WAS,PHO,9,0,18:58,3,6,.500,0,2,.000,0,0,,0,5,5,1,0,0,4,1,6,0.8,+7
54,55,73,2013-03-31,19-276,WAS,TOR,17,0,30:10,8,14,.571,6,9,.667,2,2,1.000,1,1,2,4,0,0,2,1,24,18.8,+11
55,56,74,2013-04-02,19-278,WAS,CHI,4,0,27:31,3,11,.273,1,4,.250,1,2,.500,1,4,5,1,1,0,2,1,8,2.3,+10
