,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,317,1,2007-10-31,22-305,CLE,DAL,-18,1,36:09,2,11,.182,0,2,.000,6,10,.600,1,4,5,4,1,0,5,4,10,0.6,-12
1,318,2,2007-11-02,22-307,CLE,NYK,4,1,44:25,13,28,.464,3,5,.600,16,22,.727,3,4,7,7,3,1,3,1,45,36.7,+4
2,319,3,2007-11-04,22-309,CLE,PHO,-11,1,43:13,11,26,.423,3,5,.600,2,2,1.000,1,4,5,8,2,4,3,0,27,22.5,-18
3,320,4,2007-11-06,22-311,CLE,GSW,4,1,41:51,9,16,.563,1,2,.500,5,7,.714,1,12,13,9,0,3,2,1,24,25.9,+4
4,321,5,2007-11-07,22-312,CLE,UTA,-2,1,40:45,12,27,.444,1,4,.250,7,15,.467,2,13,15,13,3,2,4,4,32,27.9,+4
5,322,6,2007-11-09,22-314,CLE,SAC,2,1,43:51,10,19,.526,0,2,.000,6,8,.750,0,4,4,4,1,1,1,1,26,20.2,-1
6,323,7,2007-11-11,22-316,CLE,LAC,8,1,35:55,9,21,.429,0,2,.000,4,8,.500,1,4,5,8,6,1,5,3,22,17.3,+11
7,324,8,2007-11-12,22-317,CLE,DEN,-22,1,33:47,9,16,.563,1,3,.333,8,14,.571,0,1,1,4,2,0,4,3,27,16.9,-13
8,325,9,2007-11-14,22-319,CLE,ORL,-1,1,47:14,15,27,.556,2,4,.500,7,9,.778,4,9,13,14,0,2,4,1,39,37.6,+2
9,326,10,2007-11-16,22-321,CLE,UTA,5,1,40:16,13,27,.481,1,3,.333,13,15,.867,2,8,10,9,0,3,5,3,40,31.5,+13
10,327,11,2007-11-20,22-325,CLE,MIL,-4,1,44:06,11,22,.500,1,7,.143,11,12,.917,0,7,7,7,1,1,3,4,34,26.7,-2
11,328,12,2007-11-21,22-326,CLE,MIN,11,1,39:03,17,26,.654,6,10,.600,5,8,.625,2,6,8,5,3,2,3,2,45,39.7,+14
12,329,13,2007-11-24,22-329,CLE,TOR,3,1,44:41,14,29,.483,2,8,.250,7,8,.875,3,9,12,12,3,1,4,3,37,33.6,+7
13,330,14,2007-11-25,22-330,CLE,IND,5,1,35:47,10,21,.476,1,6,.167,9,15,.600,3,8,11,10,4,1,2,1,30,30.7,+9
14,331,15,2007-11-27,22-332,CLE,BOS,5,1,45:46,11,25,.440,2,8,.250,14,15,.933,0,4,4,13,2,2,3,2,38,34.4,+14
15,332,16,2007-11-28,22-333,CLE,DET,-35,1,19:31,5,11,.455,0,2,.000,5,9,.556,0,1,1,3,0,0,0,1,15,9.7,-2
16,333,17,2007-12-11,22-346,CLE,IND,13,0,22:37,5,9,.556,0,1,.000,7,10,.700,1,2,3,5,1,1,4,2,17,13.2,+27
17,334,18,2007-12-14,22-349,CLE,NJN,-8,1,41:09,12,25,.480,3,9,.333,2,3,.667,0,6,6,8,2,0,6,3,29,18.1,+6
18,335,19,2007-12-15,22-350,CLE,PHI,-6,1,41:46,10,18,.556,0,1,.000,1,1,1.000,0,6,6,6,0,1,3,1,21,15.7,+5
19,336,20,2007-12-17,22-352,CLE,MIL,5,1,50:13,10,25,.400,0,5,.000,11,13,.846,1,7,8,5,1,0,2,3,31,20.8,+6
20,337,21,2007-12-19,22-354,CLE,NYK,-18,1,36:52,12,21,.571,3,6,.500,5,6,.833,1,7,8,6,6,0,4,1,32,30.3,-9
21,338,22,2007-12-20,22-355,CLE,LAL,4,1,38:28,12,29,.414,0,3,.000,9,11,.818,4,6,10,5,1,1,3,3,33,22.3,-7
22,339,23,2007-12-23,22-358,CLE,GSW,-9,1,40:51,8,20,.400,0,2,.000,9,13,.692,2,3,5,8,1,1,3,2,25,18.4,-12
23,340,24,2007-12-25,22-360,CLE,MIA,14,1,38:36,9,19,.474,0,3,.000,7,11,.636,0,6,6,12,1,1,2,3,25,22.4,+18
24,341,25,2007-12-27,22-362,CLE,DAL,7,1,36:19,9,21,.429,1,4,.250,5,10,.500,4,4,8,7,3,0,3,5,24,17.8,+5
25,342,26,2007-12-29,22-364,CLE,NOH,-10,1,42:21,8,21,.381,1,4,.250,4,6,.667,2,3,5,6,1,0,4,1,21,11.8,-18
26,343,27,2008-01-02,23-003,CLE,ATL,4,1,40:05,13,22,.591,1,3,.333,9,11,.818,1,4,5,6,2,1,2,1,36,31.4,+7
27,344,28,2008-01-04,23-005,CLE,SAC,4,1,45:21,7,18,.389,1,6,.167,9,12,.750,1,7,8,10,5,1,3,1,24,25.1,+7
