,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,200,1,2017-04-15,32-106,CLE,IND,1,1,42:44,12,20,.600,2,3,.667,6,9,.667,1,5,6,13,3,0,3,3,32,31.7,+5
1,201,2,2017-04-17,32-108,CLE,IND,6,1,42:16,11,20,.550,0,2,.000,3,6,.500,0,10,10,7,4,4,8,2,25,20.1,+6
2,202,3,2017-04-20,32-111,CLE,IND,5,1,45:13,14,27,.519,6,12,.500,7,14,.500,1,12,13,12,1,2,3,4,41,35.4,+13
3,203,4,2017-04-23,32-114,CLE,IND,4,1,44:44,13,25,.520,1,3,.333,6,9,.667,0,10,10,4,4,2,4,1,33,26.3,+4
4,204,5,2017-05-01,32-122,CLE,TOR,11,1,41:02,13,23,.565,2,5,.400,7,8,.875,2,8,10,4,1,1,3,2,35,28.2,+16
5,205,6,2017-05-03,32-124,CLE,TOR,22,1,36:36,10,14,.714,4,6,.667,15,21,.714,1,5,6,4,3,2,3,3,39,36.0,+24
6,206,7,2017-05-05,32-126,CLE,TOR,21,1,40:38,9,16,.563,2,4,.500,15,16,.938,0,8,8,7,1,0,5,1,35,29.9,+20
7,207,8,2017-05-07,32-128,CLE,TOR,7,1,46:11,11,22,.500,5,12,.417,8,9,.889,1,8,9,6,0,1,6,1,35,25.2,+7
8,208,9,2017-05-17,32-138,CLE,BOS,13,1,41:58,14,24,.583,1,6,.167,9,11,.818,2,7,9,7,2,0,2,2,38,33.6,+17
9,209,10,2017-05-19,32-140,CLE,BOS,44,1,32:48,12,18,.667,4,6,.667,2,4,.500,0,4,4,7,4,3,1,1,30,32.2,+46
10,210,11,2017-05-21,32-142,CLE,BOS,-3,1,45:03,4,13,.308,0,4,.000,3,6,.500,1,5,6,6,1,1,6,2,11,3.6,+1
11,211,12,2017-05-23,32-144,CLE,BOS,13,1,38:16,15,27,.556,1,6,.167,3,4,.750,0,5,5,6,1,1,5,4,34,21.5,+7
12,212,13,2017-05-25,32-146,CLE,BOS,33,1,34:44,13,18,.722,4,7,.571,5,8,.625,1,7,8,8,3,1,2,4,35,34.9,+36
13,213,14,2017-06-01,32-153,CLE,GSW,-22,1,40:02,9,20,.450,2,6,.333,8,12,.667,3,12,15,8,0,2,8,4,28,19.1,-22
14,214,15,2017-06-04,32-156,CLE,GSW,-19,1,39:22,12,18,.667,1,3,.333,4,5,.800,0,11,11,14,3,1,4,2,29,32.8,-11
15,215,16,2017-06-07,32-159,CLE,GSW,-5,1,45:37,15,27,.556,4,9,.444,5,6,.833,3,8,11,9,1,1,5,2,39,32.4,+7
16,216,17,2017-06-09,32-161,CLE,GSW,21,1,40:46,11,22,.500,3,8,.375,6,10,.600,1,9,10,11,1,0,2,2,31,27.7,+32
17,217,18,2017-06-12,32-164,CLE,GSW,-9,1,46:13,19,30,.633,2,5,.400,1,4,.250,2,11,13,8,2,1,2,3,41,36.2,-13
