,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,78,1,2017-04-16,27-233,HOU,OKC,31,1,34:23,13,28,.464,3,11,.273,8,11,.727,1,6,7,9,3,0,2,1,37,30.8,+22
1,79,2,2017-04-19,27-236,HOU,OKC,4,1,37:27,7,17,.412,3,7,.429,18,20,.900,0,4,4,8,1,0,7,5,35,23.9,+2
2,80,3,2017-04-21,27-238,HOU,OKC,-2,1,38:18,11,21,.524,4,12,.333,18,18,1.000,1,5,6,6,0,1,7,5,44,31.8,+1
3,81,4,2017-04-23,27-240,HOU,OKC,4,1,39:18,5,16,.313,0,7,.000,6,7,.857,0,7,7,8,1,0,7,3,16,6.9,0
4,82,5,2017-04-25,27-242,HOU,OKC,6,1,37:45,8,25,.320,2,13,.154,16,17,.941,1,7,8,4,3,2,5,4,34,22.7,-6
5,83,6,2017-05-01,27-248,HOU,SAS,27,1,31:20,6,13,.462,3,8,.375,5,5,1.000,0,1,1,14,4,0,3,3,20,23.2,+18
6,84,7,2017-05-03,27-250,HOU,SAS,-25,1,33:39,3,17,.176,2,9,.222,5,6,.833,1,6,7,10,2,0,4,4,13,7.8,-13
7,85,8,2017-05-05,27-252,HOU,SAS,-11,1,40:00,14,28,.500,5,13,.385,10,11,.909,1,1,2,5,3,0,5,4,43,29.5,-14
8,86,9,2017-05-07,27-254,HOU,SAS,21,1,34:33,10,18,.556,4,11,.364,4,6,.667,1,4,5,12,2,0,4,4,28,25.3,+28
9,87,10,2017-05-09,27-256,HOU,SAS,-3,1,43:23,11,24,.458,4,15,.267,7,8,.875,1,9,10,10,1,1,9,4,33,21.7,-6
10,88,11,2017-05-11,27-258,HOU,SAS,-39,1,36:36,2,11,.182,2,9,.222,4,6,.667,0,3,3,7,1,1,6,6,10,1.4,-28
