,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,199,1,2001-10-30,26-361,DEN,PHO,3,1,31:00,4,14,.286,0,1,.000,5,6,.833,4,3,7,1,2,1,2,1,13,9.1,+2
1,200,2,2001-11-01,26-363,DEN,MIL,-1,1,31:00,2,6,.333,1,1,1.000,2,2,1.000,2,1,3,2,2,0,1,5,7,5.7,-11
2,201,3,2001-11-03,27-000,DEN,SAC,-12,1,25:00,3,11,.273,0,0,,0,0,,3,2,5,0,1,0,2,2,6,0.4,-10
3,202,4,2001-11-06,27-003,DEN,HOU,-6,1,15:00,3,7,.429,0,0,,0,0,,0,1,1,1,1,0,0,1,6,3.9,-2
4,203,5,2001-11-08,27-005,DEN,DAL,-14,1,20:00,2,8,.250,0,0,,2,3,.667,3,0,3,0,0,0,2,4,6,-0.7,-18
5,204,6,2001-11-09,27-006,DEN,HOU,27,1,27:00,2,6,.333,0,0,,0,1,.000,2,1,3,3,0,2,2,3,4,2.2,+15
6,205,7,2001-11-11,27-008,DEN,TOR,11,1,19:00,5,11,.455,0,0,,2,2,1.000,7,1,8,2,0,0,1,4,12,10.3,+1
7,206,8,2001-11-13,27-010,DEN,CHI,8,1,17:00,6,10,.600,0,0,,0,0,,1,3,4,0,0,0,1,2,12,7.2,+1
8,207,9,2001-11-15,27-012,DEN,ORL,-19,1,17:00,1,9,.111,0,0,,1,3,.333,2,0,2,1,1,0,1,3,3,-2.8,-10
9,208,10,2001-11-17,27-014,DEN,SEA,10,1,40:00,2,4,.500,0,0,,1,1,1.000,1,7,8,1,1,2,1,4,5,6.3,+14
10,209,11,2001-11-19,27-016,DEN,NJN,3,1,39:00,5,11,.455,0,0,,2,4,.500,3,1,4,3,3,1,1,3,12,11.5,+4
11,210,12,2001-11-21,27-018,DEN,LAL,-21,1,14:00,1,6,.167,0,0,,0,0,,2,1,3,1,0,1,1,1,2,-0.1,-12
12,211,13,2002-02-01,27-090,DEN,SAC,-36,0,13:00,3,9,.333,0,0,,3,4,.750,1,4,5,1,1,0,1,3,9,4.9,-10
13,212,14,2002-02-05,27-094,DEN,POR,1,0,15:00,1,3,.333,0,0,,0,0,,0,5,5,2,0,1,2,2,2,1.1,+11
14,213,15,2002-02-12,27-101,DEN,BOS,-17,0,13:00,1,4,.250,0,0,,2,2,1.000,2,1,3,1,1,0,1,3,4,2.8,-7
15,214,16,2002-02-14,27-103,DEN,MEM,15,0,20:00,6,6,1.000,0,0,,0,0,,1,2,3,0,4,1,1,6,12,12.8,+23
16,215,17,2002-02-15,27-104,DEN,MIN,1,0,9:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-3
17,216,18,2002-02-17,27-106,DEN,NJN,-21,0,24:00,5,10,.500,0,0,,4,4,1.000,1,3,4,0,0,0,1,1,14,9.2,-10
18,217,19,2002-02-18,27-107,DEN,PHI,-27,0,17:00,1,5,.200,0,0,,0,0,,3,2,5,2,0,0,1,2,2,1.2,-21
19,218,20,2002-02-20,27-109,DEN,UTA,-11,0,11:00,1,3,.333,0,0,,0,0,,1,1,2,1,1,0,2,0,2,1.0,-10
20,219,21,2002-02-23,27-112,DAL,SAC,14,0,6:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,3,0,-2.2,-5
21,220,22,2002-02-26,27-115,DAL,MEM,13,0,8:00,0,0,,0,0,,0,1,.000,0,2,2,0,1,0,1,0,0,0.2,-5
22,221,23,2002-03-02,27-119,DAL,MIA,-14,0,8:00,0,1,.000,0,0,,0,0,,0,1,1,2,1,1,1,1,0,1.3,+9
23,222,24,2002-03-03,27-120,DAL,DEN,6,0,2:00,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,+1
