,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,63,2,2015-10-30,25-121,MIA,CLE,-10,0,1:28,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4
1,64,5,2015-11-05,25-127,MIA,MIN,12,0,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
2,65,7,2015-11-08,25-130,MIA,TOR,20,0,3:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
3,66,12,2015-11-20,25-142,MEM,HOU,12,0,1:13,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-1
4,67,14,2015-11-24,25-146,MEM,DAL,14,0,2:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-1
5,68,19,2015-12-03,25-155,MEM,SAS,-20,0,5:58,0,1,.000,0,1,.000,3,4,.750,0,2,2,1,1,1,0,0,3,4.9,+1
6,69,26,2015-12-16,25-168,MEM,CHI,-13,0,9:14,1,2,.500,1,1,1.000,1,2,.500,1,1,2,1,0,1,1,0,4,4.0,-2
7,70,27,2015-12-18,25-170,MEM,DAL,-9,0,7:52,1,2,.500,1,1,1.000,1,2,.500,0,0,0,0,1,0,1,1,4,2.2,-2
8,71,37,2016-01-08,25-191,MEM,DEN,7,0,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
9,72,39,2016-01-12,25-195,MEM,HOU,-16,0,1:34,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-3
10,73,53,2016-02-19,25-233,MEM,MIN,5,0,4:20,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,1.6,-3
11,74,55,2016-02-24,25-238,MEM,LAL,9,0,1:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
12,75,56,2016-02-26,25-240,MEM,LAL,17,0,5:51,1,4,.250,0,2,.000,0,0,,2,0,2,0,0,0,0,0,2,1.0,-8
13,76,59,2016-03-30,25-273,NOP,SAS,-8,0,24:06,4,9,.444,3,4,.750,2,2,1.000,3,2,5,4,0,0,1,2,13,12.0,+3
14,77,60,2016-03-31,25-274,NOP,DEN,6,0,30:00,4,12,.333,3,5,.600,0,0,,5,1,6,3,0,0,1,1,11,8.7,-3
15,78,61,2016-04-03,25-277,NOP,BRK,19,0,28:47,4,10,.400,2,6,.333,4,6,.667,0,3,3,2,4,1,0,3,14,13.6,+19
16,79,62,2016-04-05,25-279,NOP,PHI,-14,0,29:44,3,7,.429,1,4,.250,4,6,.667,0,1,1,2,0,1,4,3,11,3.7,-12
17,80,63,2016-04-06,25-280,NOP,BOS,-7,1,28:38,5,6,.833,2,3,.667,1,1,1.000,2,2,4,1,2,0,5,6,13,8.1,-8
18,81,64,2016-04-08,25-282,NOP,LAL,8,1,26:45,2,6,.333,0,3,.000,2,2,1.000,0,3,3,2,1,0,2,1,6,3.5,+9
19,82,65,2016-04-09,25-283,NOP,PHO,-21,1,33:50,8,16,.500,2,6,.333,0,0,,4,2,6,0,3,0,3,3,18,12.2,-3
20,83,66,2016-04-11,25-285,NOP,CHI,-5,1,39:54,9,14,.643,5,8,.625,6,7,.857,2,3,5,4,1,1,1,3,29,27.0,-9
21,84,67,2016-04-13,25-287,NOP,MIN,-35,1,39:50,11,20,.550,6,11,.545,0,0,,1,1,2,0,1,0,0,4,28,18.8,-16
