,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,44,1,2015-11-05,25-097,DEN,UTA,-12,0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
1,45,2,2015-11-06,25-098,DEN,GSW,-15,0,1:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2
2,46,3,2015-11-09,25-101,DEN,POR,4,0,12:35,2,2,1.000,1,1,1.000,0,0,,1,2,3,1,1,0,0,1,5,7.0,+1
3,47,4,2015-11-11,25-103,DEN,MIL,1,0,10:26,1,2,.500,1,2,.500,0,0,,1,2,3,0,0,0,1,1,3,1.9,+9
4,48,5,2015-11-13,25-105,DEN,HOU,9,0,3:51,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-4
5,49,6,2015-11-14,25-106,DEN,PHO,-24,0,19:58,4,7,.571,0,2,.000,1,2,.500,0,1,1,1,1,0,0,2,9,6.5,+7
6,50,7,2015-11-17,25-109,DEN,NOP,17,0,13:08,2,4,.500,0,1,.000,0,0,,1,2,3,0,0,1,1,1,4,2.6,-12
7,51,8,2015-11-18,25-110,DEN,SAS,-11,0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
8,52,9,2015-11-20,25-112,DEN,PHO,-7,0,5:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
9,53,10,2015-11-22,25-114,DEN,GSW,-13,0,2:10,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+1
10,54,11,2015-11-24,25-116,DEN,LAC,-17,0,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+1
11,55,12,2015-11-27,25-119,DEN,SAS,-11,0,3:32,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+6
12,56,13,2015-11-28,25-120,DEN,DAL,-11,0,2:26,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+6
13,57,14,2015-11-30,25-122,DEN,MIL,-18,0,9:35,0,4,.000,0,1,.000,0,0,,1,1,2,1,0,0,1,2,0,-2.9,+1
14,58,20,2015-12-14,25-136,DEN,HOU,6,0,13:48,2,4,.500,1,2,.500,0,0,,1,0,1,0,1,1,2,3,5,2.2,-1
15,59,21,2015-12-15,25-137,DEN,MIN,12,0,19:49,3,6,.500,0,1,.000,2,2,1.000,0,2,2,2,0,0,1,3,8,4.8,+12
16,60,22,2015-12-18,25-140,DEN,UTA,-9,0,11:28,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,1,0,2,0,1,-0.5,0
17,61,23,2015-12-20,25-142,DEN,NOP,-5,0,20:22,0,3,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,2,0,-0.9,0
18,62,24,2015-12-22,25-144,DEN,LAL,-4,1,11:14,3,5,.600,3,4,.750,0,0,,0,0,0,0,1,0,0,2,9,6.9,-7
19,63,25,2015-12-23,25-145,DEN,PHO,8,1,32:37,2,6,.333,2,3,.667,3,6,.500,1,4,5,3,2,2,1,2,9,10.0,+9
20,64,26,2015-12-26,25-148,DEN,SAS,-15,1,25:24,1,5,.200,0,1,.000,0,0,,1,3,4,2,3,1,3,1,2,2.2,-10
21,65,27,2015-12-27,25-149,DEN,OKC,-10,1,13:20,1,2,.500,1,2,.500,0,0,,0,0,0,3,2,0,2,0,3,4.1,-7
22,66,28,2015-12-29,25-151,DEN,CLE,-6,1,21:55,0,3,.000,0,2,.000,0,0,,1,4,5,1,0,0,2,2,0,-2.3,-8
23,67,29,2015-12-30,25-152,DEN,POR,-7,1,11:55,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,2,0,0,-2.8,-6
24,68,31,2016-01-03,25-156,DEN,POR,-6,0,12:06,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,0.5,-9
25,69,32,2016-01-06,25-159,DEN,MIN,4,0,10:56,2,4,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,0,4,1.6,+5
