,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,215,1,1999-11-02,24-105,MIL,HOU,5,1,30:00,8,14,.571,0,1,.000,3,4,.750,0,4,4,2,1,0,1,3,19,13.4,
1,216,2,1999-11-04,24-107,MIL,ATL,10,1,35:00,10,23,.435,3,7,.429,8,8,1.000,2,3,5,2,1,0,0,1,31,23.2,
2,217,3,1999-11-06,24-109,MIL,DET,10,1,32:00,8,19,.421,3,6,.500,7,7,1.000,1,6,7,5,0,1,1,5,26,19.6,
3,218,4,1999-11-08,24-111,MIL,NYK,-10,1,43:00,6,19,.316,2,5,.400,4,5,.800,1,3,4,1,1,0,2,2,18,7.2,
4,219,5,1999-11-10,24-113,MIL,CHH,-6,1,37:00,8,18,.444,3,6,.500,5,5,1.000,1,3,4,2,1,0,1,2,24,16.8,
5,220,6,1999-11-12,24-115,MIL,PHO,15,1,32:00,6,15,.400,2,3,.667,6,6,1.000,0,1,1,5,1,0,1,3,20,14.5,
6,221,7,1999-11-13,24-116,MIL,CLE,-5,1,25:00,7,14,.500,1,4,.250,7,7,1.000,1,1,2,5,2,0,4,5,22,15.5,
7,222,8,1999-11-16,24-119,MIL,LAC,8,1,35:00,7,16,.438,1,4,.250,4,5,.800,1,2,3,6,0,0,2,3,19,12.5,
8,223,9,1999-11-18,24-121,MIL,SAS,11,1,40:00,9,19,.474,3,5,.600,5,8,.625,4,4,8,3,1,0,3,3,26,18.0,
9,224,10,1999-11-20,24-123,MIL,UTA,-11,1,42:00,6,17,.353,1,3,.333,10,10,1.000,1,3,4,7,3,0,3,3,23,18.8,
10,225,11,1999-11-21,24-124,MIL,DET,-19,1,37:00,13,15,.867,4,5,.800,3,3,1.000,0,4,4,10,4,1,2,3,33,37.4,
11,226,12,1999-11-24,24-127,MIL,CHI,7,1,39:00,6,13,.462,0,3,.000,6,8,.750,1,4,5,3,2,0,1,5,18,13.5,
12,227,13,1999-11-26,24-129,MIL,BOS,2,1,38:00,7,13,.538,2,3,.667,2,4,.500,2,1,3,1,1,1,3,3,18,10.8,
13,228,14,1999-11-27,24-130,MIL,PHI,-3,1,41:00,9,25,.360,2,9,.222,3,3,1.000,2,5,7,5,0,1,1,2,23,14.4,
14,229,15,1999-12-02,24-135,MIL,NYK,-4,1,40:00,8,18,.444,3,4,.750,6,7,.857,0,3,3,2,0,0,1,1,25,16.1,
15,230,16,1999-12-04,24-137,MIL,CHI,1,1,40:00,7,16,.438,0,2,.000,5,6,.833,0,3,3,4,1,0,6,2,19,8.1,
16,231,17,1999-12-05,24-138,MIL,DAL,6,1,31:00,6,15,.400,2,5,.400,6,6,1.000,1,3,4,2,0,0,3,1,20,11.5,
17,232,18,1999-12-07,24-140,MIL,DET,-4,1,42:00,9,19,.474,0,0,,3,3,1.000,4,3,7,5,1,0,3,3,21,15.3,
