,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,574,1,2015-10-28,27-183,CHO,MIA,-10,0,18:19,3,5,.600,0,1,.000,1,2,.500,0,3,3,0,0,0,0,2,7,4.4,-14
1,575,2,2015-10-30,27-185,CHO,ATL,-3,0,17:51,4,6,.667,0,0,,0,3,.000,1,3,4,4,2,0,2,5,8,6.6,-9
2,576,3,2015-11-01,27-187,CHO,ATL,-2,0,18:24,1,8,.125,0,2,.000,0,0,,1,3,4,2,1,1,1,4,2,-1.1,-2
3,577,4,2015-11-03,27-189,CHO,CHI,25,0,19:35,5,6,.833,3,3,1.000,0,0,,0,3,3,2,0,0,1,1,13,11.7,+24
4,578,5,2015-11-05,27-191,CHO,DAL,14,0,18:24,0,4,.000,0,2,.000,0,0,,0,4,4,3,0,1,2,3,0,-2.0,+8
5,579,6,2015-11-07,27-193,CHO,SAS,-20,0,13:55,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,2,1,4,0.9,-28
6,580,7,2015-11-10,27-196,CHO,MIN,9,0,19:03,1,6,.167,0,2,.000,0,0,,0,2,2,2,1,0,1,3,2,-1.0,+22
7,581,8,2015-11-11,27-197,CHO,NYK,2,0,19:08,0,2,.000,0,2,.000,0,0,,1,3,4,5,0,0,0,1,0,3.3,+11
8,582,9,2015-11-13,27-199,CHO,CHI,-5,0,17:17,1,5,.200,0,1,.000,0,0,,1,3,4,1,0,0,0,2,2,0.4,-15
9,583,10,2015-11-15,27-201,CHO,POR,12,0,17:33,0,2,.000,0,1,.000,2,2,1.000,0,2,2,4,0,1,1,2,2,2.9,+2
10,584,11,2015-11-17,27-203,CHO,NYK,-8,0,17:24,4,10,.400,2,4,.500,4,4,1.000,3,2,5,1,0,1,1,2,14,10.9,+5
11,585,12,2015-11-18,27-204,CHO,BRK,5,0,17:37,5,7,.714,2,2,1.000,0,0,,0,4,4,2,0,0,0,1,12,11.3,+13
12,586,13,2015-11-20,27-206,CHO,PHI,25,0,14:52,1,6,.167,0,4,.000,2,2,1.000,0,5,5,2,0,0,2,3,4,-0.1,-2
13,587,14,2015-11-23,27-209,CHO,SAC,5,0,7:39,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,1,0,-0.1,-6
14,588,16,2015-11-27,27-213,CHO,CLE,-5,0,5:24,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,2,4,3.3,+1
15,589,17,2015-11-29,27-215,CHO,MIL,5,0,16:24,1,4,.250,1,1,1.000,2,2,1.000,0,8,8,0,0,0,2,2,5,2.2,+4
16,590,18,2015-12-02,27-218,CHO,GSW,-17,0,20:11,5,9,.556,0,2,.000,2,2,1.000,2,3,5,2,0,0,1,1,12,10.0,-8
17,591,19,2015-12-05,27-221,CHO,CHI,6,0,22:35,4,6,.667,3,4,.750,3,4,.750,4,3,7,4,0,0,2,2,14,14.7,-1
18,592,20,2015-12-07,27-223,CHO,DET,20,0,15:53,4,8,.500,0,2,.000,0,0,,0,3,3,1,0,0,0,0,8,5.6,+2
19,593,21,2015-12-09,27-225,CHO,MIA,18,0,17:12,2,4,.500,1,1,1.000,0,0,,0,3,3,0,0,0,1,4,5,1.3,+14
20,594,22,2015-12-11,27-227,CHO,MEM,24,0,16:40,0,2,.000,0,0,,8,8,1.000,0,2,2,1,0,0,3,2,8,4.1,+16
21,595,23,2015-12-12,27-228,CHO,BOS,-5,0,20:36,4,6,.667,2,3,.667,0,0,,1,7,8,3,0,0,1,1,10,10.9,+19
22,596,24,2015-12-16,27-232,CHO,ORL,-15,0,18:08,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-1.5,-8
23,597,25,2015-12-17,27-233,CHO,TOR,10,0,23:13,2,2,1.000,1,1,1.000,0,0,,0,10,10,4,3,1,1,5,5,10.9,+12
24,598,26,2015-12-19,27-235,CHO,WAS,-8,0,18:17,4,8,.500,1,2,.500,0,0,,1,3,4,2,0,0,1,1,9,6.6,+6
25,599,27,2015-12-21,27-237,CHO,HOU,-7,0,21:25,1,5,.200,1,2,.500,0,0,,0,1,1,2,3,1,1,3,3,3.1,-2
26,600,28,2015-12-23,27-239,CHO,BOS,-13,0,5:53,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-3.5,-4
27,601,34,2016-01-04,27-251,CHO,GSW,-10,0,20:03,1,6,.167,0,2,.000,4,4,1.000,0,4,4,4,0,0,2,2,6,3.4,-10
28,602,35,2016-01-06,27-253,CHO,PHO,-9,0,9:06,0,5,.000,0,1,.000,0,0,,1,3,4,1,0,0,0,1,0,-1.6,-11
29,603,36,2016-01-09,27-256,CHO,LAC,-14,0,14:54,2,5,.400,1,2,.500,2,2,1.000,1,3,4,1,0,0,1,0,7,5.6,+5
30,604,37,2016-01-10,27-257,CHO,DEN,-3,0,16:56,2,6,.333,2,2,1.000,2,2,1.000,1,3,4,3,2,1,2,1,8,8.6,+3
31,605,38,2016-01-13,27-260,CHO,ATL,23,0,15:19,1,3,.333,1,3,.333,0,0,,1,4,5,1,0,1,1,1,3,3.2,+14
32,606,39,2016-01-15,27-262,CHO,NOP,-2,0,11:17,2,5,.400,0,2,.000,0,0,,1,2,3,2,0,0,1,2,4,2.2,-6
33,607,40,2016-01-16,27-263,CHO,MIL,-13,0,21:02,3,7,.429,0,2,.000,1,2,.500,3,6,9,3,0,0,0,2,7,8.1,-11
34,608,41,2016-01-18,27-265,CHO,UTA,5,0,15:56,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,0,0,0.7,-6
35,609,42,2016-01-20,27-267,CHO,OKC,-14,0,26:46,2,8,.250,0,2,.000,2,2,1.000,1,5,6,3,0,0,1,1,6,4.1,-3
36,610,43,2016-01-22,27-269,CHO,ORL,4,1,32:23,7,14,.500,1,4,.250,1,1,1.000,3,7,10,3,0,1,0,3,16,14.8,+11
37,611,44,2016-01-23,27-270,CHO,NYK,13,1,34:28,1,7,.143,0,2,.000,0,0,,3,7,10,3,2,1,0,2,2,5.7,+11
38,612,45,2016-01-25,27-272,CHO,SAC,1,1,30:06,7,10,.700,4,5,.800,0,0,,2,5,7,0,2,0,1,6,18,15.3,+2
39,613,46,2016-01-27,27-274,CHO,UTA,-29,1,26:25,3,7,.429,2,3,.667,1,2,.500,1,3,4,2,0,0,1,2,9,6.1,-6
40,614,47,2016-01-29,27-276,CHO,POR,-18,1,25:13,2,6,.333,1,3,.333,0,0,,0,5,5,4,1,0,0,3,5,5.7,-17
41,615,48,2016-01-31,27-278,CHO,LAL,19,1,27:37,2,8,.250,0,3,.000,0,0,,1,5,6,5,1,2,1,1,4,5.9,+15
42,616,49,2016-02-03,27-281,CHO,CLE,9,0,20:08,3,5,.600,0,2,.000,0,0,,0,4,4,4,2,1,3,2,6,6.6,+3
43,617,50,2016-02-05,27-283,CHO,MIA,-3,0,22:35,1,5,.200,0,3,.000,0,0,,1,5,6,1,1,2,2,1,2,1.8,-17
44,618,51,2016-02-06,27-284,CHO,WAS,4,0,18:12,4,6,.667,1,1,1.000,5,6,.833,2,2,4,0,0,2,1,3,14,12.2,-17
45,619,52,2016-02-08,27-286,CHO,CHI,17,0,28:00,5,9,.556,1,3,.333,2,2,1.000,1,7,8,0,0,1,2,6,13,7.8,+4
46,620,53,2016-02-10,27-288,CHO,IND,22,0,23:24,1,4,.250,1,2,.500,3,4,.750,1,3,4,2,0,1,2,2,6,4.1,+13
47,621,71,2016-03-22,27-329,CHO,BRK,5,0,19:55,1,5,.200,0,1,.000,0,0,,1,4,5,1,0,1,1,3,2,0.0,+5
48,622,72,2016-03-25,27-332,CHO,DET,-7,0,9:20,2,6,.333,1,1,1.000,0,0,,1,3,4,2,0,0,0,0,5,4.6,+19
49,623,73,2016-03-26,27-333,CHO,MIL,24,0,5:52,0,2,.000,0,0,,0,0,,0,0,0,2,0,1,0,0,0,0.7,+2
50,624,76,2016-04-03,27-341,CHO,CLE,-9,0,19:22,3,8,.375,1,1,1.000,2,2,1.000,5,4,9,2,1,0,1,1,9,10.3,-7
51,625,77,2016-04-05,27-343,CHO,TOR,-6,0,8:29,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,1,1,1,2,0.9,-7
52,626,78,2016-04-06,27-344,CHO,NYK,14,0,17:48,1,5,.200,0,1,.000,2,3,.667,1,1,2,1,0,1,1,0,4,1.9,+12
53,627,79,2016-04-08,27-346,CHO,BRK,14,0,13:19,1,3,.333,0,1,.000,2,2,1.000,1,1,2,3,0,1,0,2,4,5.3,-6
54,628,80,2016-04-10,27-348,CHO,WAS,-15,0,4:34,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,2,3,2,-1.6,0
55,629,81,2016-04-11,27-349,CHO,BOS,14,0,19:40,3,5,.600,2,2,1.000,1,2,.500,1,4,5,0,0,1,1,3,9,6.7,-7
56,630,82,2016-04-13,27-351,CHO,ORL,14,0,17:59,5,6,.833,2,2,1.000,0,0,,2,3,5,3,0,1,0,1,12,14.5,-3
