,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,162,1,2002-10-30,21-273,IND,HOU,9,0,15:00,1,3,.333,0,0,,0,0,,2,1,3,0,0,1,0,0,2,2.7,+1
1,163,2,2002-11-01,21-275,IND,NJN,-11,0,32:00,4,9,.444,0,0,,7,8,.875,0,4,4,2,0,6,1,0,15,15.7,-4
2,164,3,2002-11-02,21-276,IND,MIN,7,0,30:00,6,9,.667,1,2,.500,2,2,1.000,5,6,11,2,1,3,4,1,15,16.5,+5
3,165,4,2002-11-05,21-279,IND,MIA,4,0,17:00,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,0,1,3,4,0.7,-7
4,166,5,2002-11-08,21-282,IND,NYK,13,0,20:00,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,2,2,0,-1.9,-2
5,167,6,2002-11-09,21-283,IND,TOR,24,0,30:00,2,5,.400,0,1,.000,0,0,,0,6,6,2,0,2,4,2,4,1.1,+10
6,168,7,2002-11-12,21-286,IND,CLE,20,0,23:00,3,8,.375,0,1,.000,1,1,1.000,2,5,7,3,0,2,1,3,7,6.8,+4
7,169,8,2002-11-15,21-289,IND,MIL,3,0,20:00,3,5,.600,2,3,.667,5,6,.833,0,1,1,1,0,0,1,1,13,9.9,+8
8,170,9,2002-11-16,21-290,IND,MIN,6,0,21:00,2,7,.286,0,0,,0,1,.000,1,3,4,2,0,3,0,4,4,3.0,+6
9,171,10,2002-11-20,21-294,IND,TOR,2,0,16:00,2,4,.500,0,0,,4,4,1.000,1,0,1,0,0,0,1,2,8,4.9,+1
10,172,11,2002-11-22,21-296,IND,ORL,36,0,27:00,2,9,.222,1,1,1.000,0,1,.000,1,2,3,3,1,3,1,3,5,3.4,+13
11,173,12,2002-11-23,21-297,IND,DET,-15,0,24:00,3,5,.600,0,0,,1,1,1.000,0,1,1,2,1,4,2,3,7,7.0,-2
12,174,13,2002-11-26,21-300,IND,WAS,4,0,13:00,3,5,.600,2,2,1.000,0,0,,0,2,2,0,0,1,0,1,8,6.6,-3
13,175,14,2002-11-28,21-302,IND,DAL,12,0,12:00,1,3,.333,0,1,.000,0,0,,0,1,1,2,0,1,0,0,2,2.7,-8
14,176,15,2002-11-29,21-303,IND,WAS,16,0,11:00,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,2,5,2,-2.0,-3
15,177,16,2002-12-01,21-305,IND,LAC,5,0,11:00,2,3,.667,1,1,1.000,1,1,1.000,0,0,0,1,0,0,3,1,6,2.0,-8
16,178,17,2002-12-02,21-306,IND,UTA,-11,0,14:00,2,6,.333,1,2,.500,0,0,,1,1,2,0,0,1,0,3,5,2.1,-10
17,179,18,2002-12-04,21-308,IND,SEA,3,0,19:00,2,6,.333,0,3,.000,0,0,,2,2,4,0,1,1,2,3,4,1.1,+2
18,180,19,2002-12-06,21-310,IND,PHO,-6,0,18:00,4,8,.500,0,2,.000,1,2,.500,0,1,1,1,0,0,1,0,9,4.6,-4
19,181,20,2002-12-07,21-311,IND,DEN,-11,0,15:00,2,4,.500,1,2,.500,1,2,.500,1,1,2,0,0,1,0,1,6,4.9,+1
20,182,21,2002-12-11,21-315,IND,MIL,7,0,11:00,4,6,.667,0,0,,1,1,1.000,2,0,2,0,0,0,0,4,9,6.2,-3
21,183,22,2002-12-13,21-317,IND,DEN,22,0,26:00,1,4,.250,0,1,.000,3,6,.500,2,4,6,1,0,2,1,3,5,3.9,+13
22,184,23,2002-12-20,21-324,IND,CHI,15,0,4:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+1
23,185,24,2003-01-08,21-343,IND,NYK,2,0,7:00,1,3,.333,0,0,,0,0,,1,1,2,1,0,1,2,0,2,0.7,-5
24,186,25,2003-01-10,21-345,IND,ORL,4,0,17:00,2,8,.250,1,5,.200,1,1,1.000,3,0,3,3,0,1,1,1,6,4.7,+2
25,187,26,2003-01-11,21-346,IND,GSW,12,0,14:00,3,6,.500,0,2,.000,1,2,.500,2,1,3,2,0,0,0,3,7,5.5,-1
26,188,27,2003-02-20,22-021,IND,NJN,-7,0,12:00,0,2,.000,0,0,,1,2,.500,0,2,2,0,0,0,1,3,1,-2.4,-10
27,189,28,2003-03-11,22-040,IND,NOH,-10,0,20:00,1,4,.250,0,1,.000,2,2,1.000,0,2,2,1,0,2,1,4,4,1.7,-17
28,190,29,2003-03-12,22-041,IND,PHI,-3,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
29,191,30,2003-03-14,22-043,IND,UTA,20,1,31:00,8,12,.667,3,3,1.000,3,5,.600,6,1,7,2,0,1,1,5,22,19.6,+5
30,192,31,2003-03-17,22-046,IND,POR,-7,0,21:00,3,8,.375,0,2,.000,0,0,,3,1,4,1,0,3,2,3,6,3.6,-2
31,193,32,2003-03-19,22-048,IND,BOS,30,0,20:00,3,9,.333,1,3,.333,0,0,,1,7,8,0,0,0,0,1,7,4.3,+13
32,194,33,2003-03-21,22-050,IND,MEM,9,1,8:00,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,1,0,2,2,-0.5,-13
33,195,34,2003-03-22,22-051,IND,ATL,-3,0,14:00,1,3,.333,0,0,,1,2,.500,0,0,0,0,1,0,0,2,3,1.1,-2
34,196,35,2003-03-26,22-055,IND,PHI,-6,0,12:00,4,6,.667,0,1,.000,0,0,,0,2,2,1,0,0,1,2,8,4.9,-2
35,197,36,2003-03-28,22-057,IND,CHI,51,0,22:00,4,7,.571,0,0,,10,13,.769,0,5,5,0,1,3,0,1,18,17.7,+27
36,198,37,2003-03-30,22-059,IND,PHO,11,0,22:00,5,10,.500,0,0,,0,0,,1,5,6,0,0,2,1,1,10,7.2,-8
37,199,38,2003-04-01,22-061,IND,SAC,-5,0,13:00,2,4,.500,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,1,6,4.2,+2
