,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1999-12-10,18-314,IND,CLE,48,0,13:00,4,7,.571,1,2,.500,1,1,1.000,0,0,0,0,0,2,1,1,10,6.7,
1,2,2,1999-12-11,18-315,IND,LAC,18,0,4:00,0,3,.000,0,0,,1,2,.500,0,2,2,0,0,1,1,1,1,-1.6,
2,3,3,1999-12-15,18-319,IND,CHI,11,0,3:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,
3,4,4,1999-12-17,18-321,IND,UTA,15,0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,
4,5,5,1999-12-27,18-331,IND,CHI,12,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,
5,6,6,1999-12-29,18-333,IND,ATL,27,0,5:00,2,3,.667,0,0,,0,1,.000,0,1,1,0,0,0,0,0,4,2.6,
6,7,7,1999-12-30,18-334,IND,CHH,10,0,4:00,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,
7,8,8,2000-01-12,18-347,IND,WAS,15,0,3:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,
8,9,9,2000-01-19,18-354,IND,MIL,22,0,2:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,
9,10,10,2000-02-07,19-008,IND,PHI,25,0,3:00,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-0.7,
10,11,11,2000-02-19,19-020,IND,NYK,-14,0,4:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,
11,12,12,2000-02-26,19-027,IND,GSW,16,0,5:00,0,2,.000,0,0,,2,4,.500,0,1,1,0,0,0,0,2,2,-0.7,
12,13,13,2000-02-29,19-030,IND,DET,10,0,6:00,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,0,0,2,1.3,
13,14,14,2000-03-02,19-032,IND,PHO,-31,0,18:00,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,-1.9,
14,15,15,2000-03-03,19-033,IND,LAL,-15,0,4:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,4,1.9,
15,16,16,2000-03-05,19-035,IND,GSW,19,0,3:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.8,
16,17,17,2000-03-10,19-040,IND,CLE,3,1,8:00,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,
17,18,18,2000-03-14,19-044,IND,DAL,-21,0,12:00,1,6,.167,0,2,.000,3,3,1.000,1,2,3,0,1,0,0,1,5,3.1,
18,19,19,2000-03-18,19-048,IND,CHH,14,0,3:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,
19,20,20,2000-03-26,19-056,IND,PHI,-10,0,4:00,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,0,1,0,0,6,6.4,
20,21,21,2000-03-31,19-061,IND,MIN,24,0,2:00,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.1,
21,22,22,2000-04-02,19-063,IND,TOR,21,0,2:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,
22,23,23,2000-04-16,19-077,IND,DET,11,0,1:00,0,1,.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,1,-0.1,
23,24,24,2000-04-19,19-080,IND,ATL,19,0,15:00,4,11,.364,0,2,.000,3,6,.500,0,1,1,1,0,1,0,1,11,5.0,
