,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,361,1,2013-10-30,27-219,SAS,MEM,7,0,18:59,2,5,.400,0,2,.000,1,2,.500,0,4,4,1,0,0,1,1,5,2.4,+3
1,362,2,2013-11-01,27-221,SAS,LAL,6,0,16:26,1,5,.200,0,2,.000,0,0,,0,3,3,1,0,0,0,0,2,0.5,-5
2,363,3,2013-11-02,27-222,SAS,POR,-10,0,26:30,8,12,.667,3,3,1.000,0,0,,0,3,3,4,2,0,2,4,19,15.9,-2
3,364,4,2013-11-05,27-225,SAS,DEN,8,0,10:51,2,5,.400,0,0,,0,0,,0,0,0,1,1,0,1,1,4,1.6,-2
4,365,5,2013-11-06,27-226,SAS,PHO,3,0,31:28,1,6,.167,1,1,1.000,1,2,.500,0,4,4,0,0,1,1,2,4,-0.1,+4
5,366,6,2013-11-08,27-228,SAS,GSW,2,0,18:52,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,0,1,3,1.8,-1
6,367,7,2013-11-10,27-230,SAS,NYK,31,1,25:47,3,4,.750,1,2,.500,2,2,1.000,0,4,4,4,1,0,1,0,9,11.4,+27
7,368,8,2013-11-11,27-231,SAS,PHI,24,0,22:25,5,11,.455,2,5,.400,0,0,,2,4,6,2,2,0,1,0,12,11.3,+2
8,369,9,2013-11-13,27-233,SAS,WAS,13,0,23:17,4,6,.667,2,2,1.000,0,0,,0,5,5,8,0,0,0,1,10,14.1,+19
9,370,10,2013-11-15,27-235,SAS,UTA,9,0,12:52,1,2,.500,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,1,3,2.3,-4
10,371,11,2013-11-20,27-240,SAS,BOS,11,0,17:19,4,7,.571,1,1,1.000,0,0,,0,0,0,0,0,0,2,2,9,2.9,+1
11,372,12,2013-11-22,27-242,SAS,MEM,16,0,20:16,4,7,.571,1,3,.333,0,0,,1,2,3,2,1,0,1,0,9,8.4,+10
12,373,13,2013-11-23,27-243,SAS,CLE,30,0,22:15,3,9,.333,2,2,1.000,2,3,.667,1,2,3,4,1,0,2,0,10,7.6,+22
13,374,14,2013-11-25,27-245,SAS,NOP,19,0,21:11,5,7,.714,4,6,.667,0,0,,0,3,3,2,0,1,1,2,14,12.3,+15
14,375,15,2013-11-27,27-247,SAS,OKC,-6,0,16:49,3,8,.375,0,3,.000,0,0,,0,2,2,2,1,0,0,3,6,3.4,+4
15,376,16,2013-11-29,27-249,SAS,ORL,18,0,26:39,6,8,.750,4,4,1.000,3,3,1.000,0,2,2,2,1,0,2,1,19,16.4,+29
16,377,17,2013-11-30,27-250,SAS,HOU,-6,0,27:26,7,13,.538,4,6,.667,0,0,,0,3,3,1,0,0,1,5,18,10.3,-9
17,378,18,2013-12-02,27-252,SAS,ATL,2,0,25:02,6,9,.667,1,2,.500,0,0,,0,4,4,3,2,0,2,0,13,12.4,+8
18,379,19,2013-12-07,27-257,SAS,IND,-11,0,19:17,4,7,.571,1,2,.500,0,0,,0,0,0,1,0,0,1,2,9,4.6,-1
19,380,20,2013-12-10,27-260,SAS,TOR,13,0,23:13,4,5,.800,2,3,.667,2,2,1.000,0,1,1,4,3,0,0,2,12,15.4,+22
20,381,21,2013-12-11,27-261,SAS,MIL,32,0,24:12,5,8,.625,0,2,.000,1,2,.500,0,5,5,0,1,0,3,3,11,5.3,+2
21,382,22,2013-12-13,27-263,SAS,MIN,7,0,28:29,5,9,.556,2,4,.500,0,0,,0,2,2,1,1,0,1,0,12,9.0,+5
22,383,23,2013-12-14,27-264,SAS,UTA,16,0,24:16,4,8,.500,3,3,1.000,0,0,,0,3,3,1,0,0,1,1,11,7.2,+9
23,384,24,2013-12-16,27-266,SAS,LAC,-23,0,23:12,2,9,.222,2,7,.286,1,1,1.000,0,2,2,1,0,0,2,5,7,-1.2,-28
24,385,25,2013-12-18,27-268,SAS,PHO,7,1,23:53,3,9,.333,1,2,.500,0,0,,0,5,5,3,0,0,1,2,7,3.7,-12
25,386,26,2013-12-19,27-269,SAS,GSW,2,0,28:51,10,16,.625,4,8,.500,4,4,1.000,0,2,2,1,0,0,3,2,28,18.3,+3
26,387,27,2013-12-21,27-271,SAS,OKC,-13,1,37:43,6,13,.462,5,8,.625,0,0,,1,3,4,0,1,0,1,2,17,11.1,-13
27,388,28,2013-12-23,27-273,SAS,TOR,13,1,18:34,2,7,.286,0,5,.000,0,0,,0,1,1,1,1,0,2,1,4,-0.5,+2
28,389,29,2013-12-25,27-275,SAS,HOU,-13,1,22:09,4,8,.500,1,3,.333,0,0,,0,2,2,2,0,0,1,0,9,6.0,-1
29,390,30,2013-12-26,27-276,SAS,DAL,9,1,19:10,2,5,.400,0,3,.000,0,0,,0,3,3,1,1,0,1,2,4,2.1,+8
30,391,31,2013-12-29,27-279,SAS,SAC,8,1,16:00,2,11,.182,0,3,.000,0,0,,0,2,2,2,0,0,0,0,4,-0.9,-3
31,392,32,2013-12-31,27-281,SAS,BRK,21,1,17:15,4,6,.667,2,3,.667,0,1,.000,0,6,6,3,1,0,1,2,10,10.1,+20
32,393,33,2014-01-02,27-283,SAS,NYK,-4,1,32:40,12,16,.750,6,9,.667,2,2,1.000,1,4,5,2,0,0,2,1,32,26.5,0
33,394,34,2014-01-04,27-285,SAS,LAC,24,1,24:35,2,5,.400,1,1,1.000,0,0,,0,2,2,7,0,0,1,2,5,6.0,+18
