,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,408,1,1990-11-03,27-030,LAL,SAS,-11,1,12:00,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,3,3.0,
1,409,2,1990-11-06,27-033,LAL,POR,-2,1,33:00,4,10,.400,0,2,.000,7,9,.778,3,6,9,4,2,0,2,3,15,14.3,
2,410,3,1990-11-09,27-036,LAL,SAC,14,1,38:00,5,8,.625,0,0,,3,3,1.000,3,5,8,0,0,1,1,2,13,11.9,
3,411,4,1990-11-11,27-038,LAL,NYK,-6,1,39:00,1,5,.200,0,1,.000,3,4,.750,0,3,3,2,1,1,2,2,5,2.7,
4,412,5,1990-11-13,27-040,LAL,PHO,-1,1,28:00,2,7,.286,0,0,,3,4,.750,4,4,8,1,2,1,1,1,7,8.5,
5,413,6,1990-11-15,27-042,LAL,HOU,5,1,26:00,5,7,.714,0,0,,0,0,,2,3,5,0,2,0,3,0,10,8.4,
6,414,7,1990-11-16,27-043,LAL,DAL,-13,0,14:00,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,0,0,0,2,1.5,
7,415,8,1990-11-18,27-045,LAL,GSW,22,0,20:00,4,5,.800,0,0,,0,0,,1,3,4,1,1,0,0,1,8,9.0,
8,416,9,1990-11-19,27-046,LAL,DEN,17,0,28:00,5,10,.500,0,0,,8,9,.889,3,2,5,1,1,0,1,4,18,14.4,
9,417,10,1990-11-21,27-048,LAL,DEN,20,0,19:00,6,10,.600,0,1,.000,3,6,.500,2,5,7,0,0,0,5,1,15,6.7,
10,418,11,1990-11-24,27-051,LAL,ORL,26,0,28:00,6,12,.500,0,0,,3,3,1.000,6,11,17,1,1,0,2,1,15,15.8,
11,419,12,1990-11-28,27-055,LAL,SAS,17,0,21:00,6,9,.667,1,1,1.000,1,2,.500,1,4,5,1,2,0,0,0,14,14.3,
