,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1990-11-02,22-295,WSB,MIA,-24,1,23:00,6,14,.429,0,0,,1,2,.500,0,3,3,1,0,0,2,4,13,3.2,
1,2,2,1990-11-03,22-296,WSB,CHI,1,1,21:00,4,8,.500,0,0,,2,2,1.000,0,1,1,2,0,0,0,3,10,6.5,
2,3,3,1990-11-08,22-301,WSB,NYK,-11,1,17:00,2,7,.286,0,0,,2,2,1.000,2,0,2,3,0,0,0,1,6,5.0,
3,4,4,1990-11-09,22-302,WSB,MIL,-8,1,20:00,2,5,.400,0,0,,0,2,.000,1,1,2,5,1,0,1,2,4,4.2,
4,5,5,1990-11-12,22-305,WSB,NJN,5,1,31:00,5,14,.357,0,0,,0,0,,3,3,6,1,3,0,1,4,10,6.3,
5,6,6,1990-11-13,22-306,WSB,CHH,-15,1,14:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,1,2,2,0.6,
6,7,7,1990-11-16,22-309,WSB,PHI,-13,1,41:00,5,14,.357,0,1,.000,2,2,1.000,3,3,6,5,2,0,2,1,12,10.3,
7,8,8,1990-11-17,22-310,WSB,BOS,-12,1,19:00,2,5,.400,0,0,,0,0,,0,0,0,0,1,0,1,1,4,0.9,
8,9,9,1990-11-20,22-313,WSB,SAC,-5,1,27:00,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,3,3,2,-2.2,
9,10,10,1990-11-23,22-316,WSB,DET,-9,1,12:00,2,6,.333,0,0,,0,0,,2,1,3,2,0,0,0,2,4,2.9,
10,11,11,1991-01-08,22-362,GSW,DEN,22,0,13:00,1,5,.200,0,0,,0,0,,0,0,0,1,1,0,2,1,2,-1.8,
11,12,12,1991-01-10,22-364,GSW,SEA,10,0,7:00,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,4,2.2,
12,13,13,1991-01-12,23-001,GSW,PHO,-9,0,23:00,3,6,.500,0,0,,0,0,,1,1,2,1,1,0,2,3,6,2.5,
13,14,14,1991-01-15,23-004,GSW,NJN,1,0,6:00,0,1,.000,0,0,,0,2,.000,0,0,0,0,1,0,0,1,0,-0.9,
14,15,15,1991-01-16,23-005,GSW,BOS,5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
15,16,16,1991-01-18,23-007,GSW,PHI,3,0,5:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,
16,17,17,1991-01-19,23-008,GSW,MIN,-8,0,11:00,1,3,.333,0,0,,0,0,,1,3,4,3,2,0,1,0,2,5.0,
17,18,18,1991-01-25,23-014,GSW,MIL,29,0,10:00,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,0,2,6,3.9,
18,19,19,1991-01-31,23-020,GSW,LAC,16,0,5:00,3,4,.750,0,0,,0,0,,0,1,1,2,0,0,0,0,6,6.1,
19,20,20,1991-02-01,23-021,GSW,POR,-20,0,4:00,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,0,0,2,0.6,
20,21,21,1991-02-03,23-023,GSW,HOU,-8,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
21,22,22,1991-02-05,23-025,GSW,SAS,6,0,3:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,
22,23,23,1991-02-14,23-034,GSW,BOS,-16,0,3:00,0,1,.000,0,0,,2,2,1.000,1,0,1,0,1,0,0,0,2,3.0,
23,24,24,1991-02-20,23-040,GSW,MIN,3,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
24,25,25,1991-02-22,23-042,GSW,UTA,-5,0,5:00,0,0,,0,0,,0,0,,1,1,2,1,1,0,2,3,0,-0.5,
25,26,26,1991-02-23,23-043,GSW,DEN,-5,0,11:00,2,4,.500,0,0,,1,2,.500,1,1,2,0,0,1,0,2,5,3.5,
26,27,27,1991-02-26,23-046,GSW,ORL,-12,0,7:00,0,2,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,3,1,-1.3,
27,28,28,1991-02-27,23-047,GSW,UTA,-15,0,19:00,2,8,.250,0,0,,1,1,1.000,6,0,6,1,0,0,1,0,5,4.1,
28,29,29,1991-03-02,23-050,GSW,CHH,13,0,17:00,3,7,.429,0,0,,1,2,.500,1,0,1,0,1,0,4,3,7,-0.6,
29,30,30,1991-03-04,23-052,GSW,SEA,-6,0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
30,31,31,1991-03-05,23-053,GSW,SAC,-8,0,5:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,2,0.3,
31,32,32,1991-03-07,23-055,GSW,CLE,30,0,5:00,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,2,6,3.3,
32,33,33,1991-03-12,23-060,GSW,IND,12,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
33,34,34,1991-03-14,23-062,GSW,SAS,-2,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
34,35,35,1991-04-19,23-098,WSB,ORL,-5,0,7:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,3,4,1.5,
35,36,36,1991-04-21,23-100,WSB,MIN,-2,0,23:00,6,10,.600,0,0,,0,2,.000,3,1,4,1,0,0,0,0,12,9.7,
