,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2015-10-28,27-172,MIN,LAL,1,0,22:36,3,6,.500,2,4,.500,0,0,,0,5,5,2,0,1,0,5,8,6.6,+6
1,2,2,2015-10-30,27-174,MIN,DEN,17,0,25:41,1,2,.500,1,1,1.000,0,3,.000,0,8,8,1,1,0,2,4,3,1.3,+1
2,3,3,2015-11-02,27-177,MIN,POR,-5,0,31:25,2,4,.500,0,2,.000,1,2,.500,3,6,9,2,2,0,2,4,5,6.3,+5
3,4,4,2015-11-05,27-180,MIN,MIA,-12,0,23:42,2,7,.286,1,4,.250,0,0,,1,6,7,3,0,0,1,1,5,4.1,-17
4,5,5,2015-11-07,27-182,MIN,CHI,9,0,40:13,5,9,.556,2,6,.333,5,6,.833,1,10,11,5,1,1,2,2,17,18.4,+12
5,6,6,2015-11-09,27-184,MIN,ATL,10,0,29:54,3,5,.600,3,5,.600,2,2,1.000,0,5,5,4,0,0,2,2,11,10.2,-1
6,7,7,2015-11-10,27-185,MIN,CHO,-9,0,27:44,4,7,.571,3,5,.600,2,2,1.000,2,5,7,4,0,1,1,4,13,13.5,-21
7,8,8,2015-11-12,27-187,MIN,GSW,-13,0,33:20,3,5,.600,1,2,.500,1,4,.250,2,7,9,3,1,0,0,2,8,10.3,+8
8,9,9,2015-11-13,27-188,MIN,IND,-4,0,25:02,4,8,.500,2,5,.400,0,0,,0,2,2,1,1,0,1,4,10,5.7,-2
9,10,10,2015-11-15,27-190,MIN,MEM,-8,0,24:06,2,5,.400,0,2,.000,0,0,,1,0,1,0,0,0,0,5,4,0.0,-8
10,11,11,2015-11-17,27-192,MIN,MIA,12,0,15:36,0,7,.000,0,5,.000,0,0,,0,4,4,0,0,2,0,3,0,-3.5,-8
11,12,12,2015-11-18,27-193,MIN,ORL,-3,0,18:38,1,4,.250,1,4,.250,0,0,,0,4,4,1,0,0,0,6,3,0.1,+10
12,13,17,2015-11-29,27-204,MIN,LAC,-8,0,21:48,4,4,1.000,2,2,1.000,0,0,,0,2,2,1,0,0,0,2,10,9.3,-4
13,14,18,2015-12-01,27-206,MIN,ORL,-3,0,24:20,1,5,.200,1,3,.333,0,0,,3,5,8,2,1,1,0,3,3,5.4,+10
14,15,19,2015-12-05,27-210,MIN,POR,-6,0,13:25,1,1,1.000,0,0,,0,1,.000,1,4,5,0,0,0,1,0,2,2.2,+1
15,16,20,2015-12-07,27-212,MIN,LAC,-4,0,17:05,3,5,.600,2,4,.500,1,1,1.000,2,2,4,1,0,0,1,3,9,7.2,+7
16,17,21,2015-12-09,27-214,MIN,LAL,1,0,20:47,3,5,.600,0,1,.000,0,1,.000,3,1,4,2,0,1,1,4,6,5.2,-4
17,18,22,2015-12-11,27-216,MIN,DEN,-3,0,12:37,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,0,5,3,1.4,-10
18,19,23,2015-12-13,27-218,MIN,PHO,-7,0,14:44,0,5,.000,0,3,.000,0,0,,2,4,6,0,0,1,2,3,0,-3.4,-12
19,20,24,2015-12-15,27-220,MIN,DEN,-12,0,17:00,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,1,0,3,2,1.2,+3
20,21,25,2015-12-16,27-221,MIN,NYK,-5,0,9:42,1,4,.250,0,3,.000,0,0,,0,0,0,0,1,0,0,1,2,0.2,+2
21,22,26,2015-12-18,27-223,MIN,SAC,4,0,3:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.8,-4
22,23,27,2015-12-20,27-225,MIN,BRK,15,0,3:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-5
23,24,28,2015-12-21,27-226,MIN,BOS,-14,0,4:30,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.0,+5
