,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,448,1,2015-10-28,30-031,OKC,SAS,6,0,21:38,3,6,.500,2,4,.500,0,0,,0,0,0,0,1,0,0,1,8,5.6,+5
1,449,2,2015-10-30,30-033,OKC,ORL,3,0,14:04,1,3,.333,1,3,.333,0,0,,0,1,1,0,2,0,1,0,3,2.6,-8
2,450,3,2015-11-01,30-035,OKC,DEN,24,0,15:48,2,5,.400,2,4,.500,0,0,,0,3,3,1,1,0,0,0,6,5.9,+2
3,451,4,2015-11-02,30-036,OKC,HOU,-5,0,5:26,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,+5
4,452,5,2015-11-04,30-038,OKC,TOR,-5,0,5:56,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-11
5,453,6,2015-11-05,30-039,OKC,CHI,-6,0,5:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-14
6,454,8,2015-11-10,30-044,OKC,WAS,24,0,15:39,1,6,.167,0,3,.000,0,0,,1,0,1,0,0,0,0,3,2,-2.3,+3
7,455,9,2015-11-13,30-047,OKC,PHI,17,1,21:07,5,8,.625,2,5,.400,0,0,,0,1,1,0,1,0,0,2,12,8.9,-1
8,456,10,2015-11-15,30-049,OKC,BOS,-15,1,14:56,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,1,2,0,-3.2,+7
9,457,11,2015-11-16,30-050,OKC,MEM,-8,1,28:55,1,4,.250,0,2,.000,0,0,,1,3,4,1,1,0,1,0,2,1.9,+9
10,458,12,2015-11-18,30-052,OKC,NOP,7,1,13:34,3,8,.375,3,6,.500,0,0,,0,2,2,0,0,0,0,1,9,4.8,+8
11,459,13,2015-11-20,30-054,OKC,NYK,-3,0,22:37,2,6,.333,1,3,.333,0,0,,1,2,3,0,0,0,0,1,5,2.5,+2
12,460,14,2015-11-22,30-056,OKC,DAL,3,0,24:03,5,9,.556,2,3,.667,2,2,1.000,0,2,2,1,1,1,2,0,14,10.7,+18
13,461,15,2015-11-23,30-057,OKC,UTA,22,0,18:51,6,8,.750,3,4,.750,0,0,,0,0,0,1,2,0,0,1,15,14.1,+7
14,462,16,2015-11-25,30-059,OKC,BRK,11,0,23:37,2,5,.400,2,4,.500,0,0,,0,1,1,1,1,0,2,0,6,3.3,+7
15,463,17,2015-11-27,30-061,OKC,DET,16,0,7:44,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,1.6,-10
16,464,18,2015-11-30,30-064,OKC,ATL,-6,0,22:40,3,12,.250,3,6,.500,1,1,1.000,0,3,3,0,0,0,0,1,10,3.3,+19
17,465,19,2015-12-03,30-067,OKC,MIA,-2,0,15:22,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.2,-4
18,466,20,2015-12-06,30-070,OKC,SAC,3,0,10:31,3,7,.429,1,3,.333,2,3,.667,0,0,0,0,0,0,0,0,9,4.9,0
19,467,21,2015-12-08,30-072,OKC,MEM,37,0,18:49,3,4,.750,1,1,1.000,1,1,1.000,1,2,3,2,0,0,0,2,8,8.3,+7
20,468,22,2015-12-10,30-074,OKC,ATL,13,0,14:29,3,6,.500,2,3,.667,0,0,,0,1,1,0,0,0,0,1,8,4.9,+3
21,469,23,2015-12-11,30-075,OKC,UTA,4,0,9:06,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,2,3,0.9,+2
22,470,24,2015-12-13,30-077,OKC,UTA,6,0,13:21,1,3,.333,1,2,.500,2,2,1.000,0,2,2,0,1,1,0,0,5,5.6,-1
23,471,25,2015-12-16,30-080,OKC,POR,16,0,14:45,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,0,0,0,2,1.7,+5
24,472,27,2015-12-19,30-083,OKC,LAL,40,0,18:49,4,9,.444,2,6,.333,0,0,,0,0,0,1,0,0,0,0,10,6.0,+12
25,473,28,2015-12-21,30-085,OKC,LAC,1,0,5:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-2
26,474,29,2015-12-23,30-087,OKC,LAL,35,0,19:24,2,8,.250,1,4,.250,0,0,,0,2,2,0,0,0,0,1,5,0.4,-9
27,475,30,2015-12-25,30-089,OKC,CHI,-9,0,20:47,3,6,.500,3,6,.500,0,0,,0,1,1,0,1,0,0,0,9,7.3,0
28,476,31,2015-12-27,30-091,OKC,DEN,10,0,5:38,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,3.0,0
29,477,32,2015-12-29,30-093,OKC,MIL,8,0,13:08,3,5,.600,3,5,.600,1,1,1.000,0,1,1,0,0,0,0,2,10,7.2,+17
30,478,33,2015-12-31,30-095,OKC,PHO,4,0,9:47,2,4,.500,0,1,.000,1,2,.500,0,1,1,0,1,0,0,0,5,3.9,-7
31,479,34,2016-01-02,30-097,OKC,CHO,19,0,18:26,4,9,.444,4,8,.500,0,1,.000,0,3,3,0,0,0,0,3,12,6.6,+9
32,480,35,2016-01-04,30-099,OKC,SAC,-12,1,33:51,8,11,.727,3,6,.500,1,2,.500,0,1,1,0,1,0,0,3,20,15.2,+2
33,481,36,2016-01-06,30-101,OKC,MEM,18,0,18:21,3,4,.750,2,2,1.000,6,6,1.000,1,1,2,0,0,0,0,1,14,13.0,+2
34,482,37,2016-01-08,30-103,OKC,LAL,4,0,18:43,2,6,.333,1,4,.250,0,0,,0,1,1,0,0,0,0,3,5,0.7,+5
35,483,38,2016-01-10,30-105,OKC,POR,-5,0,9:21,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1.1,-6
36,484,39,2016-01-12,30-107,OKC,MIN,5,0,11:45,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-0.9,-1
